Site,Plot,Treatment,Date,"Time, GMT+11:00","Temp, ÁC (SEN S/N: 9818218, LBL: Ambient)","RH, % (SEN S/N: 9818218)","DewPt, ÁC (SEN S/N: 9818218)","Temp, ÁC (SEN S/N: 9824740, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833760, LBL: 10cmBG)"
ITEX2.0,2,OTC,16/05/12,06:41:01,-3.687,97,-4.1,0.218,0.1027,0.2552
ITEX2.0,2,OTC,16/05/12,07:41:02,-5.636,93.2,-6.6,0.051,0.1027,0.2552
ITEX2.0,2,OTC,16/05/12,08:41:03,-3.479,95.3,-4.1,-0.004,0.1027,0.2545
ITEX2.0,2,OTC,16/05/12,09:41:04,1.643,100,1.6,0.107,0.1027,0.2545
ITEX2.0,2,OTC,16/05/12,10:41:05,5.024,97.9,4.7,0.825,0.1034,0.2545
ITEX2.0,2,OTC,16/05/12,11:41:06,7.293,87.8,5.4,4.141,0.1034,0.2545
ITEX2.0,2,OTC,16/05/12,12:41:07,5.745,78.7,2.3,5.821,0.1034,0.2552
ITEX2.0,2,OTC,16/05/12,13:41:08,7.619,73.9,3.3,8.195,0.1042,0.2552
ITEX2.0,2,OTC,16/05/12,14:41:09,6.788,78,3.2,9.163,0.1049,0.2567
ITEX2.0,2,OTC,16/05/12,15:41:10,5.257,82.2,2.5,8.295,0.1056,0.256
ITEX2.0,2,OTC,16/05/12,16:41:11,4.844,87.7,3,6.687,0.1049,0.2567
ITEX2.0,2,OTC,16/05/12,17:41:12,3.906,88.5,2.2,5.616,0.1042,0.256
ITEX2.0,2,OTC,16/05/12,18:41:13,2.823,92.4,1.7,4.662,0.1042,0.256
ITEX2.0,2,OTC,16/05/12,19:41:14,2.423,94.8,1.7,4.141,0.1034,0.256
ITEX2.0,2,OTC,16/05/12,20:41:15,2.262,96,1.7,3.827,0.1034,0.2552
ITEX2.0,2,OTC,16/05/12,21:41:16,1.534,95.5,0.9,3.459,0.1027,0.2552
ITEX2.0,2,OTC,16/05/12,22:41:17,-0.676,94.5,-1.5,2.637,0.1027,0.2552
ITEX2.0,2,OTC,16/05/12,23:41:18,-2.918,94.3,-3.7,1.588,0.102,0.2552
ITEX2.0,2,OTC,17/05/12,00:41:19,-4.621,92.5,-5.7,0.605,0.102,0.256
ITEX2.0,2,OTC,17/05/12,01:41:20,-5.202,92.4,-6.3,0.19,0.1012,0.2552
ITEX2.0,2,OTC,17/05/12,02:41:21,-5.885,90.9,-7.1,-0.004,0.1012,0.2552
ITEX2.0,2,OTC,17/05/12,03:41:22,-6.357,91.2,-7.6,-0.171,0.1005,0.2552
ITEX2.0,2,OTC,17/05/12,04:41:23,-5.667,95.3,-6.3,-0.227,0.1005,0.2545
ITEX2.0,2,OTC,17/05/12,05:41:24,-6.61,90.5,-7.9,-0.367,0.1005,0.2545
ITEX2.0,2,OTC,17/05/12,06:41:25,-5.729,93.6,-6.6,-0.479,0.1005,0.2545
ITEX2.0,2,OTC,17/05/12,07:41:26,-6.93,92.2,-8,-0.563,0.1005,0.2545
ITEX2.0,2,OTC,17/05/12,08:41:27,-6.579,90.7,-7.9,-0.676,0.1012,0.2545
ITEX2.0,2,OTC,17/05/12,09:41:28,1.534,97.9,1.2,-0.395,0.1012,0.2545
ITEX2.0,2,OTC,17/05/12,10:41:29,10.124,71.6,5.2,-0.088,0.1012,0.2545
ITEX2.0,2,OTC,17/05/12,11:41:30,12.05,42.7,-0.2,0.412,0.1012,0.2538
ITEX2.0,2,OTC,17/05/12,12:41:31,12.582,39.7,-0.7,2.209,0.1012,0.253
ITEX2.0,2,OTC,17/05/12,13:41:32,12.485,48.3,1.9,6.281,0.102,0.2538
ITEX2.0,2,OTC,17/05/12,14:41:33,12.195,47.5,1.4,8.643,0.1027,0.2538
ITEX2.0,2,OTC,17/05/12,15:41:34,12.147,49.9,2,8.07,0.1027,0.2545
ITEX2.0,2,OTC,17/05/12,16:41:35,9.064,55.4,0.6,6.611,0.1027,0.2545
ITEX2.0,2,OTC,17/05/12,17:41:36,3.354,73.8,-0.9,4.973,0.102,0.2552
ITEX2.0,2,OTC,17/05/12,18:41:37,-1.413,86.4,-3.4,2.61,0.1012,0.2552
ITEX2.0,2,OTC,17/05/12,19:41:38,-5.049,82.2,-7.6,0.88,0.1005,0.2545
ITEX2.0,2,OTC,17/05/12,20:41:39,-6.199,84.4,-8.4,0.246,0.0998,0.2545
ITEX2.0,2,OTC,17/05/12,21:41:40,-4.106,78,-7.4,-0.06,0.0998,0.2545
ITEX2.0,2,OTC,17/05/12,22:41:41,-0.93,52,-9.5,-0.171,0.0991,0.2545
ITEX2.0,2,OTC,17/05/12,23:41:42,-0.423,37.1,-13.3,-0.227,0.0991,0.2545
ITEX2.0,2,OTC,18/05/12,00:41:43,-0.479,39,-12.7,-0.283,0.0998,0.2545
ITEX2.0,2,OTC,18/05/12,01:41:44,-0.423,34.1,-14.3,-0.311,0.0998,0.2538
ITEX2.0,2,OTC,18/05/12,02:41:45,-0.902,41.1,-12.5,-0.395,0.0991,0.2538
ITEX2.0,2,OTC,18/05/12,03:41:46,-1.27,39.1,-13.4,-0.479,0.0991,0.2538
ITEX2.0,2,OTC,18/05/12,04:41:47,-2.276,50.8,-11.1,-0.535,0.0991,0.253
ITEX2.0,2,OTC,18/05/12,05:41:48,0.66,41.1,-11,-0.507,0.0991,0.253
ITEX2.0,2,OTC,18/05/12,06:41:49,-0.395,47.8,-10.1,-0.507,0.0983,0.253
ITEX2.0,2,OTC,18/05/12,07:41:50,0.88,46,-9.4,-0.563,0.0991,0.253
ITEX2.0,2,OTC,18/05/12,08:41:51,1.507,46.8,-8.6,-0.395,0.102,0.253
ITEX2.0,2,OTC,18/05/12,09:41:52,4.662,50.8,-4.7,-0.032,0.1012,0.253
ITEX2.0,2,OTC,18/05/12,10:41:53,2.956,61.1,-3.8,0.19,0.102,0.253
ITEX2.0,2,OTC,18/05/12,11:41:54,5.514,61.3,-1.3,0.632,0.1005,0.253
ITEX2.0,2,OTC,18/05/12,12:41:55,10.247,48.2,-0.2,3.775,0.1005,0.253
ITEX2.0,2,OTC,18/05/12,13:41:56,8.792,51,-0.8,7.87,0.1005,0.253
ITEX2.0,2,OTC,18/05/12,14:41:57,4.662,68.8,-0.6,7.845,0.0998,0.2538
ITEX2.0,2,OTC,18/05/12,15:41:58,4.428,79.4,1.2,6.458,0.0998,0.2538
ITEX2.0,2,OTC,18/05/12,16:41:59,8.717,76.4,4.8,6.153,0.0991,0.2545
ITEX2.0,2,OTC,18/05/12,17:42:00,3.749,70.7,-1.1,5.257,0.0998,0.2545
ITEX2.0,2,OTC,18/05/12,18:42:01,1.561,83.7,-0.9,3.38,0.0991,0.2545
ITEX2.0,2,OTC,18/05/12,19:42:02,1.344,88.1,-0.4,2.37,0.0983,0.2545
ITEX2.0,2,OTC,18/05/12,20:42:03,0.687,86,-1.4,1.886,0.0976,0.2538
ITEX2.0,2,OTC,18/05/12,21:42:04,-0.004,89.8,-1.5,1.017,0.0976,0.2538
ITEX2.0,2,OTC,18/05/12,22:42:05,0.522,91.1,-0.8,0.687,0.0976,0.253
ITEX2.0,2,OTC,18/05/12,23:42:06,0.88,90.7,-0.5,0.605,0.0976,0.2538
ITEX2.0,2,OTC,19/05/12,00:42:07,1.017,91.1,-0.3,0.715,0.0976,0.253
ITEX2.0,2,OTC,19/05/12,01:42:08,0.66,91.9,-0.5,0.687,0.0976,0.253
ITEX2.0,2,OTC,19/05/12,02:42:09,0.797,93.5,-0.1,0.605,0.0976,0.253
ITEX2.0,2,OTC,19/05/12,03:42:10,0.934,93.3,0,0.632,0.0969,0.253
ITEX2.0,2,OTC,19/05/12,04:42:11,0.742,93.5,-0.2,0.55,0.0969,0.253
ITEX2.0,2,OTC,19/05/12,05:42:12,0.907,94.4,0.1,0.495,0.0969,0.253
ITEX2.0,2,OTC,19/05/12,06:42:13,0.715,94.6,-0.1,0.522,0.0969,0.253
ITEX2.0,2,OTC,19/05/12,07:42:14,0.632,95.1,-0.1,0.495,0.0969,0.253
ITEX2.0,2,OTC,19/05/12,08:42:15,1.208,94.5,0.4,0.522,0.0969,0.2523
ITEX2.0,2,OTC,19/05/12,09:42:16,1.697,93.6,0.8,0.825,0.0976,0.2523
ITEX2.0,2,OTC,19/05/12,10:42:17,2.236,93.3,1.3,1.534,0.0976,0.2523
ITEX2.0,2,OTC,19/05/12,11:42:18,5.179,87.8,3.3,3.354,0.0976,0.253
ITEX2.0,2,OTC,19/05/12,12:42:19,7.116,80.5,4,6.458,0.0976,0.2523
ITEX2.0,2,OTC,19/05/12,13:42:20,7.066,75,2.9,8.195,0.0983,0.2538
ITEX2.0,2,OTC,19/05/12,14:42:21,6.687,78.3,3.2,8.717,0.0991,0.2538
ITEX2.0,2,OTC,19/05/12,15:42:22,4.662,81.3,1.7,7.695,0.0991,0.2545
ITEX2.0,2,OTC,19/05/12,16:42:23,4.194,86.8,2.2,6.179,0.0991,0.2545
ITEX2.0,2,OTC,19/05/12,17:42:24,3.009,89,1.4,4.947,0.0983,0.2545
ITEX2.0,2,OTC,19/05/12,18:42:25,-0.06,94.1,-0.9,3.168,0.0976,0.2545
ITEX2.0,2,OTC,19/05/12,19:42:26,-2.8,95.2,-3.5,1.235,0.0969,0.2538
ITEX2.0,2,OTC,19/05/12,20:42:27,-4.621,92.9,-5.6,0.356,0.0969,0.2538
ITEX2.0,2,OTC,19/05/12,21:42:28,-2.742,95.4,-3.4,0.246,0.0962,0.253
ITEX2.0,2,OTC,19/05/12,22:42:29,-3.479,95.8,-4.1,0.135,0.0962,0.253
ITEX2.0,2,OTC,19/05/12,23:42:30,-1.157,98.4,-1.4,0.19,0.0969,0.253
ITEX2.0,2,OTC,20/05/12,00:42:31,0.19,100,0.2,0.467,0.0962,0.2523
ITEX2.0,2,OTC,20/05/12,01:42:32,-0.088,99.7,-0.1,0.66,0.0969,0.2523
ITEX2.0,2,OTC,20/05/12,02:42:33,-0.311,99.3,-0.4,0.742,0.0962,0.2523
ITEX2.0,2,OTC,20/05/12,03:42:34,-4.957,95.1,-5.6,0.163,0.0962,0.2523
ITEX2.0,2,OTC,20/05/12,04:42:35,-2.976,99.6,-3,-0.116,0.0962,0.2523
ITEX2.0,2,OTC,20/05/12,05:42:36,-6.168,94.7,-6.9,-0.339,0.0962,0.2523
ITEX2.0,2,OTC,20/05/12,06:42:37,-6.674,92.7,-7.7,-0.535,0.0954,0.2523
ITEX2.0,2,OTC,20/05/12,07:42:38,-7.445,90.2,-8.8,-0.732,0.0947,0.2523
ITEX2.0,2,OTC,20/05/12,08:42:39,-7.348,89.8,-8.7,-0.873,0.0947,0.2523
ITEX2.0,2,OTC,20/05/12,09:42:40,0.907,96.7,0.4,-0.507,0.0954,0.2523
ITEX2.0,2,OTC,20/05/12,10:42:41,8.12,81.1,5.1,-0.116,0.0962,0.2523
ITEX2.0,2,OTC,20/05/12,11:42:42,11.686,50.6,1.8,0.605,0.0962,0.2516
