Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)","Temp, ÁC (SEN S/N: 684636)","Temp, ÁC (SEN S/N: 684637)","Temp, ÁC (SEN S/N: 684638)","Temp, ÁC (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ÁC (SEN S/N: 904122)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
05/10/07,07:00:00,0,3.512,3.116,2.93,0.66,4.57,85.25,2.3,291.2,0.76,96.31
05/10/07,08:00:00,0,3.406,2.93,2.877,2.182,5.4,79.75,2.2,771.2,11.42,19.03
05/10/07,09:00:00,0,3.38,2.77,3.116,9.064,5.81,95.25,5.1,1231.2,9.9,16.37
05/10/07,10:00:00,0,3.485,2.637,3.696,12.001,6.62,100,6.6,1241.2,8.38,14.09
05/10/07,11:00:00,0,3.722,2.584,4.454,15.175,7.03,100,7,1788.7,8.38,14.85
05/10/07,12:00:00,0,4.115,2.717,5.308,14.337,7.83,95.75,7.2,1478.7,9.52,15.99
05/10/07,13:00:00,0,4.506,2.903,5.924,15.509,8.63,81.25,5.6,1918.7,10.66,18.27
05/10/07,14:00:00,0,4.895,3.221,6.408,15.796,9.03,81.75,6.1,1793.7,10.66,17.51
05/10/07,15:00:00,0,5.205,3.749,6.813,12.775,8.63,86.25,6.5,1411.2,10.66,16.37
05/10/07,16:00:00,0,5.488,3.958,6.94,8.593,7.83,94.25,7,501.2,10.66,14.85
05/10/07,17:00:00,0,5.642,4.115,6.737,6.737,7.83,92.25,6.7,306.2,10.66,14.85
05/10/07,18:00:00,0,5.642,4.246,6.408,5.05,7.43,85.75,5.2,68.7,10.66,14.85
05/10/07,19:00:00,0,5.565,4.324,6,3.327,7.03,83.75,4.5,3.7,10.66,14.85
05/10/07,20:00:00,0,5.411,4.272,5.565,3.089,7.43,75.75,3.4,1.2,10.66,14.85
05/10/07,21:00:00,0,5.205,4.168,5.205,2.983,7.43,70.75,2.5,1.2,10.66,14.85
05/10/07,22:00:00,0,5.05,4.115,4.921,3.327,7.83,66.75,2,1.2,10.66,14.85
05/10/07,23:00:00,0,4.869,4.037,4.714,3.406,7.43,69.25,2.2,1.2,10.66,14.85
06/10/07,00:00:00,0,4.74,3.985,4.558,3.009,7.03,74.25,2.8,1.2,10.66,14.85
06/10/07,01:00:00,0.25,4.636,3.932,4.402,3.063,6.22,91.75,5,1.2,10.66,14.85
06/10/07,02:00:00,0.25,4.532,3.854,4.272,3.116,6.22,100,6.2,1.2,10.66,14.85
06/10/07,03:00:00,1.78,4.428,3.749,4.168,3.221,5.81,100,5.8,1.2,10.66,14.85
06/10/07,04:00:00,6.1,4.35,3.696,4.089,2.69,4.99,100,5,1.2,10.66,14.85
06/10/07,05:00:00,1.78,4.272,3.643,3.932,3.168,5.81,100,5.8,1.2,10.66,14.85
06/10/07,06:00:00,0,4.168,3.591,3.827,3.142,5.4,100,5.4,3.7,10.66,14.85
06/10/07,07:00:00,0,4.063,3.512,3.775,2.182,5.81,37.75,-7.5,181.2,10.66,96.31
06/10/07,08:00:00,0,4.037,3.301,3.696,2.155,7.03,44.25,-4.3,828.7,4.19,9.14
06/10/07,09:00:00,0,4.011,3.168,3.958,10.59,8.23,45.75,-2.8,1118.7,1.9,4.57
06/10/07,10:00:00,0,4.168,3.195,4.688,14.242,7.03,100,7,1278.7,2.66,6.09
06/10/07,11:00:00,0,4.506,3.327,5.642,12.847,5.4,100,5.4,1236.2,3.81,6.85
06/10/07,12:00:00,0,4.895,3.459,6.331,12.098,4.99,100,5,1176.2,4.19,6.85
06/10/07,13:00:00,0,5.231,3.722,6.687,11.953,5.81,100,5.8,1078.7,3.43,6.47
06/10/07,14:00:00,0,5.488,4.037,6.99,10.785,5.4,100,5.4,693.7,2.66,5.33
06/10/07,15:00:00,0,5.719,4.246,7.091,7.92,4.99,100,5,436.2,3.05,5.33
06/10/07,16:00:00,0,5.847,4.402,6.889,6.737,4.57,100,4.6,311.2,3.05,5.33
06/10/07,17:00:00,0,5.847,4.506,6.636,5.975,4.15,100,4.2,256.2,3.05,5.33
06/10/07,18:00:00,0,5.796,4.584,6.357,4.089,3.31,100,3.3,28.7,1.9,4.95
06/10/07,19:00:00,0,5.693,4.506,5.975,3.063,2.89,100,2.9,1.2,1.52,3.81
06/10/07,20:00:00,0,5.539,4.506,5.591,2.69,2.46,100,2.5,1.2,1.52,4.19
06/10/07,21:00:00,0,5.334,4.48,5.231,2.557,2.03,100,2,1.2,1.52,3.43
06/10/07,22:00:00,0,5.154,4.428,4.947,2.584,2.03,100,2,1.2,0.38,3.05
06/10/07,23:00:00,0,4.973,4.35,4.688,2.637,2.03,100,2,1.2,0,1.52
07/10/07,00:00:00,0,4.818,4.298,4.506,2.423,2.46,100,2.5,1.2,0,1.52
07/10/07,01:00:00,0,4.688,4.22,4.324,1.859,2.46,100,2.5,1.2,0.38,3.43
07/10/07,02:00:00,0,4.532,4.141,4.115,1.18,2.46,100,2.5,1.2,3.05,6.09
07/10/07,03:00:00,0,4.402,4.063,3.906,0.577,1.6,100,1.6,1.2,3.43,6.47
07/10/07,04:00:00,0,4.246,3.985,3.67,0.412,1.17,100,1.2,1.2,2.66,5.71
07/10/07,05:00:00,0,4.115,3.932,3.459,0.273,0.73,100,0.7,1.2,2.28,4.95
07/10/07,06:00:00,0,3.985,3.906,3.274,-0.004,0.29,100,0.3,11.2,2.66,5.71
07/10/07,07:00:00,0,3.854,3.775,3.063,-0.171,0.73,100,0.7,278.7,3.43,5.71
07/10/07,08:00:00,0,3.749,3.512,2.903,0.135,2.03,96.25,1.5,803.7,5.71,96.31
07/10/07,09:00:00,0,3.643,3.38,3.089,8.12,3.74,51.25,-5.4,1271.2,4.57,8.38
07/10/07,10:00:00,0,3.749,3.354,3.801,13.546,4.57,42.25,-7.2,1623.7,5.71,9.14
07/10/07,11:00:00,0,4.037,3.643,4.766,16.868,5.4,47.75,-4.8,1868.7,5.33,10.28
07/10/07,12:00:00,0,4.506,3.775,5.847,18.58,6.22,45.75,-4.6,1986.2,4.57,8.76
07/10/07,13:00:00,0,5.05,3.906,6.94,19.103,6.62,43.75,-4.8,1991.2,4.57,9.14
07/10/07,14:00:00,0,5.616,4.089,7.82,18.485,7.03,56.25,-1.1,1848.7,4.57,8.76
07/10/07,15:00:00,0,6.051,4.35,8.419,14.529,5.4,71.25,0.6,1516.2,5.33,9.52
07/10/07,16:00:00,0,6.433,4.61,8.593,9.139,6.62,57.75,-1.1,1176.2,4.57,7.61
07/10/07,17:00:00,0,6.56,4.869,8.344,6.026,5.81,66.75,0.1,728.7,4.19,6.85
07/10/07,18:00:00,0,6.585,5.05,7.845,3.485,3.31,84.75,1,276.2,4.19,6.85
07/10/07,19:00:00,0,6.509,5.179,7.167,1.126,1.6,96.75,1.1,8.7,4.19,6.85
07/10/07,20:00:00,0,6.357,5.231,6.408,0.218,1.17,98.25,0.9,1.2,21.32,96.31
07/10/07,21:00:00,0,6.077,5.231,5.642,-0.283,0.73,99.75,0.7,1.2,0.76,1.9
07/10/07,22:00:00,0,5.693,5.179,4.895,-0.704,-0.61,100,-0.6,1.2,0.38,1.52
07/10/07,23:00:00,0,5.334,5.076,4.402,-1.043,0.29,100,0.3,1.2,1.14,2.66
08/10/07,00:00:00,0,4.999,4.947,3.958,-1.213,0.29,100,0.3,1.2,1.52,3.81
08/10/07,01:00:00,0,4.714,4.792,3.643,-1.413,0.29,100,0.3,1.2,1.9,3.43
08/10/07,02:00:00,0,4.454,4.636,3.327,-1.527,-0.16,100,-0.2,1.2,2.28,4.19
08/10/07,03:00:00,0,4.22,4.48,3.089,-1.756,-1.06,100,-1.1,1.2,1.14,3.81
08/10/07,04:00:00,0,4.011,4.35,2.903,-2.102,-0.61,100,-0.6,1.2,0.38,1.52
08/10/07,05:00:00,0,3.801,4.22,2.717,-2.334,-0.61,100,-0.6,1.2,0.38,1.14
08/10/07,06:00:00,0,3.643,4.063,2.53,-2.508,-1.06,100,-1.1,18.7,0,1.14
08/10/07,07:00:00,0,3.38,3.617,2.343,-1.727,2.03,99.25,1.9,366.2,1.52,96.31
08/10/07,08:00:00,0,3.327,3.168,2.236,-0.283,3.31,98.25,3.1,841.2,1.14,4.19
08/10/07,09:00:00,0,3.195,3.116,2.155,6.051,4.15,86.25,2.1,1283.7,2.66,5.33
08/10/07,10:00:00,0,3.116,3.433,2.37,13.522,4.99,80.75,2,1633.7,3.43,7.23
08/10/07,11:00:00,0,3.274,3.485,3.459,18.343,6.22,69.75,1.1,1876.2,3.43,7.23
08/10/07,12:00:00,0,3.775,3.485,4.973,20.913,7.43,59.75,0.1,2031.2,3.43,7.23
08/10/07,13:00:00,0,4.454,3.564,6.433,21.032,7.03,58.75,-0.5,2013.7,4.57,7.99
08/10/07,14:00:00,0,5.128,3.775,7.494,20.412,7.83,59.75,0.5,1813.7,4.19,8.76
08/10/07,15:00:00,0,5.719,4.037,8.22,16.892,8.23,59.75,0.9,1633.7,4.19,7.99
08/10/07,16:00:00,0,6.128,4.35,8.519,10.59,8.23,56.75,0.2,1071.2,4.19,7.99
08/10/07,17:00:00,0,6.408,4.636,8.394,7.066,6.62,58.25,-1,631.2,4.19,7.99
08/10/07,18:00:00,0,6.382,4.869,7.92,4.532,4.99,77.25,1.3,258.7,4.19,7.99
08/10/07,19:00:00,0,6.281,5.05,7.242,1.913,2.89,95.25,2.2,8.7,4.19,7.99
08/10/07,20:00:00,0,6.051,5.128,6.535,2.101,3.31,100,3.3,1.2,4.19,7.99
08/10/07,21:00:00,0,5.77,5.128,5.924,1.994,2.46,100,2.5,1.2,4.19,7.99
08/10/07,22:00:00,0,5.488,5.102,5.437,0.852,1.6,100,1.6,1.2,4.19,7.99
08/10/07,23:00:00,0,5.205,5.024,4.999,1.832,2.03,100,2,1.2,4.19,7.99
09/10/07,00:00:00,0,4.947,4.921,4.688,1.913,1.6,100,1.6,1.2,4.19,7.99
09/10/07,01:00:00,0,4.792,4.818,4.48,0.687,0.73,100,0.7,1.2,4.19,7.99
09/10/07,02:00:00,0,4.818,4.714,4.194,0.55,1.17,100,1.2,1.2,2.28,96.31
09/10/07,03:00:00,0,4.636,4.61,3.932,0.742,0.73,100,0.7,1.2,0.38,2.66
09/10/07,04:00:00,0,4.48,4.506,3.722,0.687,0.73,100,0.7,1.2,0.38,1.9
09/10/07,05:00:00,0,4.298,4.402,3.564,0.962,0.29,100,0.3,1.2,0,2.28
09/10/07,06:00:00,0,4.168,4.298,3.459,1.099,0.29,100,0.3,11.2,0.38,2.28
09/10/07,07:00:00,0,3.985,4.194,3.38,2.236,0.73,100,0.7,146.2,0,1.9
09/10/07,08:00:00,0,3.906,3.88,3.406,4.115,4.99,82.75,2.3,793.7,0.38,96.31
09/10/07,09:00:00,0,4.011,3.617,3.906,13.064,7.43,49.25,-2.5,1301.2,1.52,5.71
09/10/07,10:00:00,0,4.246,3.932,4.792,18.842,7.83,54.75,-0.7,1488.7,1.52,4.95
09/10/07,11:00:00,0,4.688,4.063,5.898,15.509,7.83,70.75,2.9,838.7,1.14,4.19
09/10/07,12:00:00,0,5.205,4.168,6.661,17.106,8.23,69.25,2.9,1188.7,1.52,4.57
09/10/07,13:00:00,0,5.616,4.324,7.268,15.843,9.03,66.25,3.1,1066.2,1.14,4.19
09/10/07,14:00:00,0,5.975,4.506,7.67,17.558,10.6,59.75,3.1,1198.7,2.28,5.71
09/10/07,15:00:00,0,6.255,4.714,8.12,16.344,9.82,58.75,2.1,833.7,1.14,4.57
09/10/07,16:00:00,0,6.585,4.895,8.419,13.449,9.42,66.75,3.6,951.2,1.52,5.33
09/10/07,17:00:00,0,6.864,5.102,8.444,9.015,8.63,71.75,3.8,278.7,1.9,3.81
09/10/07,18:00:00,0,6.94,5.282,8.095,6.687,7.03,83.75,4.5,143.7,1.9,3.81
09/10/07,19:00:00,0,6.889,5.411,7.569,3.485,4.99,100,5,11.2,1.9,3.81
09/10/07,20:00:00,0,6.712,5.488,6.914,1.262,3.74,100,3.7,1.2,1.9,3.81
09/10/07,21:00:00,0,6.433,5.514,6.153,0.246,2.46,100,2.5,1.2,1.9,3.81
09/10/07,22:00:00,0,6.077,5.462,5.488,-0.227,2.03,100,2,1.2,4.95,96.31
09/10/07,23:00:00,0,5.745,5.36,4.921,-0.563,2.46,99.25,2.4,1.2,0.38,1.9
10/10/07,00:00:00,0,5.411,5.231,4.428,-0.93,2.03,90.75,0.7,1.2,0.38,2.66
10/10/07,01:00:00,0,5.102,5.102,4.037,-0.789,4.99,85.75,2.8,1.2,3.05,5.71
10/10/07,02:00:00,0,4.792,4.947,3.722,-0.451,4.99,88.25,3.2,1.2,3.05,5.71
10/10/07,03:00:00,0,4.558,4.792,3.512,-0.423,4.57,93.75,3.7,1.2,3.05,5.71
10/10/07,04:00:00,0,4.376,4.636,3.354,-0.479,4.15,88.75,2.5,1.2,3.05,5.71
10/10/07,05:00:00,0,4.194,4.506,3.221,-0.563,3.74,92.25,2.6,1.2,3.05,5.71
10/10/07,06:00:00,0,4.063,4.376,3.063,-0.423,4.15,89.75,2.6,33.7,3.05,5.71
10/10/07,07:00:00,0,3.932,4.063,2.956,-0.004,5.4,81.25,2.5,231.2,3.05,5.71
10/10/07,08:00:00,0,3.827,3.827,2.983,1.967,7.43,65.25,1.3,811.2,4.19,96.31
10/10/07,09:00:00,0,3.801,3.722,3.406,12.703,8.23,62.75,1.6,1318.7,6.09,9.52
10/10/07,10:00:00,0,3.985,3.985,4.22,19.674,9.82,59.25,2.3,1663.7,4.57,8.76
10/10/07,11:00:00,0,4.35,4.011,5.36,24.098,10.21,49.75,0.2,1901.2,4.95,9.14
10/10/07,12:00:00,0,4.921,4.089,6.611,25.186,10.6,44.25,-1.1,1958.7,6.09,9.14
10/10/07,13:00:00,0,5.539,4.246,7.619,26.5,12.16,39.75,-1.1,1988.7,4.57,7.61
10/10/07,14:00:00,0,6.128,4.48,8.469,25.38,12.16,39.75,-1.1,1876.2,5.33,10.28
10/10/07,15:00:00,0,6.636,4.74,9.04,20.246,12.16,45.25,0.7,1466.2,6.09,9.52
10/10/07,16:00:00,0,7.066,5.024,9.188,14.314,10.6,49.75,0.6,758.7,6.09,9.52
10/10/07,17:00:00,0,7.293,5.282,8.916,10.712,9.42,55.75,1,313.7,6.09,9.52
10/10/07,18:00:00,0,7.293,5.488,8.444,8.17,8.63,61.25,1.6,161.2,6.09,9.52
10/10/07,19:00:00,0,7.217,5.642,7.945,5.257,7.83,69.75,2.7,8.7,6.09,9.52
10/10/07,20:00:00,0,7.041,5.719,7.368,4.584,8.63,66.75,2.8,1.2,6.09,9.52
10/10/07,21:00:00,0,6.839,5.719,6.889,4.921,9.03,66.25,3.1,1.2,6.09,9.52
10/10/07,22:00:00,0,6.611,5.693,6.509,4.921,8.63,74.75,4.4,1.2,6.09,9.52
10/10/07,23:00:00,0,6.408,5.642,6.23,4.532,9.03,69.25,3.7,1.2,6.09,9.52
11/10/07,00:00:00,1.02,6.23,5.437,6.026,4.506,7.43,88.75,5.7,1.2,6.09,9.52
11/10/07,01:00:00,0,6.077,5.231,5.847,4.089,7.83,98.25,7.6,1.2,6.09,9.52
11/10/07,02:00:00,0,5.949,5.154,5.668,3.985,9.03,78.75,5.5,1.2,6.09,9.52
11/10/07,03:00:00,0,5.821,5.076,5.488,4.532,9.03,81.25,6,1.2,6.09,9.52
11/10/07,04:00:00,0,5.693,4.999,5.385,3.985,8.23,86.25,6.1,1.2,6.09,9.52
11/10/07,05:00:00,0,5.616,4.947,5.282,2.77,8.63,79.75,5.3,1.2,6.09,9.52
11/10/07,06:00:00,0,5.514,4.869,5.076,3.617,8.63,76.75,4.8,28.7,6.09,9.52
11/10/07,07:00:00,0,5.411,4.792,4.973,4.272,9.03,80.75,5.9,378.7,24.36,96.31
11/10/07,08:00:00,0,5.334,4.688,5.076,6.889,10.21,88.25,8.4,863.7,7.23,11.42
11/10/07,09:00:00,0,5.385,4.662,5.462,13.594,10.21,84.75,7.8,1151.2,7.61,11.42
11/10/07,10:00:00,0,5.539,4.947,6.051,18.295,11.77,79.75,8.4,1608.7,8.38,12.18
11/10/07,11:00:00,0,5.821,4.999,6.763,21.581,11.77,85.75,9.5,2053.7,9.14,14.85
