"Date","Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)","Temp, ¡C (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ¡C (SEN S/N: 904122)"
16-10-2007,08:00:00,0.00,6.000,5.308,5.514,7.015,936.2,1.52,96.31,9.03,33.75,-6.1
16-10-2007,09:00:00,0.00,5.949,5.231,5.821,18.010,1373.7,6.09,11.42,9.42,34.75,-5.4
16-10-2007,10:00:00,0.00,6.102,5.411,6.509,23.208,1721.2,7.61,13.70,9.03,32.75,-6.5
16-10-2007,11:00:00,0.00,6.408,5.591,7.293,26.426,1956.2,7.99,15.23,9.82,35.25,-4.8
16-10-2007,12:00:00,0.00,6.813,5.642,8.120,27.776,2063.7,8.38,15.23,9.03,41.25,-3.4
16-10-2007,13:00:00,0.00,7.217,5.770,8.841,27.235,2046.2,8.76,16.37,7.83,48.75,-2.3
16-10-2007,14:00:00,0.00,7.720,5.949,9.336,24.823,1903.7,8.76,15.99,8.23,48.75,-1.9
16-10-2007,15:00:00,0.00,8.095,6.128,9.583,19.318,1643.7,9.90,16.37,6.62,49.75,-3.1
16-10-2007,16:00:00,0.00,8.170,6.306,9.509,12.582,1276.2,9.90,16.37,5.40,48.75,-4.5
16-10-2007,17:00:00,0.00,8.095,6.458,9.188,7.970,811.2,9.90,16.37,4.99,48.25,-5.0
16-10-2007,18:00:00,0.00,7.995,6.585,8.668,4.895,331.2,9.90,16.37,2.46,53.75,-6.0
16-10-2007,19:00:00,0.00,7.820,6.636,7.995,1.940,18.7,9.90,16.37,-0.16,63.25,-6.3
16-10-2007,20:00:00,0.00,7.594,6.636,7.268,0.495,1.2,14.47,96.31,-1.97,88.75,-3.6
16-10-2007,21:00:00,0.00,7.268,6.585,6.585,-0.423,1.2,1.90,5.33,-1.51,84.25,-3.8
16-10-2007,22:00:00,0.00,6.914,6.484,5.975,-0.395,1.2,2.28,6.85,-1.51,93.25,-2.5
16-10-2007,23:00:00,0.00,6.535,6.331,5.488,-1.015,1.2,2.66,7.61,-2.90,99.25,-3.0
17-10-2007,00:00:00,0.00,6.204,6.179,5.050,-1.128,1.2,3.81,8.76,-2.90,100.00,-2.9
17-10-2007,01:00:00,0.00,5.924,6.026,4.688,-1.584,1.2,5.71,11.42,-2.90,100.00,-2.9
17-10-2007,02:00:00,0.00,5.642,5.872,4.350,-1.756,1.2,7.23,13.32,-3.37,100.00,-3.4
17-10-2007,03:00:00,0.00,5.385,5.693,4.037,-2.102,1.2,9.52,15.99,-3.37,100.00,-3.4
17-10-2007,04:00:00,0.00,5.154,5.539,3.801,-1.958,1.2,7.99,14.09,-3.85,100.00,-3.9
17-10-2007,05:00:00,0.00,4.947,5.385,3.591,-1.613,1.2,7.99,15.23,-3.37,100.00,-3.4
17-10-2007,06:00:00,0.00,4.766,5.231,3.406,-1.785,46.2,9.52,15.23,-3.37,100.00,-3.4
17-10-2007,07:00:00,0.00,4.688,5.076,3.248,-1.527,458.7,9.90,15.61,-2.44,100.00,-2.4
17-10-2007,08:00:00,0.00,4.480,4.610,3.168,1.425,946.2,9.90,15.61,-0.16,89.25,-1.7
17-10-2007,09:00:00,0.00,4.350,4.454,3.301,11.102,1383.7,8.76,96.31,2.89,60.75,-3.9
17-10-2007,10:00:00,0.00,4.350,4.324,3.932,17.249,1726.2,5.71,11.04,3.74,71.25,-1.0
17-10-2007,11:00:00,0.00,4.662,4.324,4.921,23.497,1958.7,3.81,7.99,6.22,57.25,-1.6
17-10-2007,12:00:00,0.00,5.154,4.636,6.230,28.221,2066.2,2.28,6.47,7.83,49.75,-2.0
17-10-2007,13:00:00,0.00,5.770,4.766,7.594,29.665,2051.2,1.90,5.71,9.03,44.25,-2.5
17-10-2007,14:00:00,0.00,6.535,4.973,8.742,27.653,1906.2,2.28,6.47,9.03,44.75,-2.3
17-10-2007,15:00:00,0.00,7.293,5.257,9.435,20.984,1638.7,2.28,6.47,8.63,52.25,-0.6
17-10-2007,16:00:00,0.00,7.569,5.565,9.682,13.690,1271.2,2.28,6.47,8.63,53.75,-0.2
17-10-2007,17:00:00,0.00,7.695,5.847,9.534,9.238,818.7,2.28,6.47,7.83,53.25,-1.1
17-10-2007,18:00:00,0.00,7.720,6.077,9.114,6.255,336.2,2.28,6.47,6.22,55.75,-2.0
17-10-2007,19:00:00,0.00,7.645,6.230,8.494,3.142,21.2,2.28,6.47,3.31,70.25,-1.6
17-10-2007,20:00:00,0.00,7.494,6.306,7.745,1.071,1.2,2.28,6.47,2.46,68.75,-2.7
17-10-2007,21:00:00,0.00,7.242,6.306,6.990,0.135,1.2,2.28,6.47,2.03,73.75,-2.2
17-10-2007,22:00:00,0.00,6.889,6.281,6.331,-0.479,1.2,2.28,6.47,3.31,57.25,-4.3
17-10-2007,23:00:00,0.00,6.560,6.179,5.770,0.495,1.2,2.28,6.47,5.81,56.25,-2.2
18-10-2007,00:00:00,0.00,6.204,6.051,5.385,0.880,1.2,2.28,6.47,5.40,61.75,-1.3
18-10-2007,01:00:00,0.00,5.949,5.924,5.154,0.962,1.2,2.28,6.47,4.99,66.75,-0.7
18-10-2007,02:00:00,0.00,5.719,5.770,4.921,0.660,1.2,2.28,6.47,4.57,65.75,-1.3
18-10-2007,03:00:00,0.00,5.514,5.668,4.740,0.163,1.2,2.28,6.47,4.15,50.75,-5.1
18-10-2007,04:00:00,0.00,5.334,5.539,4.506,-0.339,1.2,2.28,6.47,3.74,61.25,-3.0
18-10-2007,05:00:00,0.00,5.154,5.411,4.272,-0.648,1.2,2.28,6.47,3.31,63.25,-3.0
18-10-2007,06:00:00,0.00,4.999,5.308,4.063,-0.648,51.2,2.28,6.47,4.15,56.75,-3.7
18-10-2007,07:00:00,0.00,4.999,4.818,3.880,0.934,466.2,2.66,96.31,6.62,37.75,-6.8
18-10-2007,08:00:00,0.00,4.921,4.402,4.037,6.026,938.7,5.71,9.90,8.23,36.75,-5.7
18-10-2007,09:00:00,0.00,4.921,4.246,4.584,17.249,1386.2,5.71,9.90,9.03,38.25,-4.4
18-10-2007,10:00:00,0.00,5.128,4.246,5.437,22.968,1728.7,8.38,13.32,9.42,39.25,-3.7
18-10-2007,11:00:00,0.00,5.488,4.272,6.382,27.333,1963.7,8.76,14.09,9.82,42.25,-2.4
18-10-2007,12:00:00,0.00,5.949,4.454,7.293,29.765,2073.7,8.76,13.32,10.60,39.25,-2.7
18-10-2007,13:00:00,0.00,6.509,4.662,8.095,29.515,2053.7,9.52,14.47,10.99,29.25,-6.2
18-10-2007,14:00:00,0.00,7.142,4.973,8.717,27.505,1908.7,9.90,14.85,11.38,43.75,-0.5
18-10-2007,15:00:00,0.00,7.419,5.385,9.064,21.628,1643.7,11.42,19.03,10.99,34.75,-4.0
18-10-2007,16:00:00,0.00,7.594,5.642,9.064,14.146,1276.2,11.80,16.37,10.60,24.25,-9.0
18-10-2007,17:00:00,0.00,7.544,5.872,8.792,9.485,823.7,11.80,16.37,9.82,33.25,-5.6
18-10-2007,18:00:00,0.00,7.469,6.051,8.369,6.611,321.2,11.80,16.37,8.23,41.25,-4.2
18-10-2007,19:00:00,0.00,7.393,6.153,7.845,4.168,16.2,11.80,16.37,7.43,42.75,-4.4
18-10-2007,20:00:00,0.00,7.217,6.179,7.293,3.274,1.2,11.80,16.37,7.43,41.75,-4.7
18-10-2007,21:00:00,0.00,6.965,6.153,6.788,3.617,1.2,11.80,16.37,7.83,37.25,-5.9
18-10-2007,22:00:00,0.00,6.737,6.077,6.433,4.141,1.2,11.80,16.37,8.23,35.25,-6.2
18-10-2007,23:00:00,0.00,6.509,5.796,6.153,3.801,1.2,11.80,16.37,8.23,39.75,-4.6
19-10-2007,00:00:00,0.00,6.306,5.693,5.898,4.220,1.2,11.80,16.37,8.63,43.25,-3.2
19-10-2007,01:00:00,0.00,6.153,5.591,5.745,3.985,1.2,11.80,16.37,8.23,49.75,-1.6
19-10-2007,02:00:00,0.00,6.000,5.488,5.591,3.749,1.2,11.80,16.37,8.63,53.25,-0.3
19-10-2007,03:00:00,0.00,5.872,5.411,5.462,3.985,1.2,11.80,16.37,8.63,55.25,0.2
19-10-2007,04:00:00,0.00,5.770,5.334,5.385,3.880,1.2,11.80,16.37,8.23,60.25,1.0
19-10-2007,05:00:00,0.00,5.668,5.257,5.308,4.272,1.2,11.80,16.37,8.23,64.75,2.0
19-10-2007,06:00:00,0.00,5.642,5.179,5.257,4.921,26.2,11.80,16.37,8.63,64.25,2.3
19-10-2007,07:00:00,0.00,5.668,5.102,5.257,5.411,378.7,11.80,16.37,9.42,64.25,3.0
19-10-2007,08:00:00,0.00,5.821,4.869,5.411,9.386,961.2,5.33,96.31,11.38,56.25,3.0
19-10-2007,09:00:00,0.00,5.847,4.792,5.872,20.198,1523.7,9.14,16.75,12.93,43.25,0.7
19-10-2007,10:00:00,0.00,6.026,4.714,6.636,26.598,1731.2,8.38,16.37,13.32,43.25,1.1
19-10-2007,11:00:00,0.00,6.382,4.818,7.619,31.459,1906.2,6.85,12.94,14.47,46.25,3.1
19-10-2007,12:00:00,0.00,6.889,5.024,8.643,33.417,2071.2,7.99,14.47,15.23,42.75,2.7
19-10-2007,13:00:00,0.00,7.469,5.385,9.558,33.183,2058.7,8.76,16.75,16.76,34.75,1.1
19-10-2007,14:00:00,0.00,8.145,5.821,10.222,31.791,1923.7,7.99,14.85,16.38,33.75,0.4
19-10-2007,15:00:00,0.00,8.668,6.102,10.638,27.014,1653.7,7.23,11.42,16.38,34.25,0.6
19-10-2007,16:00:00,0.00,8.817,6.357,10.834,19.603,1283.7,7.23,11.42,16.76,31.75,-0.1
19-10-2007,17:00:00,0.00,8.941,6.636,10.736,14.146,836.2,7.23,11.42,16.38,35.25,1.0
19-10-2007,18:00:00,0.00,8.941,6.864,10.394,10.222,358.7,7.23,11.42,14.47,30.75,-2.5
19-10-2007,19:00:00,0.00,8.891,7.015,9.829,6.077,26.2,7.23,11.42,10.21,76.25,6.2
19-10-2007,20:00:00,0.00,8.742,7.116,9.089,3.009,1.2,7.23,11.42,9.03,100.00,9.0
19-10-2007,21:00:00,0.00,8.494,7.142,8.319,1.940,1.2,7.23,11.42,6.22,100.00,6.2
19-10-2007,22:00:00,0.00,8.145,7.091,7.619,0.742,1.2,7.23,11.42,6.22,100.00,6.2
19-10-2007,23:00:00,0.00,7.820,7.015,6.990,0.522,1.2,7.23,11.42,8.23,100.00,8.2
20-10-2007,00:00:00,0.00,7.469,6.889,6.484,0.079,1.2,7.23,11.42,7.03,93.75,6.1
20-10-2007,01:00:00,0.00,7.142,6.737,6.026,-0.116,1.2,7.23,11.42,5.81,85.75,3.6
20-10-2007,02:00:00,0.00,6.864,6.585,5.642,-0.817,1.2,7.23,11.42,7.83,64.75,1.6
20-10-2007,03:00:00,0.00,6.585,6.408,5.257,-1.128,1.2,7.23,11.42,8.23,53.75,-0.6
20-10-2007,04:00:00,0.00,6.331,6.255,4.921,-1.756,1.2,7.23,11.42,7.83,47.25,-2.7
20-10-2007,05:00:00,0.00,6.102,6.102,4.584,-1.641,1.2,7.23,11.42,7.43,46.25,-3.4
20-10-2007,06:00:00,0.00,5.898,5.949,4.324,-1.213,61.2,7.23,11.42,7.03,53.75,-1.7
20-10-2007,07:00:00,0.00,5.693,5.205,4.194,1.588,496.2,1.14,96.31,13.32,27.25,-5.2
20-10-2007,08:00:00,0.00,5.462,4.844,4.584,9.040,983.7,4.19,7.61,14.85,25.25,-4.8
20-10-2007,09:00:00,0.00,5.514,4.766,5.411,22.298,1416.2,4.95,8.76,14.47,29.25,-3.2
20-10-2007,10:00:00,0.00,5.847,5.179,6.433,29.490,1758.7,6.09,9.90,15.23,29.75,-2.3
20-10-2007,11:00:00,0.00,6.306,5.488,7.594,34.704,1988.7,5.71,9.90,15.23,36.25,0.4
20-10-2007,12:00:00,0.00,6.889,5.616,8.792,36.579,2096.2,6.09,9.90,16.00,28.75,-2.1
20-10-2007,13:00:00,0.00,7.619,5.796,9.829,36.119,2076.2,6.47,11.80,16.76,24.25,-3.8
20-10-2007,14:00:00,0.00,8.369,6.051,10.516,33.183,1928.7,7.23,11.80,16.76,24.75,-3.5
20-10-2007,15:00:00,0.00,8.742,6.331,10.883,27.899,1661.2,7.23,13.32,17.14,25.25,-2.9
20-10-2007,16:00:00,0.00,8.990,6.585,10.980,20.460,1288.7,7.23,13.32,17.52,24.75,-2.8
20-10-2007,17:00:00,0.00,9.114,6.839,10.810,14.768,836.2,7.23,13.32,16.76,27.25,-2.2
20-10-2007,18:00:00,0.00,9.114,7.066,10.443,11.102,358.7,7.23,13.32,15.23,26.25,-4.0
20-10-2007,19:00:00,0.00,9.040,7.217,9.903,8.070,28.7,7.23,13.32,14.09,29.75,-3.3
20-10-2007,20:00:00,0.00,8.866,7.293,9.262,6.509,1.2,7.23,13.32,12.55,32.75,-3.4
20-10-2007,21:00:00,0.00,8.643,7.318,8.693,5.847,1.2,7.23,13.32,13.70,29.75,-3.7
20-10-2007,22:00:00,0.00,8.369,7.293,8.195,6.255,1.2,7.23,13.32,13.70,30.75,-3.2
20-10-2007,23:00:00,0.00,8.095,7.217,7.820,6.153,1.2,7.23,13.32,13.70,30.25,-3.4
21-10-2007,00:00:00,0.00,7.870,7.142,7.519,6.153,1.2,7.23,13.32,13.32,31.75,-3.1
21-10-2007,01:00:00,0.00,7.670,6.965,7.293,5.924,1.2,7.23,13.32,13.32,29.75,-4.0
21-10-2007,02:00:00,0.00,7.494,6.661,7.066,5.949,1.2,7.23,13.32,13.70,23.75,-6.6
21-10-2007,03:00:00,0.00,7.343,6.560,6.889,6.560,1.2,7.23,13.32,14.09,25.25,-5.5
21-10-2007,04:00:00,0.00,7.192,6.458,6.763,6.611,1.2,7.23,13.32,14.85,24.75,-5.1
21-10-2007,05:00:00,0.00,7.066,6.357,6.636,6.408,1.2,7.23,13.32,13.70,27.25,-4.8
21-10-2007,06:00:00,0.00,6.965,6.281,6.535,6.687,68.7,7.23,13.32,13.70,27.75,-4.6
21-10-2007,07:00:00,0.00,7.015,6.051,6.509,8.245,448.7,7.23,13.32,15.23,29.75,-2.3
21-10-2007,08:00:00,0.00,7.041,5.898,6.687,11.224,581.2,12.18,96.31,14.47,36.25,-0.3
21-10-2007,09:00:00,0.00,7.066,5.745,6.990,21.700,1281.2,9.52,14.47,15.23,40.25,1.8
21-10-2007,10:00:00,0.00,7.192,5.719,7.619,26.744,1496.2,9.52,14.85,17.14,34.75,1.5
21-10-2007,11:00:00,0.00,7.494,5.770,8.394,26.891,1443.7,8.38,17.51,18.28,33.75,2.1
21-10-2007,12:00:00,0.00,7.845,5.924,9.188,34.916,2043.7,8.76,15.61,18.28,34.25,2.3
21-10-2007,13:00:00,0.00,8.319,6.128,10.100,36.173,2051.2,7.61,14.47,19.04,37.25,4.1
21-10-2007,14:00:00,0.00,9.015,6.661,10.907,32.898,1651.2,7.23,13.32,18.28,33.75,2.1
21-10-2007,15:00:00,0.00,9.361,6.864,11.346,24.557,1021.2,7.23,13.32,18.66,36.25,3.4
21-10-2007,16:00:00,0.00,9.682,7.116,11.370,19.888,716.2,6.47,11.42,18.28,34.25,2.3
21-10-2007,17:00:00,0.00,9.780,7.318,11.127,16.915,446.2,5.71,10.28,18.66,32.75,2.0
21-10-2007,18:00:00,0.00,9.731,7.469,10.810,14.170,176.2,5.71,10.28,17.90,31.75,0.9
21-10-2007,19:00:00,0.00,9.632,7.594,10.418,11.904,16.2,5.71,10.28,17.90,26.75,-1.5
21-10-2007,20:00:00,0.00,9.509,7.444,10.026,10.956,1.2,5.71,10.28,17.52,25.75,-2.3
21-10-2007,21:00:00,0.00,9.336,7.419,9.632,10.418,1.2,5.71,10.28,17.52,24.75,-2.8
21-10-2007,22:00:00,0.00,9.163,7.393,9.287,10.149,1.2,5.71,10.28,17.52,24.25,-3.1
21-10-2007,23:00:00,0.00,8.941,7.368,9.015,10.051,1.2,5.71,10.28,17.14,24.25,-3.4
22-10-2007,00:00:00,0.00,8.792,7.343,8.792,9.657,1.2,5.71,10.28,16.76,25.25,-3.2
22-10-2007,01:00:00,0.00,8.643,7.293,8.593,9.139,1.2,5.71,10.28,16.38,26.25,-3.0
22-10-2007,02:00:00,0.00,8.519,7.242,8.394,8.469,1.2,5.71,10.28,14.85,31.25,-2.0
22-10-2007,03:00:00,0.00,8.394,7.192,8.220,7.945,1.2,5.71,10.28,13.32,37.75,-0.8
22-10-2007,04:00:00,0.00,8.270,7.142,8.045,7.419,1.2,5.71,10.28,12.93,42.25,0.4
22-10-2007,05:00:00,0.00,8.145,7.091,7.870,7.192,1.2,5.71,10.28,12.16,47.25,1.3
22-10-2007,06:00:00,0.00,8.045,7.015,7.745,7.745,31.2,5.71,10.28,12.93,41.75,0.3
22-10-2007,07:00:00,0.00,7.945,6.889,7.645,9.213,148.7,5.71,10.28,14.09,33.75,-1.6
22-10-2007,08:00:00,0.00,7.895,6.813,7.619,11.589,346.2,5.71,10.28,14.85,30.25,-2.4
22-10-2007,09:00:00,0.00,7.920,6.737,7.695,12.098,348.7,5.71,10.28,14.47,34.75,-0.9
22-10-2007,10:00:00,0.00,7.970,6.636,7.795,19.436,1053.7,35.40,96.31,16.00,35.25,0.7
22-10-2007,11:00:00,0.00,8.020,6.484,8.319,34.255,2316.2,6.85,11.42,17.14,31.25,-0.0
22-10-2007,12:00:00,0.00,8.319,6.560,9.534,37.096,1953.7,6.09,14.47,18.28,33.25,1.9
22-10-2007,13:00:00,0.00,8.866,6.687,10.663,38.198,2123.7,6.09,12.18,19.04,27.25,-0.2
22-10-2007,14:00:00,0.00,9.583,7.268,11.516,34.889,2013.7,7.61,14.09,18.66,25.75,-1.3
22-10-2007,15:00:00,0.00,10.026,7.494,11.929,27.284,1111.2,6.09,13.70,17.52,31.25,0.3
22-10-2007,16:00:00,0.00,10.345,7.494,11.977,21.533,856.2,4.19,7.99,18.28,26.75,-1.1
22-10-2007,17:00:00,0.00,10.541,7.670,11.807,18.010,368.7,4.19,7.99,17.52,29.25,-0.6
22-10-2007,18:00:00,0.00,10.516,7.870,11.516,14.146,116.2,4.19,7.99,12.55,99.25,12.5
22-10-2007,19:00:00,0.00,10.418,8.020,11.102,11.346,6.2,4.19,7.99,11.38,100.00,11.4
22-10-2007,20:00:00,0.00,10.296,8.070,10.638,10.296,1.2,4.19,7.99,10.60,100.00,10.6
22-10-2007,21:00:00,0.00,10.124,8.095,10.247,9.682,1.2,4.19,7.99,10.21,100.00,10.2
22-10-2007,22:00:00,0.00,9.952,8.070,9.928,8.494,1.2,4.19,7.99,9.82,100.00,9.8
22-10-2007,23:00:00,0.00,9.780,8.045,9.608,8.369,1.2,4.19,7.99,10.99,100.00,11.0
23-10-2007,00:00:00,0.00,9.608,7.995,9.312,8.195,1.2,4.19,7.99,10.60,100.00,10.6
23-10-2007,01:00:00,0.00,9.435,7.945,9.114,8.070,1.2,4.19,7.99,10.60,100.00,10.6
23-10-2007,02:00:00,0.00,9.262,7.870,8.916,7.820,1.2,4.19,7.99,10.60,100.00,10.6
23-10-2007,03:00:00,0.00,9.114,7.770,8.767,7.695,1.2,4.19,7.99,10.99,99.25,10.9
23-10-2007,04:00:00,0.25,8.990,7.670,8.593,7.695,1.2,4.19,7.99,10.99,98.25,10.7
23-10-2007,05:00:00,0.51,8.891,7.594,8.270,7.619,1.2,4.19,7.99,10.99,99.25,10.9
23-10-2007,06:00:00,0.25,8.792,7.469,7.995,7.795,21.2,13.32,96.31,10.21,100.00,10.2
23-10-2007,07:00:00,0.25,8.693,7.393,7.895,8.593,86.2,4.57,9.52,9.82,100.00,9.8
23-10-2007,08:00:00,0.51,8.643,7.318,7.845,9.632,196.2,4.19,9.90,10.21,100.00,10.2
23-10-2007,09:00:00,0.00,8.618,7.217,7.670,12.147,406.2,4.95,8.76,10.99,100.00,11.0
23-10-2007,10:00:00,0.00,8.643,7.167,7.870,11.637,333.7,4.19,8.38,10.60,100.00,10.6
23-10-2007,11:00:00,0.25,8.693,7.167,8.070,10.858,251.2,4.19,7.61,9.82,100.00,9.8
23-10-2007,12:00:00,0.51,8.742,7.167,8.120,11.565,328.7,4.57,7.99,9.82,100.00,9.8
23-10-2007,13:00:00,0.76,8.792,7.192,8.195,11.710,273.7,4.57,9.52,9.42,100.00,9.4
23-10-2007,14:00:00,0.51,8.841,7.217,8.245,10.858,238.7,3.43,6.85,9.82,100.00,9.8
23-10-2007,15:00:00,0.00,8.866,7.217,8.245,11.783,273.7,4.19,7.61,10.21,100.00,10.2
23-10-2007,16:00:00,0.25,8.916,7.217,8.319,11.200,186.2,3.81,7.99,10.21,100.00,10.2
23-10-2007,17:00:00,2.03,8.941,7.242,8.344,9.756,53.7,5.33,11.42,9.82,100.00,9.8
23-10-2007,18:00:00,1.27,8.965,7.293,8.245,9.238,36.2,5.33,9.90,9.42,100.00,9.4
23-10-2007,19:00:00,5.59,8.941,7.318,8.145,8.668,3.7,4.95,10.28,9.03,100.00,9.0
23-10-2007,20:00:00,0.51,8.891,7.343,7.995,8.369,1.2,4.57,9.52,8.63,100.00,8.6
23-10-2007,21:00:00,0.00,8.817,7.343,7.845,8.120,1.2,5.33,10.66,8.63,100.00,8.6
23-10-2007,22:00:00,0.00,8.742,7.343,7.720,7.695,1.2,5.33,9.52,8.23,100.00,8.2
23-10-2007,23:00:00,0.00,8.643,7.343,7.594,7.494,1.2,3.81,7.23,8.23,100.00,8.2
24-10-2007,00:00:00,0.00,8.568,7.343,7.469,6.179,1.2,1.90,6.09,7.83,100.00,7.8
24-10-2007,01:00:00,0.00,8.469,7.293,7.268,6.636,1.2,1.14,4.19,7.83,100.00,7.8
24-10-2007,02:00:00,0.00,8.319,7.242,7.142,6.965,1.2,0.76,3.05,7.83,100.00,7.8
24-10-2007,03:00:00,0.00,8.245,7.217,7.116,5.437,1.2,0.00,2.28,7.03,100.00,7.0
