Date,"Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ÁC (SEN S/N: 684635)",,"Temp, ÁC (SEN S/N: 684637)",,,,,"PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
15/04/08,16:00:00,0,9.336,,537.327,,,,,883.7,96.31,96.31
15/04/08,17:00:00,0,9.534,,537.327,,,,,503.7,96.31,96.31
15/04/08,18:00:00,0,9.485,,537.327,,,,,83.7,96.31,96.31
15/04/08,19:00:00,0,9.287,,537.327,,,,,1.2,96.31,96.31
15/04/08,20:00:00,0,8.965,,537.327,,,,,1.2,96.31,96.31
15/04/08,21:00:00,0,8.593,,537.327,,,,,1.2,96.31,96.31
15/04/08,22:00:00,0,8.245,,537.327,,,,,1.2,96.31,96.31
15/04/08,23:00:00,0,7.995,,537.327,,,,,1.2,96.31,96.31
16/04/08,00:00:00,0,7.77,,537.327,,,,,1.2,96.31,96.31
16/04/08,01:00:00,0,7.519,,537.327,,,,,1.2,96.31,96.31
16/04/08,02:00:00,0,7.242,,537.327,,,,,1.2,96.31,96.31
16/04/08,03:00:00,0,6.965,,537.327,,,,,1.2,96.31,96.31
16/04/08,04:00:00,0,6.712,,537.327,,,,,1.2,96.31,96.31
16/04/08,05:00:00,0,6.509,,537.327,,,,,1.2,96.31,96.31
16/04/08,06:00:00,0,6.331,,537.327,,,,,1.2,96.31,96.31
16/04/08,07:00:00,0,6.179,,537.327,,,,,13.7,96.31,96.31
16/04/08,08:00:00,0,6.051,,537.327,,,,,346.2,96.31,96.31
16/04/08,09:00:00,0,5.872,,537.327,,,,,798.7,96.31,96.31
16/04/08,10:00:00,0,5.821,,537.327,,,,,1166.2,96.31,96.31
16/04/08,11:00:00,0,5.975,,537.327,,,,,1438.7,96.31,96.31
16/04/08,12:00:00,0,6.408,,537.327,,,,,1578.7,96.31,96.31
16/04/08,13:00:00,0,6.99,,537.327,,,,,1598.7,96.31,96.31
16/04/08,14:00:00,0,7.594,,537.327,,,,,1486.2,96.31,96.31
16/04/08,15:00:00,0,8.12,,537.327,,,,,1241.2,96.31,96.31
16/04/08,16:00:00,0,8.519,,537.327,,,,,901.2,96.31,96.31
16/04/08,17:00:00,0,8.717,,537.327,,,,,486.2,96.31,96.31
16/04/08,18:00:00,0,8.742,,537.327,,,,,78.7,96.31,96.31
16/04/08,19:00:00,0,8.593,,537.327,,,,,1.2,96.31,96.31
16/04/08,20:00:00,0,8.394,,537.327,,,,,1.2,96.31,96.31
16/04/08,21:00:00,0,8.12,,537.327,,,,,1.2,96.31,96.31
16/04/08,22:00:00,0,7.845,,537.327,,,,,1.2,96.31,96.31
16/04/08,23:00:00,0,7.594,,537.327,,,,,1.2,96.31,96.31
17/04/08,00:00:00,0,7.343,,537.327,,,,,1.2,96.31,96.31
17/04/08,01:00:00,0,7.116,,537.327,,,,,1.2,96.31,96.31
17/04/08,02:00:00,0,6.889,,537.327,,,,,1.2,96.31,96.31
17/04/08,03:00:00,0,6.661,,537.327,,,,,1.2,96.31,96.31
17/04/08,04:00:00,0,6.484,,537.327,,,,,1.2,96.31,96.31
17/04/08,05:00:00,0,6.306,,537.327,,,,,1.2,96.31,96.31
17/04/08,06:00:00,0,6.102,,537.327,,,,,1.2,96.31,96.31
17/04/08,07:00:00,0,5.924,,537.327,,,,,11.2,96.31,96.31
17/04/08,08:00:00,0,5.77,,537.327,,,,,341.2,96.31,96.31
17/04/08,09:00:00,0,5.565,,537.327,,,,,796.2,96.31,96.31
17/04/08,10:00:00,0,5.488,,537.327,,,,,1168.7,96.31,96.31
17/04/08,11:00:00,0,5.616,,537.327,,,,,1438.7,96.31,96.31
17/04/08,12:00:00,0,6.051,,537.327,,,,,1583.7,37.69,96.31
17/04/08,13:00:00,0,6.661,,537.327,,,,,1598.7,37.69,96.31
17/04/08,14:00:00,0,7.343,,537.327,,,,,1486.2,37.69,96.31
17/04/08,15:00:00,0,7.97,,537.327,,,,,1236.2,37.69,96.31
17/04/08,16:00:00,0,8.444,,537.327,,,,,886.2,37.69,96.31
17/04/08,17:00:00,0,8.693,,537.327,,,,,468.7,37.69,96.31
17/04/08,18:00:00,0,8.717,,537.327,,,,,71.2,6.85,96.31
17/04/08,19:00:00,0,8.618,,537.327,,,,,1.2,0,71.95
17/04/08,20:00:00,0,8.394,,537.327,,,,,1.2,0,9.9
17/04/08,21:00:00,0,8.07,,537.327,,,,,1.2,0.76,18.65
17/04/08,22:00:00,0,7.745,,537.327,,,,,1.2,0.76,27.41
17/04/08,23:00:00,0,7.419,,537.327,,,,,1.2,0.76,47.97
18/04/08,00:00:00,0,7.116,,537.327,,,,,1.2,0,10.66
18/04/08,01:00:00,0,6.839,,537.327,,,,,1.2,0.76,59.01
18/04/08,02:00:00,0,6.585,,537.327,,,,,1.2,4.19,96.31
18/04/08,03:00:00,0,6.357,,537.327,,,,,1.2,0.38,77.28
18/04/08,04:00:00,0,6.153,,537.327,,,,,1.2,0.38,63.96
18/04/08,05:00:00,0,5.949,,537.327,,,,,1.2,12.56,96.31
18/04/08,06:00:00,0,5.77,,537.327,,,,,1.2,0.76,61.29
18/04/08,07:00:00,0,5.616,,537.327,,,,,16.2,0.38,57.1
18/04/08,08:00:00,0,5.488,,537.327,,,,,283.7,0,0
18/04/08,09:00:00,0,5.334,,537.327,,,,,641.2,0,0
18/04/08,10:00:00,0,5.282,,537.327,,,,,1108.7,0,0
18/04/08,11:00:00,0,5.514,,537.327,,,,,818.7,0,0
18/04/08,12:00:00,0,6,,537.327,,,,,936.2,0,0
18/04/08,13:00:00,0,6.509,,537.327,,,,,1026.2,0,0
18/04/08,14:00:00,0,7.015,,537.327,,,,,1093.7,0,0
18/04/08,15:00:00,0,7.444,,537.327,,,,,738.7,0,0
18/04/08,16:00:00,0,7.795,,537.327,,,,,823.7,0,0
18/04/08,17:00:00,0,7.945,,537.327,,,,,438.7,0,0
18/04/08,18:00:00,0,7.97,,537.327,,,,,53.7,0,0
18/04/08,19:00:00,0,7.895,,537.327,,,,,1.2,0,0
18/04/08,20:00:00,0,7.72,,537.327,,,,,1.2,0,0
18/04/08,21:00:00,0,7.569,,537.327,,,,,1.2,0,0
18/04/08,22:00:00,0,7.469,,537.327,,,,,1.2,0,0
18/04/08,23:00:00,0,7.393,,537.327,,,,,1.2,0,0
19/04/08,00:00:00,0,7.318,,537.327,,,,,1.2,0,0
19/04/08,01:00:00,0,7.242,,537.327,,,,,1.2,0,0
19/04/08,02:00:00,0,7.066,,537.327,,,,,1.2,0,0
19/04/08,03:00:00,0,6.839,,537.327,,,,,1.2,0,0
19/04/08,04:00:00,0,6.585,,537.327,,,,,1.2,0,0
19/04/08,05:00:00,0,6.331,,537.327,,,,,1.2,0,0
19/04/08,06:00:00,0,6.102,,537.327,,,,,1.2,0,0
19/04/08,07:00:00,0,5.898,,537.327,,,,,11.2,0,0
19/04/08,08:00:00,0,5.693,,537.327,,,,,328.7,0,0
19/04/08,09:00:00,0,5.462,,537.327,,,,,776.2,0,0
19/04/08,10:00:00,0,5.334,,537.327,,,,,1146.2,0,0
19/04/08,11:00:00,0,5.385,,537.327,,,,,1413.7,0,0
19/04/08,12:00:00,0,5.719,,537.327,,,,,1558.7,0,0
19/04/08,13:00:00,0,6.23,,537.327,,,,,1576.2,0,0
19/04/08,14:00:00,0,6.813,,537.327,,,,,1463.7,0,0
19/04/08,15:00:00,0,7.393,,537.327,,,,,1223.7,0,0
19/04/08,16:00:00,0,7.845,,537.327,,,,,876.2,0,0
19/04/08,17:00:00,0,8.045,,537.327,,,,,456.2,0,0
19/04/08,18:00:00,0,8.07,,537.327,,,,,61.2,0,0
19/04/08,19:00:00,0,7.92,,537.327,,,,,1.2,0,0
19/04/08,20:00:00,0,7.695,,537.327,,,,,1.2,0,0
19/04/08,21:00:00,0,7.393,,537.327,,,,,1.2,0,0
19/04/08,22:00:00,0,7.066,,537.327,,,,,1.2,0,0
19/04/08,23:00:00,0,6.737,,537.327,,,,,1.2,0,0
20/04/08,00:00:00,0,6.433,,537.327,,,,,1.2,0,0
20/04/08,01:00:00,0,6.153,,537.327,,,,,1.2,0,0
20/04/08,02:00:00,0,5.898,,537.327,,,,,1.2,0,0
20/04/08,03:00:00,0,5.668,,537.327,,,,,1.2,0,0
20/04/08,04:00:00,0,5.462,,537.327,,,,,1.2,0,0
20/04/08,05:00:00,0,5.282,,537.327,,,,,1.2,0,0
20/04/08,06:00:00,0,5.102,,537.327,,,,,1.2,0,0
20/04/08,07:00:00,0,4.947,,537.327,,,,,11.2,0,0
20/04/08,08:00:00,0,4.766,,537.327,,,,,311.2,0,0
20/04/08,09:00:00,0,4.584,,537.327,,,,,761.2,0,0
20/04/08,10:00:00,0,4.454,,537.327,,,,,1131.2,0,0
20/04/08,11:00:00,0,4.428,,537.327,,,,,1401.2,0,0
20/04/08,12:00:00,0,4.636,,537.327,,,,,1543.7,0,0
20/04/08,13:00:00,0,5.154,,537.327,,,,,1556.2,0,0
20/04/08,14:00:00,0,5.821,,537.327,,,,,1441.2,0,0
20/04/08,15:00:00,0,6.509,,537.327,,,,,1203.7,0,0
20/04/08,16:00:00,0,7.015,,537.327,,,,,858.7,0,0
20/04/08,17:00:00,0,7.268,,537.327,,,,,436.2,0,0
20/04/08,18:00:00,0,7.318,,537.327,,,,,38.7,0,0
20/04/08,19:00:00,0,7.167,,537.327,,,,,1.2,0,0
20/04/08,20:00:00,0,6.914,,537.327,,,,,1.2,0,0
20/04/08,21:00:00,0,6.585,,537.327,,,,,1.2,0,0
20/04/08,22:00:00,0,6.281,,537.327,,,,,1.2,0,0
20/04/08,23:00:00,0,6,,537.327,,,,,1.2,0,0
21/04/08,00:00:00,0,5.77,,537.327,,,,,1.2,0,0
21/04/08,01:00:00,0,5.539,,537.327,,,,,1.2,0,0
21/04/08,02:00:00,0,5.36,,537.327,,,,,1.2,0,0
21/04/08,03:00:00,0,5.179,,537.327,,,,,1.2,0,0
21/04/08,04:00:00,0,5.024,,537.327,,,,,1.2,0,0
21/04/08,05:00:00,0,4.895,,537.327,,,,,1.2,0,0
21/04/08,06:00:00,0,4.766,,537.327,,,,,1.2,0,0
21/04/08,07:00:00,0,4.662,,537.327,,,,,8.7,0,0
21/04/08,08:00:00,0,4.584,,537.327,,,,,298.7,0,0
21/04/08,09:00:00,0,4.428,,537.327,,,,,748.7,0,0
21/04/08,10:00:00,0,4.376,,537.327,,,,,1116.2,0,0
21/04/08,11:00:00,0,4.506,,537.327,,,,,1378.7,0,0
21/04/08,12:00:00,0,4.921,,537.327,,,,,1523.7,0,0
21/04/08,13:00:00,0,5.539,,537.327,,,,,1536.2,0,0
21/04/08,14:00:00,0,6.204,,537.327,,,,,1426.2,0,0
21/04/08,15:00:00,0,6.813,,537.327,,,,,981.2,0,0
21/04/08,16:00:00,0,7.268,,537.327,,,,,683.7,0,0
21/04/08,17:00:00,0,7.519,,537.327,,,,,296.2,0,0
21/04/08,18:00:00,0,7.544,,537.327,,,,,46.2,0,0
21/04/08,19:00:00,0,7.444,,537.327,,,,,1.2,0,0
21/04/08,20:00:00,0,7.293,,537.327,,,,,1.2,0,0
21/04/08,21:00:00,0,7.142,,537.327,,,,,1.2,0,0
21/04/08,22:00:00,0,7.015,,537.327,,,,,1.2,0,0
21/04/08,23:00:00,0,6.889,,537.327,,,,,1.2,0,0
22/04/08,00:00:00,0,6.763,,537.327,,,,,1.2,0,0
22/04/08,01:00:00,0,6.636,,537.327,,,,,1.2,0,0
22/04/08,02:00:00,0,6.433,,537.327,,,,,1.2,0,0
22/04/08,03:00:00,0,6.255,,537.327,,,,,1.2,0,0
22/04/08,04:00:00,0,6.077,,537.327,,,,,1.2,0,0
22/04/08,05:00:00,0,5.975,,537.327,,,,,1.2,0,0
22/04/08,06:00:00,0,5.898,,537.327,,,,,1.2,0,0
22/04/08,07:00:00,0,5.796,,537.327,,,,,8.7,0,0
22/04/08,08:00:00,0,5.591,,537.327,,,,,303.7,0,0
22/04/08,09:00:00,0,5.36,,537.327,,,,,748.7,0,0
22/04/08,10:00:00,0,5.257,,537.327,,,,,1116.2,0,0
22/04/08,11:00:00,0,5.385,,537.327,,,,,1378.7,0,0
22/04/08,12:00:00,0,5.77,,537.327,,,,,1521.2,0,0
22/04/08,13:00:00,0,6.306,,537.327,,,,,1536.2,0,0
22/04/08,14:00:00,0,6.914,,537.327,,,,,1416.2,0,0
22/04/08,15:00:00,0,7.494,,537.327,,,,,1173.7,0,0
22/04/08,16:00:00,0,7.87,,537.327,,,,,826.2,0,0
22/04/08,17:00:00,0,8.02,,537.327,,,,,376.2,0,0
22/04/08,18:00:00,0,7.995,,537.327,,,,,28.7,0,0
22/04/08,19:00:00,0,7.82,,537.327,,,,,1.2,0,0
22/04/08,20:00:00,0,7.544,,537.327,,,,,1.2,0,0
22/04/08,21:00:00,0,7.217,,537.327,,,,,1.2,0,0
22/04/08,22:00:00,0,6.889,,537.327,,,,,1.2,0,0
22/04/08,23:00:00,0,6.56,,537.327,,,,,1.2,0,0
23/04/08,00:00:00,0,6.281,,537.327,,,,,1.2,0,0
23/04/08,01:00:00,0,6,,537.327,,,,,1.2,0,0
23/04/08,02:00:00,0,5.77,,537.327,,,,,1.2,0,0
23/04/08,03:00:00,0,5.565,,537.327,,,,,1.2,0,0
23/04/08,04:00:00,0,5.385,,537.327,,,,,1.2,0,0
23/04/08,05:00:00,0,5.231,,537.327,,,,,1.2,0,0
23/04/08,06:00:00,0,5.076,,537.327,,,,,1.2,0,0
23/04/08,07:00:00,0,4.973,,537.327,,,,,8.7,0,0
23/04/08,08:00:00,0,4.895,,537.327,,,,,251.2,0,0
23/04/08,09:00:00,0,4.818,,537.327,,,,,713.7,0,0
23/04/08,10:00:00,0,4.869,,537.327,,,,,1083.7,0,0
23/04/08,11:00:00,0,5.076,,537.327,,,,,1341.2,0,0
23/04/08,12:00:00,0,5.488,,537.327,,,,,1466.2,0,0
23/04/08,13:00:00,0,6.026,,537.327,,,,,1463.7,0,0
23/04/08,14:00:00,0,6.636,,537.327,,,,,1373.7,0,0
23/04/08,15:00:00,0,7.217,,537.327,,,,,881.2,0,0
23/04/08,16:00:00,0,7.695,,537.327,,,,,391.2,0,0
23/04/08,17:00:00,0,7.945,,537.327,,,,,148.7,0,0
23/04/08,18:00:00,0,7.995,,537.327,,,,,23.7,0,0
23/04/08,19:00:00,0,7.895,,537.327,,,,,1.2,0,0
23/04/08,20:00:00,0,7.695,,537.327,,,,,1.2,0,0
23/04/08,21:00:00,0,7.393,,537.327,,,,,1.2,0,0
23/04/08,22:00:00,0,7.091,,537.327,,,,,1.2,0,0
23/04/08,23:00:00,0,6.788,,537.327,,,,,1.2,0,0
24/04/08,00:00:00,0,6.484,,537.327,,,,,1.2,0,0
24/04/08,01:00:00,0,6.23,,537.327,,,,,1.2,0,0
24/04/08,02:00:00,0,6,,537.327,,,,,1.2,0,0
24/04/08,03:00:00,0,5.796,,537.327,,,,,1.2,0,0
24/04/08,04:00:00,0,5.693,,537.327,,,,,1.2,0,0
24/04/08,05:00:00,0,5.591,,537.327,,,,,1.2,0,0
24/04/08,06:00:00,0,5.539,,537.327,,,,,1.2,0,0
24/04/08,07:00:00,0,5.462,,537.327,,,,,8.7,0,0
24/04/08,08:00:00,0,5.385,,537.327,,,,,266.2,0,0
24/04/08,09:00:00,0,5.282,,537.327,,,,,698.7,0,0
24/04/08,10:00:00,0,5.308,,537.327,,,,,1078.7,0,0
24/04/08,11:00:00,0,5.539,,537.327,,,,,1326.2,0,0
24/04/08,12:00:00,0,5.975,,537.327,,,,,1468.7,0,0
24/04/08,13:00:00,0,6.56,,537.327,,,,,1496.2,0,0
24/04/08,14:00:00,0,7.192,,537.327,,,,,986.2,0,0
24/04/08,15:00:00,0,7.77,,537.327,,,,,506.2,0,0
24/04/08,16:00:00,0,8.145,,537.327,,,,,291.2,0,0
24/04/08,17:00:00,0,8.295,,537.327,,,,,193.7,0,0
24/04/08,18:00:00,0,8.344,,537.327,,,,,31.2,0,0
24/04/08,19:00:00,0,8.245,,537.327,,,,,1.2,0,0
24/04/08,20:00:00,0,7.995,,537.327,,,,,1.2,0,0
24/04/08,21:00:00,0,7.67,,537.327,,,,,1.2,0,0
24/04/08,22:00:00,0,7.318,,537.327,,,,,1.2,0,0
24/04/08,23:00:00,0,6.99,,537.327,,,,,1.2,0,0
25/04/08,00:00:00,0,6.712,,537.327,,,,,1.2,0,0
25/04/08,01:00:00,0,6.433,,537.327,,,,,1.2,0,0
25/04/08,02:00:00,0,6.204,,537.327,,,,,1.2,0,0
25/04/08,03:00:00,0,5.975,,537.327,,,,,1.2,0,0
25/04/08,04:00:00,0,5.77,,537.327,,,,,1.2,0,0
25/04/08,05:00:00,0,5.642,,537.327,,,,,1.2,0,0
25/04/08,06:00:00,0,5.539,,537.327,,,,,1.2,0,0
25/04/08,07:00:00,0,5.462,,537.327,,,,,6.2,0,0
25/04/08,08:00:00,0,5.385,,537.327,,,,,276.2,0,0
25/04/08,09:00:00,0,5.257,,537.327,,,,,718.7,0,0
25/04/08,10:00:00,0,5.231,,537.327,,,,,1078.7,0,0
25/04/08,11:00:00,0,5.437,,537.327,,,,,1301.2,0,0
25/04/08,12:00:00,0,5.847,,537.327,,,,,1471.2,0,0
25/04/08,13:00:00,0,6.382,,537.327,,,,,1471.2,0,0
25/04/08,14:00:00,0,6.99,,537.327,,,,,1348.7,0,0
25/04/08,15:00:00,0,7.519,,537.327,,,,,1106.2,0,0
25/04/08,16:00:00,0,7.87,,537.327,,,,,736.2,0,0
25/04/08,17:00:00,0,8.02,,537.327,,,,,326.2,0,0
25/04/08,18:00:00,0,7.995,,537.327,,,,,26.2,0,0
25/04/08,19:00:00,0,7.845,,537.327,,,,,1.2,0,0
25/04/08,20:00:00,0,7.619,,537.327,,,,,1.2,0,0
25/04/08,21:00:00,0,7.393,,537.327,,,,,1.2,0,0
25/04/08,22:00:00,0,7.192,,537.327,,,,,1.2,0,0
25/04/08,23:00:00,0,7.015,,537.327,,,,,1.2,0,0
26/04/08,00:00:00,0,6.839,,537.327,,,,,1.2,0,0
26/04/08,01:00:00,0,6.687,,537.327,,,,,1.2,0,0
26/04/08,02:00:00,0,6.535,,537.327,,,,,1.2,0,0
26/04/08,03:00:00,0,6.408,,537.327,,,,,1.2,0,0
26/04/08,04:00:00,0,6.331,,537.327,,,,,1.2,0,0
26/04/08,05:00:00,0,6.23,,537.327,,,,,1.2,0,0
26/04/08,06:00:00,0,6.153,,537.327,,,,,1.2,0,0
26/04/08,07:00:00,0,6.077,,537.327,,,,,6.2,0,0
26/04/08,08:00:00,0,6.026,,537.327,,,,,111.2,0,0
26/04/08,09:00:00,0,5.949,,537.327,,,,,223.7,0,0
26/04/08,10:00:00,0.25,5.949,,537.327,,,,,321.2,0,0
26/04/08,11:00:00,0,5.975,,537.327,,,,,326.2,0,0
26/04/08,12:00:00,0,6.026,,537.327,,,,,361.2,0,0
26/04/08,13:00:00,0,6.102,,537.327,,,,,266.2,0,0
26/04/08,14:00:00,0,6.179,,537.327,,,,,263.7,0,0
26/04/08,15:00:00,0,6.23,,537.327,,,,,171.2,0,0
26/04/08,16:00:00,0,6.255,,537.327,,,,,78.7,0,0
26/04/08,17:00:00,0,6.281,,537.327,,,,,33.7,0,0
26/04/08,18:00:00,0,6.281,,537.327,,,,,1.2,0,0
26/04/08,19:00:00,0.76,6.281,,537.327,,,,,1.2,0,0
26/04/08,20:00:00,0,6.255,,537.327,,,,,1.2,0,0
26/04/08,21:00:00,0,6.23,,537.327,,,,,1.2,0,0
26/04/08,22:00:00,0,6.204,,537.327,,,,,1.2,0,0
26/04/08,23:00:00,0,6.179,,537.327,,,,,1.2,0,0
27/04/08,00:00:00,1.78,6.128,,537.327,,,,,1.2,0,0
27/04/08,01:00:00,2.03,6.102,,537.327,,,,,1.2,0,0
27/04/08,02:00:00,0,6.026,,537.327,,,,,1.2,0,0
