Site,Plot,Treatment,Date,"Time, GMT+11:00","Temp, ÁC( Ambient)","RH, %()","DewPt, ÁC()","Temp, ÁC( 3cmBG)","Water Content, m^3/m^3( 5cmBG)","Water Content, m^3/m^3( 10cmBG)"
ITEX2.0,5,CTL,15/11/10,13:01:56,11.662,71.9,6.8,18.081,0.2218,0.1557
ITEX2.0,5,CTL,15/11/10,14:01:57,16.511,72.3,11.5,18.343,0.2225,0.1572
ITEX2.0,5,CTL,15/11/10,15:01:58,16.939,65.5,10.4,22.011,0.2254,0.1594
ITEX2.0,5,CTL,15/11/10,16:01:59,14.361,69,8.8,22.657,0.2254,0.1608
ITEX2.0,5,CTL,15/11/10,17:02:00,11.832,72.7,7.1,20.293,0.2225,0.1601
ITEX2.0,5,CTL,15/11/10,18:02:01,10.247,72.8,5.6,17.272,0.2204,0.1601
ITEX2.0,5,CTL,15/11/10,19:02:02,7.945,77.8,4.3,14.984,0.2182,0.1586
ITEX2.0,5,CTL,15/11/10,20:02:03,5.796,87.4,3.9,12.582,0.216,0.1572
ITEX2.0,5,CTL,15/11/10,21:02:04,5.668,96.2,5.1,10.712,0.2153,0.1557
ITEX2.0,5,CTL,15/11/10,22:02:05,5.024,97.4,4.6,9.608,0.2146,0.155
ITEX2.0,5,CTL,15/11/10,23:02:06,3.063,98.1,2.8,8.519,0.2138,0.1543
ITEX2.0,5,CTL,16/11/10,00:02:07,3.459,99.8,3.4,7.494,0.2138,0.1535
ITEX2.0,5,CTL,16/11/10,01:02:08,2.61,100,2.6,7.142,0.2131,0.1528
ITEX2.0,5,CTL,16/11/10,02:02:09,2.074,100,2.1,6.509,0.2116,0.1528
ITEX2.0,5,CTL,16/11/10,03:02:10,3.722,100,3.7,6.331,0.2124,0.1528
ITEX2.0,5,CTL,16/11/10,04:02:11,3.38,100,3.4,6.737,0.2116,0.1528
ITEX2.0,5,CTL,16/11/10,05:02:12,2.956,100,3,6.687,0.2116,0.1521
ITEX2.0,5,CTL,16/11/10,06:02:13,2.155,99.6,2.1,6.458,0.2109,0.1521
ITEX2.0,5,CTL,16/11/10,07:02:14,2.584,99.8,2.6,6.331,0.2109,0.1521
ITEX2.0,5,CTL,16/11/10,08:02:15,4.869,94.3,4,7.192,0.2116,0.1521
ITEX2.0,5,CTL,16/11/10,09:02:16,10.124,81.1,7,8.941,0.2124,0.1535
ITEX2.0,5,CTL,16/11/10,10:02:17,11.224,73.2,6.6,10.32,0.2146,0.1543
ITEX2.0,5,CTL,16/11/10,11:02:18,11.321,69.8,6,11.88,0.216,0.1557
ITEX2.0,5,CTL,16/11/10,12:02:19,11.078,68.8,5.6,15.318,0.2175,0.1564
ITEX2.0,5,CTL,16/11/10,13:02:20,12.413,64.4,5.9,18.913,0.2204,0.1572
ITEX2.0,5,CTL,16/11/10,14:02:21,13.738,63.2,6.9,20.174,0.2196,0.1579
ITEX2.0,5,CTL,16/11/10,15:02:22,11.88,63.2,5.1,20.103,0.2189,0.1579
ITEX2.0,5,CTL,16/11/10,16:02:23,12.292,64.2,5.7,19.199,0.2182,0.1586
ITEX2.0,5,CTL,16/11/10,17:02:24,11.856,62.9,5,18.961,0.2167,0.1586
ITEX2.0,5,CTL,16/11/10,18:02:25,9.213,70.5,4.1,17.891,0.216,0.1579
ITEX2.0,5,CTL,16/11/10,19:02:26,6,83.5,3.4,14.481,0.2138,0.1564
ITEX2.0,5,CTL,16/11/10,20:02:27,3.643,89.4,2.1,11.783,0.2124,0.1557
ITEX2.0,5,CTL,16/11/10,21:02:28,2.209,94.8,1.5,9.583,0.2109,0.155
ITEX2.0,5,CTL,16/11/10,22:02:29,2.717,97.4,2.3,8.295,0.2102,0.1543
ITEX2.0,5,CTL,16/11/10,23:02:30,1.507,98.4,1.3,7.469,0.2087,0.1535
ITEX2.0,5,CTL,17/11/10,00:02:31,0.687,99.3,0.6,6.611,0.2087,0.1528
ITEX2.0,5,CTL,17/11/10,01:02:32,-2.275,99.6,-2.3,5.693,0.208,0.1528
ITEX2.0,5,CTL,17/11/10,02:02:33,-0.535,99.9,-0.5,4.584,0.2073,0.1528
ITEX2.0,5,CTL,17/11/10,03:02:34,-2.858,100,-2.8,3.88,0.2058,0.1521
ITEX2.0,5,CTL,17/11/10,04:02:35,-4.106,100,-4.1,3.142,0.2058,0.1514
ITEX2.0,5,CTL,17/11/10,05:02:36,-2.246,99.7,-2.2,2.744,0.2044,0.1514
ITEX2.0,5,CTL,17/11/10,06:02:37,-2.712,98.8,-2.8,2.477,0.2037,0.1514
ITEX2.0,5,CTL,17/11/10,07:02:38,2.877,93.9,2,2.343,0.2051,0.1528
ITEX2.0,5,CTL,17/11/10,08:02:39,8.17,73.5,3.7,2.877,0.2058,0.1528
ITEX2.0,5,CTL,17/11/10,09:02:40,11.2,62.5,4.3,5.514,0.208,0.1521
ITEX2.0,5,CTL,17/11/10,10:02:41,13.401,52.4,3.9,6.889,0.2102,0.1528
ITEX2.0,5,CTL,17/11/10,11:02:42,15.318,52.7,5.7,10.467,0.2124,0.1528
ITEX2.0,5,CTL,17/11/10,12:02:43,16.296,52.3,6.5,16.177,0.2153,0.1535
ITEX2.0,5,CTL,17/11/10,13:02:44,16.844,53,7.2,21.294,0.216,0.155
ITEX2.0,5,CTL,17/11/10,14:02:45,16.32,52.7,6.7,24.171,0.2175,0.1557
ITEX2.0,5,CTL,17/11/10,15:02:46,16.487,48.7,5.7,25.113,0.2167,0.1564
ITEX2.0,5,CTL,17/11/10,16:02:47,16.129,48.4,5.2,24.992,0.2167,0.1564
ITEX2.0,5,CTL,17/11/10,17:02:48,15.103,51,5.1,23.809,0.2153,0.155
ITEX2.0,5,CTL,17/11/10,18:02:49,13.377,57.9,5.3,20.603,0.2131,0.1528
ITEX2.0,5,CTL,17/11/10,19:02:50,9.854,68,4.2,17.486,0.2102,0.1521
ITEX2.0,5,CTL,17/11/10,20:02:51,5.024,85.5,2.8,13.882,0.208,0.1514
ITEX2.0,5,CTL,17/11/10,21:02:52,3.459,93.7,2.5,11.175,0.2066,0.1506
ITEX2.0,5,CTL,17/11/10,22:02:53,2.396,97.1,2,9.336,0.2051,0.1499
ITEX2.0,5,CTL,17/11/10,23:02:54,3.406,96.3,2.9,8.22,0.2044,0.1499
ITEX2.0,5,CTL,18/11/10,00:02:55,1.832,96,1.3,7.469,0.2044,0.1499
ITEX2.0,5,CTL,18/11/10,01:02:56,2.047,97.5,1.7,6.661,0.2037,0.1492
ITEX2.0,5,CTL,18/11/10,02:02:57,2.823,94.3,2,6.128,0.2029,0.1499
ITEX2.0,5,CTL,18/11/10,03:02:58,3.009,92.1,1.9,5.77,0.2029,0.1492
ITEX2.0,5,CTL,18/11/10,04:02:59,3.142,89.7,1.6,5.437,0.2022,0.1492
ITEX2.0,5,CTL,18/11/10,05:03:00,3.67,84,1.2,5.231,0.2022,0.1485
ITEX2.0,5,CTL,18/11/10,06:03:01,3.406,84.7,1.1,4.999,0.2015,0.1485
ITEX2.0,5,CTL,18/11/10,07:03:02,6.026,81.8,3.2,5.102,0.2015,0.1492
ITEX2.0,5,CTL,18/11/10,08:03:03,8.17,76,4.2,6.051,0.2015,0.1492
ITEX2.0,5,CTL,18/11/10,09:03:04,10.296,68.2,4.7,7.67,0.2029,0.1492
ITEX2.0,5,CTL,18/11/10,10:03:05,10.907,61.2,3.7,8.767,0.2044,0.1485
ITEX2.0,5,CTL,18/11/10,11:03:06,13.377,55.9,4.8,11.346,0.2058,0.1485
ITEX2.0,5,CTL,18/11/10,12:03:07,14.17,56.9,5.8,14.792,0.2066,0.1485
ITEX2.0,5,CTL,18/11/10,13:03:08,12.727,58,4.7,17.368,0.2073,0.1485
ITEX2.0,5,CTL,18/11/10,14:03:09,13.858,55.8,5.2,18.604,0.2073,0.1485
ITEX2.0,5,CTL,18/11/10,15:03:10,16.177,54.3,7,21.032,0.2095,0.1499
ITEX2.0,5,CTL,18/11/10,16:03:11,14.146,59.6,6.4,20.531,0.2073,0.1492
ITEX2.0,5,CTL,18/11/10,17:03:12,12.364,58.4,4.4,20.174,0.2073,0.1492
ITEX2.0,5,CTL,18/11/10,18:03:13,13.81,60.6,6.3,19.389,0.2066,0.1492
ITEX2.0,5,CTL,18/11/10,19:03:14,12.074,71.8,7.2,16.392,0.2037,0.1485
ITEX2.0,5,CTL,18/11/10,20:03:15,6.077,94.5,5.3,14.146,0.2022,0.1485
ITEX2.0,5,CTL,18/11/10,21:03:16,4.844,99.2,4.7,12.122,0.2022,0.1506
ITEX2.0,5,CTL,18/11/10,22:03:17,4.115,100,4.1,10.736,0.2022,0.1521
ITEX2.0,5,CTL,18/11/10,23:03:18,3.775,100,3.8,9.756,0.2015,0.147
ITEX2.0,5,CTL,19/11/10,00:03:19,2.396,100,2.4,8.916,0.2,0.1448
ITEX2.0,5,CTL,19/11/10,01:03:20,2.343,100,2.3,8.12,0.1993,0.1434
ITEX2.0,5,CTL,19/11/10,02:03:21,1.886,100,1.9,7.67,0.1978,0.1426
ITEX2.0,5,CTL,19/11/10,03:03:22,1.588,100,1.6,7.242,0.1978,0.1419
ITEX2.0,5,CTL,19/11/10,04:03:23,1.044,100,1,6.839,0.1971,0.1426
ITEX2.0,5,CTL,19/11/10,05:03:24,0.439,100,0.4,6.382,0.1971,0.1419
ITEX2.0,5,CTL,19/11/10,06:03:25,-1.384,100,-1.3,5.796,0.1957,0.1412
ITEX2.0,5,CTL,19/11/10,07:03:26,3.301,100,3.3,4.662,0.1957,0.1419
ITEX2.0,5,CTL,19/11/10,08:03:27,9.682,98.9,9.5,4.973,0.1971,0.1426
ITEX2.0,5,CTL,19/11/10,09:03:28,12.413,81.6,9.4,7.795,0.1993,0.1456
ITEX2.0,5,CTL,19/11/10,10:03:29,15.223,53.5,5.9,8.693,0.2022,0.1463
ITEX2.0,5,CTL,19/11/10,11:03:30,17.486,52.1,7.6,11.759,0.2044,0.147
ITEX2.0,5,CTL,19/11/10,12:03:31,15.151,63,8.2,16.153,0.2058,0.1477
ITEX2.0,5,CTL,19/11/10,13:03:32,18.271,66.9,12,19.865,0.208,0.1477
ITEX2.0,5,CTL,19/11/10,14:03:33,13.594,63.8,6.9,22.705,0.2058,0.1485
ITEX2.0,5,CTL,19/11/10,15:03:34,15.963,69.3,10.4,18.176,0.2029,0.1485
ITEX2.0,5,CTL,19/11/10,16:03:35,15.772,62,8.5,20.293,0.2037,0.1499
ITEX2.0,5,CTL,19/11/10,17:03:36,16.725,61.6,9.3,20.341,0.2037,0.1572
ITEX2.0,5,CTL,19/11/10,18:03:37,12.268,67.2,6.4,19.008,0.2029,0.1572
ITEX2.0,5,CTL,19/11/10,19:03:38,10.222,73.5,5.7,16.296,0.2022,0.1564
ITEX2.0,5,CTL,19/11/10,20:03:39,4.792,85.6,2.6,13.401,0.2,0.155
ITEX2.0,5,CTL,19/11/10,21:03:40,0.989,94.3,0.2,10.858,0.2,0.1535
ITEX2.0,5,CTL,19/11/10,22:03:41,0.797,97.9,0.5,8.965,0.1986,0.1535
ITEX2.0,5,CTL,19/11/10,23:03:42,-0.788,99.8,-0.8,7.619,0.1978,0.1528
ITEX2.0,5,CTL,20/11/10,00:03:43,2.209,100,2.2,6.535,0.1971,0.1535
ITEX2.0,5,CTL,20/11/10,01:03:44,4.714,100,4.7,6.357,0.1964,0.1535
ITEX2.0,5,CTL,20/11/10,02:03:45,3.433,99,3.3,6.535,0.1964,0.1535
ITEX2.0,5,CTL,20/11/10,03:03:46,3.591,99.5,3.5,5.847,0.1957,0.1535
ITEX2.0,5,CTL,20/11/10,04:03:47,4.532,99.9,4.5,5.385,0.1957,0.1543
ITEX2.0,5,CTL,20/11/10,05:03:48,3.116,99.4,3,5.231,0.1949,0.1535
ITEX2.0,5,CTL,20/11/10,06:03:49,5.231,97.4,4.9,5.024,0.1964,0.1543
ITEX2.0,5,CTL,20/11/10,07:03:50,8.494,91.5,7.2,5.488,0.1957,0.1535
ITEX2.0,5,CTL,20/11/10,08:03:51,11.54,85.9,9.3,6.712,0.1957,0.1528
ITEX2.0,5,CTL,20/11/10,09:03:52,14.314,77.5,10.4,8.866,0.1971,0.1528
ITEX2.0,5,CTL,20/11/10,10:03:53,15.915,68.7,10.2,9.952,0.1986,0.1528
ITEX2.0,5,CTL,20/11/10,11:03:54,18.224,61.5,10.7,12.871,0.2015,0.1528
ITEX2.0,5,CTL,20/11/10,12:03:55,19.555,55.9,10.5,18.247,0.2029,0.1535
ITEX2.0,5,CTL,20/11/10,13:03:56,20.412,52.7,10.4,23.208,0.2051,0.1543
ITEX2.0,5,CTL,20/11/10,14:03:57,21.366,50.6,10.7,26.109,0.2058,0.155
ITEX2.0,5,CTL,20/11/10,15:03:58,20.793,50,10,27.481,0.2051,0.1557
ITEX2.0,5,CTL,20/11/10,16:03:59,20.484,49.5,9.6,27.382,0.2037,0.155
ITEX2.0,5,CTL,20/11/10,17:04:00,19.603,49,8.6,26.134,0.2029,0.1543
ITEX2.0,5,CTL,20/11/10,18:04:01,17.486,52.2,7.6,23.689,0.2008,0.1535
ITEX2.0,5,CTL,20/11/10,19:04:02,14.002,63.1,7.1,20.15,0.1986,0.1514
ITEX2.0,5,CTL,20/11/10,20:04:03,8.344,77.9,4.7,16.582,0.1957,0.1499
ITEX2.0,5,CTL,20/11/10,21:04:04,3.406,91.9,2.2,13.546,0.1935,0.1492
ITEX2.0,5,CTL,20/11/10,22:04:05,1.18,97.7,0.9,11.346,0.1928,0.1485
ITEX2.0,5,CTL,20/11/10,23:04:06,0.218,99.5,0.1,9.583,0.192,0.1477
ITEX2.0,5,CTL,21/11/10,00:04:07,-0.845,100,-0.8,8.22,0.1913,0.1477
ITEX2.0,5,CTL,21/11/10,01:04:08,-1.986,100,-1.9,7.142,0.1906,0.1477
ITEX2.0,5,CTL,21/11/10,02:04:09,-2.449,100,-2.4,6.484,0.1906,0.147
ITEX2.0,5,CTL,21/11/10,03:04:10,-2.391,100,-2.3,5.924,0.1899,0.147
ITEX2.0,5,CTL,21/11/10,04:04:11,-1.498,100,-1.5,5.385,0.1891,0.147
ITEX2.0,5,CTL,21/11/10,05:04:12,-0.283,100,-0.2,5.024,0.1891,0.1477
ITEX2.0,5,CTL,21/11/10,06:04:13,0.77,100,0.8,4.947,0.1891,0.1485
ITEX2.0,5,CTL,21/11/10,07:04:14,9.879,95.3,9.2,5.488,0.1899,0.1492
ITEX2.0,5,CTL,21/11/10,08:04:15,13.762,76.9,9.8,7.318,0.1906,0.1492
ITEX2.0,5,CTL,21/11/10,09:04:16,16.582,59.9,8.8,9.706,0.1913,0.1492
ITEX2.0,5,CTL,21/11/10,10:04:17,17.677,52.8,7.9,10.883,0.1935,0.1485
ITEX2.0,5,CTL,21/11/10,11:04:18,20.055,48.5,8.9,13.738,0.1949,0.1485
ITEX2.0,5,CTL,21/11/10,12:04:19,22.226,44.8,9.7,18.794,0.1971,0.1492
ITEX2.0,5,CTL,21/11/10,13:04:20,19.579,44.9,7.3,21.103,0.1971,0.1492
ITEX2.0,5,CTL,21/11/10,14:04:21,17.082,47.7,5.9,21.056,0.1957,0.1485
ITEX2.0,5,CTL,21/11/10,15:04:22,17.13,45.1,5.1,23.088,0.1957,0.1492
ITEX2.0,5,CTL,21/11/10,16:04:23,18.866,49.2,8,22.657,0.1957,0.1485
ITEX2.0,5,CTL,21/11/10,17:04:24,20.722,46.7,8.9,23.954,0.1957,0.1477
ITEX2.0,5,CTL,21/11/10,18:04:25,19.127,46,7.3,22.776,0.1935,0.1477
ITEX2.0,5,CTL,21/11/10,19:04:26,11.977,58.8,4.2,19.746,0.1913,0.1456
ITEX2.0,5,CTL,21/11/10,20:04:27,9.361,81.3,6.3,16.272,0.1891,0.1441
ITEX2.0,5,CTL,21/11/10,21:04:28,8.27,92.4,7.1,13.762,0.187,0.1441
ITEX2.0,5,CTL,21/11/10,22:04:29,7.444,95.8,6.8,12.268,0.1862,0.1434
ITEX2.0,5,CTL,21/11/10,23:04:30,6.889,97.7,6.6,11.2,0.1862,0.1434
ITEX2.0,5,CTL,22/11/10,00:04:31,6.585,95.3,5.9,10.418,0.1855,0.1434
ITEX2.0,5,CTL,22/11/10,01:04:32,6.331,91.6,5.1,9.854,0.1855,0.1426
ITEX2.0,5,CTL,22/11/10,02:04:33,1.967,94.4,1.2,9.114,0.184,0.1426
ITEX2.0,5,CTL,22/11/10,03:04:34,1.398,99.2,1.3,8.17,0.184,0.1426
ITEX2.0,5,CTL,22/11/10,04:04:35,6.687,98.9,6.5,7.519,0.184,0.1441
ITEX2.0,5,CTL,22/11/10,05:04:36,6.357,92.5,5.2,7.895,0.184,0.1441
ITEX2.0,5,CTL,22/11/10,06:04:37,6.611,91.1,5.3,7.72,0.184,0.1441
ITEX2.0,5,CTL,22/11/10,07:04:38,10.712,82.8,7.9,7.795,0.1833,0.1441
ITEX2.0,5,CTL,22/11/10,08:04:39,14.098,69.9,8.7,8.693,0.1848,0.1441
ITEX2.0,5,CTL,22/11/10,09:04:40,16.225,60.3,8.5,10.663,0.1855,0.1441
ITEX2.0,5,CTL,22/11/10,10:04:41,19.08,52.7,9.2,11.807,0.1877,0.1441
ITEX2.0,5,CTL,22/11/10,11:04:42,21.461,49.2,10.4,14.17,0.1884,0.1441
ITEX2.0,5,CTL,22/11/10,12:04:43,22.417,47,10.6,19.746,0.1906,0.1448
ITEX2.0,5,CTL,22/11/10,13:04:44,23.978,48.4,12.4,22.274,0.1913,0.1456
ITEX2.0,5,CTL,22/11/10,14:04:45,25.162,47.9,13.4,24.291,0.1913,0.1456
ITEX2.0,5,CTL,22/11/10,15:04:46,23.424,45.9,11.1,25.623,0.1906,0.1448
ITEX2.0,5,CTL,22/11/10,16:04:47,17.915,43.7,5.4,27.014,0.1906,0.1448
ITEX2.0,5,CTL,22/11/10,17:04:48,19.151,52.6,9.2,22.92,0.1884,0.1434
ITEX2.0,5,CTL,22/11/10,18:04:49,16.082,51.2,6,21.008,0.1862,0.1412
ITEX2.0,5,CTL,22/11/10,19:04:50,16.439,53.9,7.1,18.961,0.184,0.1412
ITEX2.0,5,CTL,22/11/10,20:04:51,9.879,65.9,3.8,16.272,0.1819,0.139
