Site,Plot,Treatment,Date,"Time, GMT+11:00","Temp, ÁC(SEN S/N: 9818212,  Ambient)","RH, %(SEN S/N: 9818212)","DewPt, ÁC(SEN S/N: 9818212)",3cm,"Water Content, m^3/m^3(SEN S/N: 9827492,  5cmBG)","Water Content, m^3/m^3(SEN S/N: 9827496,  10cmBG)"
ITEX1U,1,OTC,16/11/10,16:02:23,13.618,75.5,9.4,,0.2051,0.1942
ITEX1U,1,OTC,16/11/10,17:02:24,13.714,74.1,9.2,,0.2051,0.1935
ITEX1U,1,OTC,16/11/10,18:02:25,9.509,80,6.2,,0.2044,0.1928
ITEX1U,1,OTC,16/11/10,19:02:26,6.382,89.7,4.8,,0.2029,0.1913
ITEX1U,1,OTC,16/11/10,20:02:27,4.115,93.7,3.2,,0.2037,0.1906
ITEX1U,1,OTC,16/11/10,21:02:28,3.036,97.2,2.6,,0.2029,0.1899
ITEX1U,1,OTC,16/11/10,22:02:29,3.195,98.9,3,,0.2022,0.1891
ITEX1U,1,OTC,16/11/10,23:02:30,2.209,99.3,2.1,,0.2022,0.1891
ITEX1U,1,OTC,17/11/10,00:02:31,1.724,99.9,1.7,,0.2015,0.1899
ITEX1U,1,OTC,17/11/10,01:02:32,0.19,99.6,0.1,,0.2015,0.1899
ITEX1U,1,OTC,17/11/10,02:02:33,1.344,99.6,1.3,,0.2015,0.1891
ITEX1U,1,OTC,17/11/10,03:02:34,-0.845,99.9,-0.8,,0.2008,0.1891
ITEX1U,1,OTC,17/11/10,04:02:35,-0.535,99.8,-0.5,,0.2008,0.1884
ITEX1U,1,OTC,17/11/10,05:02:36,-1.298,99.9,-1.3,,0.2,0.1884
ITEX1U,1,OTC,17/11/10,06:02:37,-1.412,99.5,-1.4,,0.2,0.1877
ITEX1U,1,OTC,17/11/10,07:02:38,3.643,96.1,3.1,,0.2,0.1877
ITEX1U,1,OTC,17/11/10,08:02:39,9.287,78.2,5.7,,0.1993,0.1877
ITEX1U,1,OTC,17/11/10,09:02:40,12.074,71,7,,0.2,0.1877
ITEX1U,1,OTC,17/11/10,10:02:41,14.218,64.5,7.6,,0.1993,0.1877
ITEX1U,1,OTC,17/11/10,11:02:42,15.915,65.9,9.6,,0.2,0.1884
ITEX1U,1,OTC,17/11/10,12:02:43,16.463,65.6,10,,0.1993,0.1913
ITEX1U,1,OTC,17/11/10,13:02:44,18.794,65.5,12.2,,0.2,0.1913
ITEX1U,1,OTC,17/11/10,14:02:45,17.938,63.3,10.9,,0.2,0.1899
ITEX1U,1,OTC,17/11/10,15:02:46,18.533,59.2,10.4,,0.2,0.1884
ITEX1U,1,OTC,17/11/10,16:02:47,17.962,58.5,9.7,,0.1993,0.187
ITEX1U,1,OTC,17/11/10,17:02:48,16.725,60.2,9,,0.1978,0.1848
ITEX1U,1,OTC,17/11/10,18:02:49,12.992,66.4,6.9,,0.1978,0.1819
ITEX1U,1,OTC,17/11/10,19:02:50,9.558,75.7,5.5,,0.1971,0.1804
ITEX1U,1,OTC,17/11/10,20:02:51,5.179,89.3,3.6,,0.1971,0.179
ITEX1U,1,OTC,17/11/10,21:02:52,3.512,95.3,2.8,,0.1964,0.1782
ITEX1U,1,OTC,17/11/10,22:02:53,3.643,96.9,3.2,,0.1957,0.1775
ITEX1U,1,OTC,17/11/10,23:02:54,4.011,96.4,3.5,,0.1957,0.1775
ITEX1U,1,OTC,18/11/10,00:02:55,3.009,96.3,2.5,,0.1949,0.1775
ITEX1U,1,OTC,18/11/10,01:02:56,2.182,97,1.8,,0.1949,0.1768
ITEX1U,1,OTC,18/11/10,02:02:57,3.274,95.4,2.6,,0.1949,0.1768
ITEX1U,1,OTC,18/11/10,03:02:58,3.195,93.6,2.3,,0.1942,0.1761
ITEX1U,1,OTC,18/11/10,04:02:59,3.354,91.6,2.1,,0.1942,0.1761
ITEX1U,1,OTC,18/11/10,05:03:00,3.591,87.2,1.7,,0.1942,0.1753
ITEX1U,1,OTC,18/11/10,06:03:01,3.38,88.6,1.7,,0.1942,0.1753
ITEX1U,1,OTC,18/11/10,07:03:02,6.281,85.8,4.1,,0.1935,0.1753
ITEX1U,1,OTC,18/11/10,08:03:03,9.015,79.6,5.7,,0.1935,0.1761
ITEX1U,1,OTC,18/11/10,09:03:04,10.761,73.5,6.2,,0.1928,0.1761
ITEX1U,1,OTC,18/11/10,10:03:05,11.321,68.3,5.7,,0.1935,0.1761
ITEX1U,1,OTC,18/11/10,11:03:06,13.522,64.5,7,,0.1935,0.1761
ITEX1U,1,OTC,18/11/10,12:03:07,14.05,64.5,7.5,,0.1935,0.1768
ITEX1U,1,OTC,18/11/10,13:03:08,12.944,64.8,6.5,,0.1935,0.1768
ITEX1U,1,OTC,18/11/10,14:03:09,14.505,61.9,7.3,,0.1942,0.1768
ITEX1U,1,OTC,18/11/10,15:03:10,17.13,60,9.3,,0.1928,0.1753
ITEX1U,1,OTC,18/11/10,16:03:11,14.912,64.7,8.3,,0.1935,0.1746
ITEX1U,1,OTC,18/11/10,17:03:12,13.112,62.6,6.1,,0.1928,0.1739
ITEX1U,1,OTC,18/11/10,18:03:13,14.026,64.6,7.5,,0.1899,0.1724
ITEX1U,1,OTC,18/11/10,19:03:14,11.807,76.5,7.8,,0.1906,0.171
ITEX1U,1,OTC,18/11/10,20:03:15,7.217,91.8,6,,0.1906,0.1702
ITEX1U,1,OTC,18/11/10,21:03:16,5.77,98.3,5.5,,0.1906,0.1695
ITEX1U,1,OTC,18/11/10,22:03:17,4.688,99.4,4.6,,0.1942,0.1688
ITEX1U,1,OTC,18/11/10,23:03:18,4.35,100,4.4,,0.1928,0.1688
ITEX1U,1,OTC,19/11/10,00:03:19,3.089,100,3.1,,0.1957,0.1688
ITEX1U,1,OTC,19/11/10,01:03:20,3.142,100,3.1,,0.1957,0.1688
ITEX1U,1,OTC,19/11/10,02:03:21,2.903,100,2.9,,0.1957,0.1681
ITEX1U,1,OTC,19/11/10,03:03:22,2.61,100,2.6,,0.1957,0.1681
ITEX1U,1,OTC,19/11/10,04:03:23,2.182,100,2.2,,0.1949,0.1688
ITEX1U,1,OTC,19/11/10,05:03:24,1.751,100,1.7,,0.1949,0.1681
ITEX1U,1,OTC,19/11/10,06:03:25,-0.591,99.6,-0.6,,0.1949,0.1673
ITEX1U,1,OTC,19/11/10,07:03:26,5.591,100,5.6,,0.1942,0.1681
ITEX1U,1,OTC,19/11/10,08:03:27,12.34,98.1,12.1,,0.1949,0.1681
ITEX1U,1,OTC,19/11/10,09:03:28,15.485,71.5,10.4,,0.1942,0.1688
ITEX1U,1,OTC,19/11/10,10:03:29,20.174,62.4,12.8,,0.1949,0.1695
ITEX1U,1,OTC,19/11/10,11:03:30,21.748,58.6,13.3,,0.1957,0.1717
ITEX1U,1,OTC,19/11/10,12:03:31,22.154,60.9,14.3,,0.1964,0.1739
ITEX1U,1,OTC,19/11/10,13:03:32,25.793,59,17.2,,0.1964,0.1746
ITEX1U,1,OTC,19/11/10,14:03:33,16.773,55,7.7,,0.1964,0.1732
ITEX1U,1,OTC,19/11/10,15:03:34,22.417,67,16,,0.1949,0.171
ITEX1U,1,OTC,19/11/10,16:03:35,19.341,54,9.8,,0.1957,0.171
ITEX1U,1,OTC,19/11/10,17:03:36,21.461,53.3,11.6,,0.1964,0.1702
ITEX1U,1,OTC,19/11/10,18:03:37,15.485,58.9,7.5,,0.1949,0.1688
ITEX1U,1,OTC,19/11/10,19:03:38,12.461,69.2,7,,0.1957,0.1681
ITEX1U,1,OTC,19/11/10,20:03:39,5.642,81.2,2.7,,0.1949,0.1666
ITEX1U,1,OTC,19/11/10,21:03:40,2.69,90.6,1.3,,0.1942,0.1652
ITEX1U,1,OTC,19/11/10,22:03:41,1.099,94.1,0.3,,0.1935,0.1644
ITEX1U,1,OTC,19/11/10,23:03:42,-0.031,95.8,-0.6,,0.1928,0.1637
ITEX1U,1,OTC,20/11/10,00:03:43,4.011,98.9,3.9,,0.1928,0.163
ITEX1U,1,OTC,20/11/10,01:03:44,5.154,99.2,5,,0.1928,0.1623
ITEX1U,1,OTC,20/11/10,02:03:45,4.714,97.7,4.4,,0.1928,0.1623
ITEX1U,1,OTC,20/11/10,03:03:46,3.749,98.5,3.5,,0.192,0.1615
ITEX1U,1,OTC,20/11/10,04:03:47,4.921,99.7,4.9,,0.192,0.1615
ITEX1U,1,OTC,20/11/10,05:03:48,4.921,98.2,4.7,,0.192,0.1623
ITEX1U,1,OTC,20/11/10,06:03:49,5.668,95.9,5.1,,0.192,0.1615
ITEX1U,1,OTC,20/11/10,07:03:50,8.941,91.2,7.6,,0.1913,0.1623
ITEX1U,1,OTC,20/11/10,08:03:51,12.751,83.4,10,,0.192,0.1623
ITEX1U,1,OTC,20/11/10,09:03:52,14.481,75.8,10.3,,0.192,0.1623
ITEX1U,1,OTC,20/11/10,10:03:53,16.225,69.6,10.7,,0.1913,0.163
ITEX1U,1,OTC,20/11/10,11:03:54,18.033,63.5,11,,0.1906,0.1637
ITEX1U,1,OTC,20/11/10,12:03:55,19.674,58.4,11.3,,0.1913,0.1659
ITEX1U,1,OTC,20/11/10,13:03:56,21.891,55,12.5,,0.1928,0.1666
ITEX1U,1,OTC,20/11/10,14:03:57,24.363,50.8,13.5,,0.1942,0.1666
ITEX1U,1,OTC,20/11/10,15:03:58,22.92,48.7,11.6,,0.1935,0.1652
ITEX1U,1,OTC,20/11/10,16:03:59,22.011,48.4,10.6,,0.1928,0.163
ITEX1U,1,OTC,20/11/10,17:04:00,21.772,47,10,,0.1913,0.1608
ITEX1U,1,OTC,20/11/10,18:04:01,17.011,51.2,6.9,,0.1913,0.1594
ITEX1U,1,OTC,20/11/10,19:04:02,13.714,63.9,7,,0.1906,0.1572
ITEX1U,1,OTC,20/11/10,20:04:03,9.336,77.1,5.5,,0.1891,0.1564
ITEX1U,1,OTC,20/11/10,21:04:04,5.514,87.8,3.7,,0.1891,0.155
ITEX1U,1,OTC,20/11/10,22:04:05,4.194,94.1,3.3,,0.1884,0.1543
ITEX1U,1,OTC,20/11/10,23:04:06,2.584,95.5,1.9,,0.1877,0.1535
ITEX1U,1,OTC,21/11/10,00:04:07,0.384,97.7,0.1,,0.187,0.1528
ITEX1U,1,OTC,21/11/10,01:04:08,-0.255,97.4,-0.6,,0.187,0.1528
ITEX1U,1,OTC,21/11/10,02:04:09,0.825,96.6,0.3,,0.187,0.1514
ITEX1U,1,OTC,21/11/10,03:04:10,0.412,96.6,-0.1,,0.1862,0.1514
ITEX1U,1,OTC,21/11/10,04:04:11,3.985,98.4,3.8,,0.187,0.1514
ITEX1U,1,OTC,21/11/10,05:04:12,2.236,94.6,1.5,,0.187,0.1506
ITEX1U,1,OTC,21/11/10,06:04:13,3.221,95.8,2.6,,0.1862,0.1506
ITEX1U,1,OTC,21/11/10,07:04:14,10.638,92.8,9.5,,0.1862,0.1514
ITEX1U,1,OTC,21/11/10,08:04:15,13.786,73.4,9.1,,0.1862,0.1514
ITEX1U,1,OTC,21/11/10,09:04:16,16.63,60.6,9,,0.1855,0.1521
ITEX1U,1,OTC,21/11/10,10:04:17,16.582,55.3,7.6,,0.1855,0.1521
ITEX1U,1,OTC,21/11/10,11:04:18,19.365,52.1,9.3,,0.1848,0.1528
ITEX1U,1,OTC,21/11/10,12:04:19,22.321,46.5,10.3,,0.1862,0.155
ITEX1U,1,OTC,21/11/10,13:04:20,21.246,46.3,9.3,,0.187,0.1535
ITEX1U,1,OTC,21/11/10,14:04:21,17.296,48.5,6.3,,0.1855,0.1521
ITEX1U,1,OTC,21/11/10,15:04:22,18.866,45.3,6.8,,0.1848,0.1528
ITEX1U,1,OTC,21/11/10,16:04:23,21.748,49.4,10.7,,0.1862,0.1514
ITEX1U,1,OTC,21/11/10,17:04:24,22.034,45,9.6,,0.1848,0.1499
ITEX1U,1,OTC,21/11/10,18:04:25,19.151,45.7,7.2,,0.1855,0.1485
ITEX1U,1,OTC,21/11/10,19:04:26,13.666,58.9,5.8,,0.1848,0.1477
ITEX1U,1,OTC,21/11/10,20:04:27,9.583,81.8,6.6,,0.184,0.1463
ITEX1U,1,OTC,21/11/10,21:04:28,8.07,92.8,7,,0.1833,0.1448
ITEX1U,1,OTC,21/11/10,22:04:29,7.343,96.3,6.8,,0.1826,0.1448
ITEX1U,1,OTC,21/11/10,23:04:30,5.77,97,5.3,,0.1833,0.1441
ITEX1U,1,OTC,22/11/10,00:04:31,5.872,97.5,5.5,,0.1819,0.1441
ITEX1U,1,OTC,22/11/10,01:04:32,5.514,97.3,5.1,,0.1826,0.1434
ITEX1U,1,OTC,22/11/10,02:04:33,5.05,96.6,4.6,,0.1826,0.1434
ITEX1U,1,OTC,22/11/10,03:04:34,4.844,96.4,4.3,,0.1819,0.1426
ITEX1U,1,OTC,22/11/10,04:04:35,7.393,96.5,6.9,,0.1811,0.1426
ITEX1U,1,OTC,22/11/10,05:04:36,5.975,92.8,4.9,,0.1819,0.1426
ITEX1U,1,OTC,22/11/10,06:04:37,7.92,86.5,5.8,,0.1811,0.1419
ITEX1U,1,OTC,22/11/10,07:04:38,11.394,79.2,7.9,,0.1811,0.1426
ITEX1U,1,OTC,22/11/10,08:04:39,14.481,66.6,8.4,,0.1811,0.1426
ITEX1U,1,OTC,22/11/10,09:04:40,16.058,61,8.6,,0.1804,0.1426
ITEX1U,1,OTC,22/11/10,10:04:41,18.604,55.6,9.6,,0.1797,0.1434
ITEX1U,1,OTC,22/11/10,11:04:42,19.746,52.4,9.7,,0.1797,0.1434
ITEX1U,1,OTC,22/11/10,12:04:43,21.867,51.5,11.4,,0.1811,0.1448
ITEX1U,1,OTC,22/11/10,13:04:44,24.122,51.4,13.5,,0.1819,0.1448
ITEX1U,1,OTC,22/11/10,14:04:45,26.207,48.5,14.5,,0.1811,0.1441
ITEX1U,1,OTC,22/11/10,15:04:46,26.598,46.2,14.1,,0.1811,0.1426
ITEX1U,1,OTC,22/11/10,16:04:47,19.674,43.8,7,,0.1819,0.1412
ITEX1U,1,OTC,22/11/10,17:04:48,22.106,52.5,12,,0.1804,0.139
ITEX1U,1,OTC,22/11/10,18:04:49,15.939,51.2,5.9,,0.1804,0.1383
ITEX1U,1,OTC,22/11/10,19:04:50,15.915,55.6,7.1,,0.179,0.1368
ITEX1U,1,OTC,22/11/10,20:04:51,11.297,63.7,4.7,,0.1782,0.1354
ITEX1U,1,OTC,22/11/10,21:04:52,8.469,80.5,5.3,,0.1775,0.1339
ITEX1U,1,OTC,22/11/10,22:04:53,7.192,88.2,5.4,,0.1768,0.1339
ITEX1U,1,OTC,22/11/10,23:04:54,9.534,89.3,7.9,,0.1768,0.1332
ITEX1U,1,OTC,23/11/10,00:04:55,10.075,84.7,7.6,,0.1761,0.1339
ITEX1U,1,OTC,23/11/10,01:04:56,9.977,85,7.6,,0.1761,0.1325
ITEX1U,1,OTC,23/11/10,02:04:57,9.558,80.8,6.4,,0.1761,0.1325
ITEX1U,1,OTC,23/11/10,03:04:58,8.618,79.3,5.2,,0.1753,0.1318
ITEX1U,1,OTC,23/11/10,04:04:59,8.568,80.3,5.4,,0.1753,0.1318
ITEX1U,1,OTC,23/11/10,05:05:00,7.72,86,5.5,,0.1746,0.1318
ITEX1U,1,OTC,23/11/10,06:05:01,7.995,89,6.3,,0.1746,0.131
ITEX1U,1,OTC,23/11/10,07:05:02,11.273,85.5,8.9,,0.1746,0.1318
ITEX1U,1,OTC,23/11/10,08:05:03,14.601,76.2,10.5,,0.1753,0.1318
ITEX1U,1,OTC,23/11/10,09:05:04,16.344,71.9,11.3,,0.1739,0.1318
ITEX1U,1,OTC,23/11/10,10:05:05,17.724,69.9,12.2,,0.1739,0.1318
ITEX1U,1,OTC,23/11/10,11:05:06,19.199,67.4,13,,0.1753,0.1332
ITEX1U,1,OTC,23/11/10,12:05:07,19.651,62,12.2,,0.1746,0.1354
ITEX1U,1,OTC,23/11/10,13:05:08,20.865,56,11.8,,0.1746,0.1347
ITEX1U,1,OTC,23/11/10,14:05:09,22.561,52.3,12.3,,0.1775,0.1339
ITEX1U,1,OTC,23/11/10,15:05:10,22.441,52,12.1,,0.1761,0.1325
ITEX1U,1,OTC,23/11/10,16:05:11,21.867,48.4,10.5,,0.1753,0.131
ITEX1U,1,OTC,23/11/10,17:05:12,21.461,50.3,10.7,,0.1746,0.1281
