Site,Plot,Treatment,Date,"Time, GMT+11:00","Temp, ÁC( Ambient)","RH, %()","DewPt, ÁC()",,"Water Content, m^3/m^3( 5cmBG)","Water Content, m^3/m^3( 10cmBG)"
ITEX1U,3,CTL,16/11/10,01:02:08,2.316,100,2.3,,0.2436,0.2581
ITEX1U,3,CTL,16/11/10,02:02:09,2.128,100,2.1,,0.2429,0.2574
ITEX1U,3,CTL,16/11/10,03:02:10,3.775,100,3.8,,0.2429,0.2574
ITEX1U,3,CTL,16/11/10,04:02:11,3.512,100,3.5,,0.2429,0.2574
ITEX1U,3,CTL,16/11/10,05:02:12,3.036,100,3,,0.2422,0.2574
ITEX1U,3,CTL,16/11/10,06:02:13,2.209,99.8,2.2,,0.2422,0.2574
ITEX1U,3,CTL,16/11/10,07:02:14,2.664,100,2.7,,0.2414,0.2567
ITEX1U,3,CTL,16/11/10,08:02:15,5.257,94.5,4.4,,0.2414,0.2567
ITEX1U,3,CTL,16/11/10,09:02:16,10.858,83.1,8.1,,0.2407,0.2574
ITEX1U,3,CTL,16/11/10,10:02:17,12.098,76.4,8.1,,0.2414,0.2581
ITEX1U,3,CTL,16/11/10,11:02:18,12.509,72.7,7.8,,0.2414,0.2596
ITEX1U,3,CTL,16/11/10,12:02:19,11.224,71.7,6.3,,0.2422,0.2603
ITEX1U,3,CTL,16/11/10,13:02:20,12.461,68.4,6.8,,0.2414,0.261
ITEX1U,3,CTL,16/11/10,14:02:21,14.098,67.8,8.3,,0.2414,0.2596
ITEX1U,3,CTL,16/11/10,15:02:22,12.606,67.5,6.8,,0.2414,0.2589
ITEX1U,3,CTL,16/11/10,16:02:23,12.606,68.8,7,,0.2407,0.2574
ITEX1U,3,CTL,16/11/10,17:02:24,11.832,66.5,5.8,,0.2407,0.2567
ITEX1U,3,CTL,16/11/10,18:02:25,9.04,72.9,4.4,,0.2392,0.2545
ITEX1U,3,CTL,16/11/10,19:02:26,5.872,84.9,3.5,,0.2392,0.253
ITEX1U,3,CTL,16/11/10,20:02:27,3.775,90,2.3,,0.2385,0.2509
ITEX1U,3,CTL,16/11/10,21:02:28,2.236,94.8,1.5,,0.2371,0.2501
ITEX1U,3,CTL,16/11/10,22:02:29,2.93,97.6,2.6,,0.2371,0.2494
ITEX1U,3,CTL,16/11/10,23:02:30,1.48,97.8,1.2,,0.2363,0.2494
ITEX1U,3,CTL,17/11/10,00:02:31,1.235,99.5,1.2,,0.2356,0.2487
ITEX1U,3,CTL,17/11/10,01:02:32,-1.469,99.6,-1.5,,0.2356,0.2487
ITEX1U,3,CTL,17/11/10,02:02:33,0.687,99.9,0.7,,0.2356,0.2472
ITEX1U,3,CTL,17/11/10,03:02:34,-2.8,99.9,-2.8,,0.2349,0.248
ITEX1U,3,CTL,17/11/10,04:02:35,-1.67,100,-1.6,,0.2349,0.2472
ITEX1U,3,CTL,17/11/10,05:02:36,-3.035,100,-3,,0.2342,0.2465
ITEX1U,3,CTL,17/11/10,06:02:37,-2.159,99.8,-2.1,,0.2334,0.2465
ITEX1U,3,CTL,17/11/10,07:02:38,2.983,93.5,2,,0.2342,0.2465
ITEX1U,3,CTL,17/11/10,08:02:39,9.114,71.8,4.3,,0.2342,0.2465
ITEX1U,3,CTL,17/11/10,09:02:40,12.292,61.6,5.1,,0.2342,0.2472
ITEX1U,3,CTL,17/11/10,10:02:41,14.361,53.1,4.9,,0.2342,0.2494
ITEX1U,3,CTL,17/11/10,11:02:42,15.986,52.4,6.3,,0.2349,0.2516
ITEX1U,3,CTL,17/11/10,12:02:43,16.463,52.7,6.8,,0.2349,0.253
ITEX1U,3,CTL,17/11/10,13:02:44,16.63,54.3,7.4,,0.2356,0.2545
ITEX1U,3,CTL,17/11/10,14:02:45,16.677,53.4,7.2,,0.2363,0.2545
ITEX1U,3,CTL,17/11/10,15:02:46,16.606,49.6,6,,0.2363,0.2538
ITEX1U,3,CTL,17/11/10,16:02:47,17.32,48.3,6.3,,0.2356,0.2509
ITEX1U,3,CTL,17/11/10,17:02:48,15.819,50.7,5.6,,0.2349,0.2494
ITEX1U,3,CTL,17/11/10,18:02:49,13.088,57.5,4.9,,0.2342,0.2465
ITEX1U,3,CTL,17/11/10,19:02:50,7.87,69.4,2.6,,0.2334,0.2443
ITEX1U,3,CTL,17/11/10,20:02:51,4.506,86.9,2.5,,0.2327,0.2422
ITEX1U,3,CTL,17/11/10,21:02:52,2.877,93.9,2,,0.2313,0.2414
ITEX1U,3,CTL,17/11/10,22:02:53,2.93,95.7,2.3,,0.2305,0.24
ITEX1U,3,CTL,17/11/10,23:02:54,3.512,95,2.8,,0.2298,0.24
ITEX1U,3,CTL,18/11/10,00:02:55,2.101,95.2,1.4,,0.2298,0.2392
ITEX1U,3,CTL,18/11/10,01:02:56,1.561,96.3,1,,0.2291,0.2385
ITEX1U,3,CTL,18/11/10,02:02:57,2.717,94.4,1.9,,0.2291,0.2385
ITEX1U,3,CTL,18/11/10,03:02:58,2.877,92.3,1.8,,0.2284,0.2378
ITEX1U,3,CTL,18/11/10,04:02:59,3.036,89.6,1.5,,0.2284,0.2378
ITEX1U,3,CTL,18/11/10,05:03:00,3.221,84.6,0.9,,0.2284,0.2371
ITEX1U,3,CTL,18/11/10,06:03:01,3.063,86,1,,0.2276,0.2371
ITEX1U,3,CTL,18/11/10,07:03:02,6.23,81.4,3.3,,0.2276,0.2371
ITEX1U,3,CTL,18/11/10,08:03:03,8.916,74.5,4.6,,0.2276,0.2378
ITEX1U,3,CTL,18/11/10,09:03:04,11.37,66.5,5.4,,0.2276,0.2385
ITEX1U,3,CTL,18/11/10,10:03:05,11.346,60.3,3.9,,0.2276,0.24
ITEX1U,3,CTL,18/11/10,11:03:06,13.69,56,5.1,,0.2276,0.2414
ITEX1U,3,CTL,18/11/10,12:03:07,14.385,56.7,5.9,,0.2284,0.2414
ITEX1U,3,CTL,18/11/10,13:03:08,12.968,58.3,5,,0.2284,0.2422
ITEX1U,3,CTL,18/11/10,14:03:09,14.146,55,5.3,,0.2276,0.2422
ITEX1U,3,CTL,18/11/10,15:03:10,16.534,53.6,7.1,,0.2284,0.2422
ITEX1U,3,CTL,18/11/10,16:03:11,13.69,59.6,6,,0.2284,0.24
ITEX1U,3,CTL,18/11/10,17:03:12,12.799,57.7,4.7,,0.2276,0.2385
ITEX1U,3,CTL,18/11/10,18:03:13,14.29,59.3,6.5,,0.2276,0.2378
ITEX1U,3,CTL,18/11/10,19:03:14,10.638,73.1,6,,0.2269,0.2356
ITEX1U,3,CTL,18/11/10,20:03:15,6.23,94,5.3,,0.2262,0.2342
ITEX1U,3,CTL,18/11/10,21:03:16,4.947,98.8,4.8,,0.2254,0.2334
ITEX1U,3,CTL,18/11/10,22:03:17,4.22,99.7,4.2,,0.2254,0.2334
ITEX1U,3,CTL,18/11/10,23:03:18,3.906,100,3.9,,0.2254,0.2327
ITEX1U,3,CTL,19/11/10,00:03:19,2.61,100,2.6,,0.2254,0.2327
ITEX1U,3,CTL,19/11/10,01:03:20,2.45,100,2.4,,0.2254,0.2327
ITEX1U,3,CTL,19/11/10,02:03:21,2.128,100,2.1,,0.224,0.232
ITEX1U,3,CTL,19/11/10,03:03:22,1.751,100,1.7,,0.224,0.232
ITEX1U,3,CTL,19/11/10,04:03:23,1.235,100,1.2,,0.224,0.2313
ITEX1U,3,CTL,19/11/10,05:03:24,0.55,100,0.5,,0.2233,0.2313
ITEX1U,3,CTL,19/11/10,06:03:25,-1.298,100,-1.3,,0.2233,0.2313
ITEX1U,3,CTL,19/11/10,07:03:26,4.298,100,4.3,,0.2233,0.2305
ITEX1U,3,CTL,19/11/10,08:03:27,11.443,98.6,11.2,,0.2225,0.2305
ITEX1U,3,CTL,19/11/10,09:03:28,13.161,89.4,11.5,,0.2225,0.232
ITEX1U,3,CTL,19/11/10,10:03:29,17.034,64.2,10.2,,0.2218,0.2342
ITEX1U,3,CTL,19/11/10,11:03:30,20.698,53.4,10.9,,0.2233,0.2363
ITEX1U,3,CTL,19/11/10,12:03:31,17.034,61.8,9.7,,0.2225,0.2371
ITEX1U,3,CTL,19/11/10,13:03:32,19.127,65.9,12.6,,0.2233,0.2378
ITEX1U,3,CTL,19/11/10,14:03:33,13.642,64,7,,0.2247,0.2371
ITEX1U,3,CTL,19/11/10,15:03:34,16.773,69.9,11.3,,0.2204,0.2342
ITEX1U,3,CTL,19/11/10,16:03:35,15.055,64.1,8.3,,0.2196,0.2342
ITEX1U,3,CTL,19/11/10,17:03:36,15.581,64.5,8.9,,0.2196,0.2327
ITEX1U,3,CTL,19/11/10,18:03:37,11.394,70.1,6.2,,0.2189,0.2313
ITEX1U,3,CTL,19/11/10,19:03:38,8.568,77.6,4.9,,0.2182,0.2291
ITEX1U,3,CTL,19/11/10,20:03:39,4.298,88.4,2.6,,0.2175,0.2276
ITEX1U,3,CTL,19/11/10,21:03:40,1.235,95.4,0.6,,0.2175,0.2269
ITEX1U,3,CTL,19/11/10,22:03:41,-0.929,98.6,-1.1,,0.2167,0.2262
ITEX1U,3,CTL,19/11/10,23:03:42,-2.015,99.5,-2,,0.216,0.2262
ITEX1U,3,CTL,20/11/10,00:03:43,3.643,100,3.6,,0.216,0.2247
ITEX1U,3,CTL,20/11/10,01:03:44,4.74,100,4.7,,0.216,0.2247
ITEX1U,3,CTL,20/11/10,02:03:45,3.38,99.6,3.3,,0.216,0.2247
ITEX1U,3,CTL,20/11/10,03:03:46,2.717,99.9,2.7,,0.2153,0.2247
ITEX1U,3,CTL,20/11/10,04:03:47,3.985,100,4,,0.2153,0.2247
ITEX1U,3,CTL,20/11/10,05:03:48,4.584,100,4.6,,0.2153,0.2247
ITEX1U,3,CTL,20/11/10,06:03:49,5.462,97.2,5.1,,0.2153,0.224
ITEX1U,3,CTL,20/11/10,07:03:50,8.543,91.2,7.2,,0.2153,0.224
ITEX1U,3,CTL,20/11/10,08:03:51,12.461,84.2,9.9,,0.2138,0.2247
ITEX1U,3,CTL,20/11/10,09:03:52,14.721,75.6,10.5,,0.2153,0.2262
ITEX1U,3,CTL,20/11/10,10:03:53,16.606,67.6,10.6,,0.2153,0.2276
ITEX1U,3,CTL,20/11/10,11:03:54,18.39,60.5,10.6,,0.216,0.2298
ITEX1U,3,CTL,20/11/10,12:03:55,19.674,55.3,10.5,,0.216,0.2313
ITEX1U,3,CTL,20/11/10,13:03:56,20.674,54.6,11.2,,0.2167,0.232
ITEX1U,3,CTL,20/11/10,14:03:57,20.793,51.8,10.5,,0.2175,0.232
ITEX1U,3,CTL,20/11/10,15:03:58,20.436,50.8,9.9,,0.2175,0.2305
ITEX1U,3,CTL,20/11/10,16:03:59,19.651,49.5,8.8,,0.2167,0.2291
ITEX1U,3,CTL,20/11/10,17:04:00,19.579,49,8.6,,0.2167,0.2262
ITEX1U,3,CTL,20/11/10,18:04:01,17.748,51.5,7.6,,0.216,0.224
ITEX1U,3,CTL,20/11/10,19:04:02,11.953,64.8,5.5,,0.2153,0.2204
ITEX1U,3,CTL,20/11/10,20:04:03,8.693,79.6,5.4,,0.2146,0.2189
ITEX1U,3,CTL,20/11/10,21:04:04,3.958,91.3,2.7,,0.2131,0.2167
ITEX1U,3,CTL,20/11/10,22:04:05,1.615,97.6,1.3,,0.2124,0.216
ITEX1U,3,CTL,20/11/10,23:04:06,-0.619,99,-0.7,,0.2116,0.2153
ITEX1U,3,CTL,21/11/10,00:04:07,-0.535,100,-0.5,,0.2116,0.2146
ITEX1U,3,CTL,21/11/10,01:04:08,-0.732,100,-0.7,,0.2109,0.2138
ITEX1U,3,CTL,21/11/10,02:04:09,-1.327,100,-1.3,,0.2109,0.2138
ITEX1U,3,CTL,21/11/10,03:04:10,-0.591,100,-0.5,,0.2102,0.2131
ITEX1U,3,CTL,21/11/10,04:04:11,3.142,100,3.1,,0.2102,0.2138
ITEX1U,3,CTL,21/11/10,05:04:12,1.643,97.6,1.3,,0.2102,0.2131
ITEX1U,3,CTL,21/11/10,06:04:13,3.274,96.6,2.8,,0.2102,0.2131
ITEX1U,3,CTL,21/11/10,07:04:14,10.394,90.4,8.9,,0.2102,0.2131
ITEX1U,3,CTL,21/11/10,08:04:15,13.882,73.2,9.2,,0.2102,0.2138
ITEX1U,3,CTL,21/11/10,09:04:16,17.011,58.3,8.8,,0.2102,0.2146
ITEX1U,3,CTL,21/11/10,10:04:17,17.867,52.6,8.1,,0.2109,0.2167
ITEX1U,3,CTL,21/11/10,11:04:18,20.269,48.9,9.2,,0.2109,0.2182
ITEX1U,3,CTL,21/11/10,12:04:19,22.537,44,9.7,,0.2109,0.2196
ITEX1U,3,CTL,21/11/10,13:04:20,20.246,45.2,8,,0.2116,0.2182
ITEX1U,3,CTL,21/11/10,14:04:21,17.51,47.4,6.2,,0.2109,0.2167
ITEX1U,3,CTL,21/11/10,15:04:22,17.653,44.9,5.6,,0.2116,0.2175
ITEX1U,3,CTL,21/11/10,16:04:23,19.413,49.9,8.7,,0.2102,0.2153
ITEX1U,3,CTL,21/11/10,17:04:24,19.77,45.4,7.6,,0.2102,0.2138
ITEX1U,3,CTL,21/11/10,18:04:25,19.555,45.7,7.5,,0.2102,0.2124
ITEX1U,3,CTL,21/11/10,19:04:26,11.419,60.2,4,,0.2095,0.2095
ITEX1U,3,CTL,21/11/10,20:04:27,9.015,84.5,6.6,,0.2087,0.2073
ITEX1U,3,CTL,21/11/10,21:04:28,8.17,93.3,7.2,,0.208,0.2066
ITEX1U,3,CTL,21/11/10,22:04:29,7.594,95.7,7,,0.2073,0.2051
ITEX1U,3,CTL,21/11/10,23:04:30,6.56,97.3,6.2,,0.2073,0.2044
ITEX1U,3,CTL,22/11/10,00:04:31,5.076,95.9,4.5,,0.2073,0.2044
ITEX1U,3,CTL,22/11/10,01:04:32,5.975,94.5,5.2,,0.2066,0.2037
ITEX1U,3,CTL,22/11/10,02:04:33,4.61,95.1,3.9,,0.2066,0.2037
ITEX1U,3,CTL,22/11/10,03:04:34,3.643,97.7,3.3,,0.2066,0.2037
ITEX1U,3,CTL,22/11/10,04:04:35,7.494,97.5,7.1,,0.2066,0.2029
ITEX1U,3,CTL,22/11/10,05:04:36,5.77,92.1,4.6,,0.2058,0.2029
ITEX1U,3,CTL,22/11/10,06:04:37,7.895,85.4,5.6,,0.2058,0.2029
ITEX1U,3,CTL,22/11/10,07:04:38,11.419,76.5,7.4,,0.2051,0.2029
ITEX1U,3,CTL,22/11/10,08:04:39,14.673,64.8,8.1,,0.2058,0.2029
ITEX1U,3,CTL,22/11/10,09:04:40,16.749,58.3,8.5,,0.2058,0.2037
ITEX1U,3,CTL,22/11/10,10:04:41,19.532,51.8,9.4,,0.2058,0.2051
ITEX1U,3,CTL,22/11/10,11:04:42,21.557,48.9,10.4,,0.2058,0.2058
ITEX1U,3,CTL,22/11/10,12:04:43,22.345,48.1,10.9,,0.2066,0.208
ITEX1U,3,CTL,22/11/10,13:04:44,23.497,50.6,12.7,,0.2066,0.2073
ITEX1U,3,CTL,22/11/10,14:04:45,24.412,49.2,13.1,,0.2058,0.2066
ITEX1U,3,CTL,22/11/10,15:04:46,23.304,48.1,11.7,,0.2066,0.2058
ITEX1U,3,CTL,22/11/10,16:04:47,17.558,45.2,5.6,,0.2066,0.2051
ITEX1U,3,CTL,22/11/10,17:04:48,19.436,52.6,9.5,,0.2051,0.2008
ITEX1U,3,CTL,22/11/10,18:04:49,15.509,52.1,5.7,,0.2044,0.1993
ITEX1U,3,CTL,22/11/10,19:04:50,14.05,55.6,5.3,,0.2037,0.1964
ITEX1U,3,CTL,22/11/10,20:04:51,10.541,65.2,4.3,,0.2029,0.1949
ITEX1U,3,CTL,22/11/10,21:04:52,7.645,81.7,4.7,,0.2022,0.1935
ITEX1U,3,CTL,22/11/10,22:04:53,6.306,89.9,4.8,,0.2022,0.1928
ITEX1U,3,CTL,22/11/10,23:04:54,9.287,90.2,7.8,,0.2015,0.1928
ITEX1U,3,CTL,23/11/10,00:04:55,10.001,84.3,7.5,,0.2015,0.192
ITEX1U,3,CTL,23/11/10,01:04:56,10.124,84.7,7.7,,0.2008,0.192
ITEX1U,3,CTL,23/11/10,02:04:57,9.361,80,6.1,,0.2008,0.1913
ITEX1U,3,CTL,23/11/10,03:04:58,8.742,78.5,5.2,,0.2008,0.1913
ITEX1U,3,CTL,23/11/10,04:04:59,8.568,79.4,5.2,,0.2008,0.1906
ITEX1U,3,CTL,23/11/10,05:05:00,7.544,85.8,5.3,,0.2,0.1906
ITEX1U,3,CTL,23/11/10,06:05:01,8.095,88.7,6.4,,0.2,0.1906
ITEX1U,3,CTL,23/11/10,07:05:02,11.346,83.7,8.7,,0.1993,0.1906
ITEX1U,3,CTL,23/11/10,08:05:03,14.649,74.9,10.3,,0.2,0.1906
ITEX1U,3,CTL,23/11/10,09:05:04,16.701,70.5,11.3,,0.2,0.1913
ITEX1U,3,CTL,23/11/10,10:05:05,17.891,67.6,11.8,,0.2,0.1928
ITEX1U,3,CTL,23/11/10,11:05:06,19.318,64.8,12.5,,0.2008,0.1942
ITEX1U,3,CTL,23/11/10,12:05:07,19.888,59.2,11.7,,0.2008,0.1957
ITEX1U,3,CTL,23/11/10,13:05:08,20.365,54.2,10.8,,0.2015,0.1957
ITEX1U,3,CTL,23/11/10,14:05:09,21.39,52.4,11.3,,0.2015,0.1949
ITEX1U,3,CTL,23/11/10,15:05:10,21.318,51.9,11.1,,0.2008,0.1935
ITEX1U,3,CTL,23/11/10,16:05:11,19.508,49.7,8.7,,0.2008,0.192
ITEX1U,3,CTL,23/11/10,17:05:12,20.174,51.3,9.8,,0.2,0.1891
ITEX1U,3,CTL,23/11/10,18:05:13,16.415,53.1,6.9,,0.2,0.1862
ITEX1U,3,CTL,23/11/10,19:05:14,12.606,66.9,6.6,,0.1978,0.1826
ITEX1U,3,CTL,23/11/10,20:05:15,10.1,75.8,6,,0.1971,0.1804
