Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,,"Temp, ÁC (SEN S/N: 2279300)","Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 684638)",,,"PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)",,"Water Content, m?/m? (SEN S/N: 2282783)"
23/03/09,11:00:00,0,,,11.297,14.936,13.762,67.565,,1368.7,9.14,13.7,,0.1484
23/03/09,12:00:00,0,,,12.727,18.105,14.936,64.846,,1663.7,8.76,12.56,,0.148
23/03/09,13:00:00,0,,,14.29,20.746,15.772,62.815,,1841.2,8.38,14.85,,0.1476
23/03/09,14:00:00,0,,,15.676,22.25,16.296,52.76,,1893.7,8.38,13.7,,0.1471
23/03/09,15:00:00,0,,,16.701,22.705,17.177,51.432,,1808.7,8.38,14.85,,0.1467
23/03/09,16:00:00,0,,,17.32,22.417,17.463,47.466,,1596.2,7.61,12.18,,0.1467
23/03/09,17:00:00,0,,,17.486,20.936,17.582,52.76,,1256.2,6.85,11.42,,0.1467
23/03/09,18:00:00,0,,,16.701,18.889,16.963,53.425,,808.7,4.95,11.42,,0.1467
23/03/09,19:00:00,0,,,15.629,15.915,15.342,66.204,,321.2,4.57,8.38,,0.1471
23/03/09,20:00:00,0,,,14.409,12.751,12.147,66.204,,11.2,2.28,6.09,,0.1471
23/03/09,21:00:00,0,,,13.112,10.418,11.078,69.611,,1.2,1.52,3.81,,0.1471
23/03/09,22:00:00,0,,,12.098,9.163,10.369,64.168,,1.2,1.52,4.57,,0.1471
23/03/09,23:00:00,0,,,11.419,8.668,11.783,64.168,,1.2,4.19,7.61,,0.1471
24/03/09,00:00:00,0,,,11.053,8.543,11.783,65.525,,1.2,5.33,8.76,,0.1471
24/03/09,01:00:00,0,,,10.785,8.27,11.492,65.525,,1.2,6.09,10.28,,0.1471
24/03/09,02:00:00,0,,,10.516,7.945,11.005,64.168,,1.2,6.85,10.66,,0.1467
24/03/09,03:00:00,0,,,10.247,7.594,10.687,66.204,,1.2,7.23,10.28,,0.1467
24/03/09,04:00:00,0,,,9.977,7.192,9.977,70.295,,1.2,7.61,11.04,,0.1467
24/03/09,05:00:00,0,,,9.706,6.813,9.361,70.295,,1.2,6.85,10.66,,0.1467
24/03/09,06:00:00,0,,,9.41,6.331,8.891,57.432,,1.2,5.71,7.61,,0.1467
24/03/09,07:00:00,0,,,9.139,6.051,9.509,30.588,,1.2,5.71,8.38,,0.1467
24/03/09,08:00:00,0,,,8.891,5.77,10.638,37.667,,61.2,6.85,10.28,,0.1467
24/03/09,09:00:00,0,,,8.742,6.94,11.516,33.795,,471.2,6.47,9.9,,0.1463
24/03/09,10:00:00,0,,,9.188,9.829,12.509,35.728,,953.7,8.38,12.18,,0.1459
24/03/09,11:00:00,0,,,10.32,13.377,13.064,30.588,,1333.7,9.14,13.7,,0.145
24/03/09,12:00:00,0,,,11.856,17.034,14.481,32.51,,1643.7,8.76,12.56,,0.1446
24/03/09,13:00:00,0,,,13.546,20.031,15.079,37.02,,1828.7,7.99,12.18,,0.1442
24/03/09,14:00:00,0,,,15.079,21.652,15.509,44.837,,1831.2,6.85,10.66,,0.1437
24/03/09,15:00:00,0,,,16.153,21.509,15.438,41.567,,1281.2,6.47,11.04,,0.1433
24/03/09,16:00:00,0,,,16.368,20.412,15.509,40.264,,1236.2,6.85,11.04,,0.1433
24/03/09,17:00:00,0,,,16.153,18.033,14.888,37.02,,608.7,6.85,10.28,,0.1433
24/03/09,18:00:00,0,,,15.438,16.725,15.223,40.915,,636.2,6.47,11.42,,0.1429
24/03/09,19:00:00,0,,,14.697,14.553,14.194,41.567,,151.2,6.09,11.04,,0.1433
24/03/09,20:00:00,0,,,13.786,12.654,13.546,40.915,,3.7,4.95,7.61,,0.1433
24/03/09,21:00:00,0,,,13.04,11.613,13.233,46.15,,1.2,3.81,6.85,,0.1433
24/03/09,22:00:00,0,,,12.461,10.736,12.606,48.785,,1.2,2.66,4.95,,0.1433
24/03/09,23:00:00,0,,,11.953,10.075,11.856,50.107,,1.2,2.28,3.43,,0.1429
25/03/09,00:00:00,0,,,11.565,9.928,11.832,54.091,,1.2,1.52,3.05,,0.1429
25/03/09,01:00:00,0,,,11.321,9.632,11.443,60.117,,1.2,1.14,2.66,,0.1429
25/03/09,02:00:00,0,,,11.078,9.336,11.88,56.093,,1.2,0.76,3.43,,0.1429
25/03/09,03:00:00,0,,,10.907,9.509,12.558,54.091,,1.2,1.14,3.05,,0.1425
25/03/09,04:00:00,0,,,10.883,9.805,13.329,40.264,,1.2,1.9,3.81,,0.1425
25/03/09,05:00:00,0,,,10.834,9.558,13.834,37.02,,1.2,2.66,5.71,,0.1425
25/03/09,06:00:00,0,,,10.736,9.435,13.882,53.425,,1.2,4.57,8.76,,0.1425
25/03/09,07:00:00,0.51,,,10.638,9.509,12.896,85.525,,1.2,6.47,12.18,,0.142
25/03/09,08:00:00,2.54,,,10.59,9.287,10.198,78.558,,18.7,6.09,11.8,,0.1904
25/03/09,09:00:00,0.25,,,10.614,10.247,11.977,86.928,,178.7,6.09,11.04,,0.1883
25/03/09,10:00:00,1.02,,,10.956,11.102,11.175,92.567,,206.2,5.71,10.28,,0.2027
25/03/09,11:00:00,1.78,,,11.224,11.637,11.175,90.447,,288.7,7.23,14.85,,0.2192
25/03/09,12:00:00,0.25,,,11.686,14.242,12.074,102.55,,796.2,5.71,11.04,,0.2171
25/03/09,13:00:00,3.81,,,12.509,14.266,10.858,108.321,,353.7,6.47,11.04,,0.2506
25/03/09,14:00:00,2.03,,,12.437,13.233,10.247,109.045,,263.7,5.33,11.42,,0.2621
25/03/09,15:00:00,3.05,,,12.413,12.896,9.928,108.321,,181.2,6.85,12.94,,0.2706
25/03/09,16:00:00,4.83,,,12.122,11.637,9.756,110.497,,133.7,6.47,12.56,,0.2795
25/03/09,17:00:00,1.78,,,11.88,11.443,9.608,111.951,,176.2,7.61,15.99,,0.2706
25/03/09,18:00:00,0,,,11.856,11.807,9.485,112.68,,173.7,9.52,15.23,,0.2549
25/03/09,19:00:00,0,,,11.807,11.078,9.312,111.951,,63.7,10.28,18.27,,0.246
25/03/09,20:00:00,0,,,11.419,10.075,9.287,109.771,,6.2,8.38,17.51,,0.24
25/03/09,21:00:00,0,,,11.175,10.001,9.46,99.683,,1.2,6.09,14.47,,0.2358
25/03/09,22:00:00,0,,,10.883,9.064,9.829,96.828,,1.2,6.09,10.66,,0.2324
25/03/09,23:00:00,0,,,10.467,8.394,10.075,103.269,,1.2,6.09,10.28,,0.2294
26/03/09,00:00:00,0,,,10.149,8.17,10.1,98.968,,1.2,6.09,11.8,,0.2273
26/03/09,01:00:00,0,,,9.928,7.97,10.1,98.968,,1.2,5.33,9.52,,0.2252
26/03/09,02:00:00,0,,,9.731,7.82,10.026,96.828,,1.2,4.95,8.76,,0.2235
26/03/09,03:00:00,0,,,9.583,7.695,10.051,97.54,,1.2,4.95,7.99,,0.2222
26/03/09,04:00:00,0,,,9.41,7.469,10.026,94.694,,1.2,4.95,8.76,,0.2205
26/03/09,05:00:00,0,,,9.262,7.419,10.467,86.226,,1.2,6.47,11.8,,0.2192
26/03/09,06:00:00,0,,,9.238,7.72,11.2,79.251,,1.2,6.09,11.04,,0.2184
26/03/09,07:00:00,0,,,9.238,7.845,11.565,75.102,,1.2,6.47,12.18,,0.2171
26/03/09,08:00:00,0,,,9.238,7.92,11.783,75.792,,43.7,6.85,12.56,,0.2163
26/03/09,09:00:00,0,,,9.361,8.941,12.364,79.251,,306.2,7.99,13.32,,0.215
26/03/09,10:00:00,0,,,9.854,11.224,12.678,70.295,,706.2,7.61,12.56,,0.2137
26/03/09,11:00:00,0,,,10.785,13.786,13.257,58.102,,1378.7,8.76,15.23,,0.212
26/03/09,12:00:00,0,,,12.147,16.773,13.882,51.432,,1646.2,7.61,13.32,,0.2108
26/03/09,13:00:00,0,,,13.449,18.557,13.978,50.769,,1743.7,7.23,12.56,,0.2095
26/03/09,14:00:00,0,,,14.601,19.555,14.266,61.465,,1643.7,6.47,11.8,,0.2082
26/03/09,15:00:00,0,,,15.438,20.174,14.697,63.491,,1816.2,6.47,11.04,,0.2065
26/03/09,16:00:00,0,,,16.034,19.77,15.127,63.491,,1333.7,6.09,13.32,,0.2057
26/03/09,17:00:00,0,,,15.7,16.868,13.954,60.117,,766.2,5.71,11.42,,0.2052
26/03/09,18:00:00,0,,,14.697,15.414,14.05,61.465,,626.2,4.57,9.52,,0.2044
26/03/09,19:00:00,0,,,13.81,13.064,12.703,71.665,,198.7,4.19,7.61,,0.204
26/03/09,20:00:00,0,,,12.871,10.663,10.858,73.725,,6.2,3.81,6.85,,0.2031
26/03/09,21:00:00,0,,,11.88,8.99,9.903,88.333,,1.2,3.43,5.71,,0.2027
26/03/09,22:00:00,0,,,10.98,7.368,6.99,88.333,,1.2,0.76,3.81,,0.2023
26/03/09,23:00:00,0,,,9.977,5.745,7.015,103.988,,1.2,0.38,1.9,,0.2019
27/03/09,00:00:00,0,,,9.139,4.844,5.539,111.951,,1.2,0,1.9,,0.201
27/03/09,01:00:00,0,,,8.643,4.714,4.61,84.126,,1.2,0,1.14,,0.2006
27/03/09,02:00:00,0,,,8.12,3.696,4.454,112.68,,1.2,0,3.05,,0.2002
27/03/09,03:00:00,0,,,7.72,3.749,4.532,112.68,,1.2,1.14,4.57,,0.1997
27/03/09,04:00:00,0,,,7.594,3.985,3.985,73.725,,1.2,1.14,3.81,,0.1993
27/03/09,05:00:00,0,,,7.343,3.089,3.089,106.874,,1.2,0.38,3.05,,0.1989
27/03/09,06:00:00,0,,,6.839,2.45,1.886,113.409,,1.2,0,1.52,,0.1985
27/03/09,07:00:00,0,,,6.712,3.142,1.453,115.6,,1.2,0,1.9,,0.198
27/03/09,08:00:00,0,,,6.737,3.168,0.66,42.872,,56.2,0,1.14,,0.1976
27/03/09,09:00:00,0,,,6.535,4.558,8.841,24.231,,478.7,0,1.52,,0.1968
27/03/09,10:00:00,0,,,7.242,9.657,12.727,25.496,,936.2,0,1.52,,0.1955
27/03/09,11:00:00,0,,,9.114,14.05,14.385,24.231,,1331.2,0.76,3.81,,0.1946
27/03/09,12:00:00,0,,,11.2,17.272,14.242,25.496,,1626.2,3.43,5.71,,0.1938
27/03/09,13:00:00,0,,,13.161,19.579,14.074,31.228,,1803.7,3.81,6.85,,0.1929
27/03/09,14:00:00,0,,,14.84,21.39,14.242,36.374,,1848.7,3.05,6.85,,0.1917
27/03/09,15:00:00,0,,,16.106,21.939,14.457,35.728,,1761.2,3.05,7.23,,0.1912
27/03/09,16:00:00,0,,,16.773,21.246,14.577,37.667,,1538.7,3.43,6.47,,0.1908
27/03/09,17:00:00,0,,,16.701,19.651,15.008,49.446,,1168.7,1.9,4.95,,0.1908
27/03/09,18:00:00,0,,,15.724,17.344,13.81,49.446,,806.2,1.9,4.95,,0.1904
27/03/09,19:00:00,0,,,14.457,14.122,12.171,63.491,,278.7,1.14,3.81,,0.19
27/03/09,20:00:00,0,,,12.992,10.541,8.965,77.865,,6.2,0,1.9,,0.19
27/03/09,21:00:00,0,,,11.589,8.195,6.687,83.427,,1.2,0,1.14,,0.19
27/03/09,22:00:00,0,,,10.443,6.636,6.382,70.98,,1.2,0,1.14,,0.1896
27/03/09,23:00:00,0,,,9.558,5.616,6.204,61.465,,1.2,0.38,2.28,,0.1896
28/03/09,00:00:00,0,,,8.841,4.636,7.015,65.525,,1.2,0,1.14,,0.1891
28/03/09,01:00:00,0,,,8.195,3.854,6.585,56.093,,1.2,0,1.52,,0.1891
28/03/09,02:00:00,0,,,7.645,3.274,6.458,61.465,,1.2,0.76,3.05,,0.1887
28/03/09,03:00:00,0,,,7.242,3.009,6.611,67.565,,1.2,1.14,4.19,,0.1887
28/03/09,04:00:00,0,,,6.99,3.168,7.343,66.204,,1.2,1.9,4.19,,0.1883
28/03/09,05:00:00,0,,,6.889,3.485,8.668,64.846,,1.2,2.66,5.71,,0.1879
28/03/09,06:00:00,0,,,6.864,3.591,8.394,64.168,,1.2,2.28,5.33,,0.1879
28/03/09,07:00:00,0,,,6.763,3.591,8.195,64.846,,1.2,3.81,7.23,,0.1874
28/03/09,08:00:00,0,,,6.737,3.801,8.344,55.425,,48.7,4.57,7.61,,0.187
28/03/09,09:00:00,0,,,6.839,5.872,10.345,52.76,,458.7,1.52,4.95,,0.1866
28/03/09,10:00:00,0,,,7.695,9.706,11.783,52.096,,918.7,3.43,6.85,,0.1857
28/03/09,11:00:00,0,,,9.238,13.257,12.582,51.432,,1281.2,4.19,7.23,,0.1849
28/03/09,12:00:00,0,,,11.2,17.368,13.858,53.425,,1626.2,3.43,6.47,,0.184
28/03/09,13:00:00,0,,,13.281,20.15,14.601,55.425,,1711.2,3.05,6.85,,0.1832
28/03/09,14:00:00,0,,,14.984,22.058,14.864,53.425,,1818.7,3.05,6.47,,0.1823
28/03/09,15:00:00,0,,,16.225,22.25,14.912,52.76,,1618.7,3.81,6.09,,0.1819
28/03/09,16:00:00,0,,,16.82,21.819,15.557,56.093,,1566.2,3.81,6.47,,0.1815
28/03/09,17:00:00,0,,,16.892,20.484,15.485,56.762,,1203.7,3.81,6.47,,0.1815
28/03/09,18:00:00,0,,,15.819,18.033,14.912,61.465,,766.2,3.43,5.33,,0.1815
28/03/09,19:00:00,0,,,14.529,14.745,12.92,67.565,,271.2,1.9,4.57,,0.1815
28/03/09,20:00:00,0,,,13.233,11.734,10.516,79.251,,3.7,2.28,4.57,,0.1811
28/03/09,21:00:00,0,,,12.05,9.682,8.767,78.558,,1.2,1.14,3.43,,0.1811
28/03/09,22:00:00,0,,,11.029,8.12,8.941,68.246,,1.2,0.38,1.52,,0.1811
28/03/09,23:00:00,0,,,10.149,6.94,8.519,66.884,,1.2,0.38,2.66,,0.1811
29/03/09,00:00:00,0,,,9.485,6.255,8.045,71.665,,1.2,1.14,3.05,,0.1811
29/03/09,01:00:00,0,,,9.04,6.204,9.163,57.432,,1.2,3.05,4.57,,0.1806
29/03/09,02:00:00,0,,,8.866,6.408,10.785,63.491,,1.2,3.81,5.71,,0.1806
29/03/09,03:00:00,0,,,8.717,6.281,10.565,70.295,,1.2,3.81,6.47,,0.1802
29/03/09,04:00:00,0,,,8.618,6.458,10.541,69.611,,1.2,4.95,6.85,,0.1802
29/03/09,05:00:00,0,,,8.568,6.535,10.369,64.846,,1.2,4.95,8.38,,0.1798
29/03/09,06:00:00,0,,,8.494,6.408,10.198,60.117,,1.2,4.95,7.99,,0.1798
29/03/09,07:00:00,0,,,8.369,6.051,10.149,51.432,,1.2,4.19,6.85,,0.1794
29/03/09,08:00:00,0,,,8.12,5.462,10.026,46.15,,53.7,2.28,5.33,,0.1794
29/03/09,09:00:00,0,,,7.945,7.116,11.904,42.872,,463.7,2.66,6.47,,0.1789
29/03/09,10:00:00,0,,,8.643,10.687,13.497,37.02,,916.2,2.66,6.09,,0.1781
29/03/09,11:00:00,0,,,10.124,14.385,14.337,38.964,,1311.2,3.43,6.47,,0.1773
29/03/09,12:00:00,0,,,11.953,18.057,15.557,37.667,,1603.7,2.66,5.71,,0.1764
29/03/09,13:00:00,0,,,13.954,21.246,16.534,33.152,,1761.2,1.9,4.57,,0.1756
29/03/09,14:00:00,0,,,15.652,23.376,17.677,24.863,,1823.7,1.14,3.81,,0.1751
29/03/09,15:00:00,0,,,16.915,24.002,19.08,34.438,,1728.7,1.52,5.71,,0.1747
29/03/09,16:00:00,0,,,17.51,23.16,18.794,35.728,,1518.7,3.05,6.47,,0.1747
29/03/09,17:00:00,0,,,17.32,21.294,18.343,37.667,,1166.2,2.28,6.47,,0.1743
29/03/09,18:00:00,0,,,16.177,18.675,17.415,51.432,,693.7,3.05,7.23,,0.1743
29/03/09,19:00:00,0,,,14.936,15.509,14.864,60.791,,188.7,4.19,6.85,,0.1743
29/03/09,20:00:00,0,,,13.858,13.04,12.558,68.246,,3.7,3.81,7.23,,0.1743
29/03/09,21:00:00,0,,,12.92,11.419,10.785,74.413,,1.2,3.43,5.71,,0.1739
29/03/09,22:00:00,0,,,12.171,10.296,9.731,64.168,,1.2,3.43,7.23,,0.1739
29/03/09,23:00:00,0,,,11.565,9.435,9.41,64.846,,1.2,3.05,6.47,,0.1739
30/03/09,00:00:00,0,,,10.956,8.22,8.891,68.929,,1.2,0.38,3.81,,0.1739
30/03/09,01:00:00,0,,,10.271,7.217,7.619,74.413,,1.2,0,1.52,,0.1734
30/03/09,02:00:00,0,,,9.657,6.484,7.419,81.336,,1.2,0,1.9,,0.1734
30/03/09,03:00:00,0,,,9.163,5.872,7.695,70.98,,1.2,0,1.52,,0.1734
30/03/09,04:00:00,0,,,8.717,5.462,8.344,60.791,,1.2,0,1.52,,0.1734
30/03/09,05:00:00,0,,,8.344,5.076,9.361,53.425,,1.2,0,1.14,,0.1734
30/03/09,06:00:00,0,,,8.045,4.869,9.682,50.769,,1.2,0,1.9,,0.1734
30/03/09,07:00:00,0,,,7.795,4.558,9.756,48.125,,1.2,0,1.14,,0.173
30/03/09,08:00:00,0,,,7.519,4.376,10.638,49.446,,43.7,0,0.76,,0.173
30/03/09,09:00:00,0,,,7.519,6.889,12.751,46.15,,398.7,0,0.38,,0.1726
30/03/09,10:00:00,0,,,8.519,11.516,16.368,46.807,,866.2,0,1.9,,0.1717
30/03/09,11:00:00,0,,,10.345,15.724,17.439,43.526,,1226.2,0.38,3.81,,0.1709
30/03/09,12:00:00,0,,,12.292,18.771,17.748,38.315,,1516.2,1.9,5.33,,0.1705
30/03/09,13:00:00,0,,,14.026,21.27,17.843,37.667,,1718.7,2.66,6.47,,0.1696
30/03/09,14:00:00,0,,,15.39,22.753,18.057,35.083,,1711.2,3.05,6.09,,0.1692
30/03/09,15:00:00,0,,,16.32,23.208,18.129,36.374,,1628.7,3.05,6.47,,0.1688
30/03/09,16:00:00,0,,,16.796,22.489,17.891,46.15,,1318.7,3.43,6.47,,0.1688
30/03/09,17:00:00,0,,,16.487,20.031,16.487,46.807,,901.2,4.95,7.99,,0.1683
30/03/09,18:00:00,0,,,15.414,17.32,15.103,66.204,,511.2,4.57,7.61,,0.1683
30/03/09,19:00:00,0,,,14.337,14.577,12.823,89.037,,141.2,3.81,7.23,,0.1683
30/03/09,20:00:00,0,,,13.353,12.413,10.173,103.988,,1.2,3.43,6.09,,0.1683
30/03/09,21:00:00,0,,,12.534,11.102,9.015,104.709,,1.2,2.66,5.71,,0.1683
30/03/09,22:00:00,0,,,11.904,10.198,9.015,106.874,,1.2,1.9,4.57,,0.1683
30/03/09,23:00:00,0,,,11.37,9.632,8.891,104.709,,1.2,2.28,4.57,,0.1679
31/03/09,00:00:00,0,,,10.932,8.965,8.717,111.224,,1.2,1.9,4.57,,0.1679
31/03/09,01:00:00,0,,,10.565,8.618,8.045,111.951,,1.2,1.9,4.57,,0.1679
31/03/09,02:00:00,0,,,10.32,8.12,6.331,66.204,,1.2,0,1.14,,0.1679
31/03/09,03:00:00,0,,,9.78,6.433,5.821,50.107,,1.2,0.76,3.43,,0.1679
31/03/09,04:00:00,0,,,9.089,5.642,8.643,67.565,,1.2,1.14,3.81,,0.1679
31/03/09,05:00:00,0,,,8.693,5.642,8.742,79.945,,1.2,1.9,4.19,,0.1679
31/03/09,06:00:00,0,,,8.469,5.231,6.331,109.045,,1.2,0,2.66,,0.1675
31/03/09,07:00:00,0,,,8.045,4.506,5.591,83.427,,1.2,0.38,3.05,,0.1675
31/03/09,08:00:00,0,,,7.695,4.037,5.437,75.102,,46.2,0,1.52,,0.1675
31/03/09,09:00:00,0,,,7.419,6.051,8.941,65.525,,408.7,0,1.9,,0.1671
31/03/09,10:00:00,0,,,8.245,11.151,12.703,47.466,,838.7,0,1.9,,0.1662
31/03/09,11:00:00,0,,,9.977,15.39,15.151,56.093,,1236.2,0.38,3.05,,0.1658
31/03/09,12:00:00,0,,,11.929,18.747,15.151,64.168,,1551.2,1.9,4.57,,0.1649
31/03/09,13:00:00,0,,,13.786,21.461,15.652,66.204,,1738.7,2.28,5.71,,0.1645
31/03/09,14:00:00,0,,,15.223,22.848,15.008,59.445,,1788.7,3.05,6.09,,0.1641
31/03/09,15:00:00,0,,,16.249,23.833,15.223,59.445,,1728.7,2.66,6.47,,0.1637
31/03/09,16:00:00,0,,,16.915,23.665,15.796,58.773,,1496.2,2.28,6.47,,0.1637
31/03/09,17:00:00,0,,,16.82,21.557,15.485,60.117,,991.2,3.43,7.99,,0.1637
31/03/09,18:00:00,0,,,15.748,18.533,14.601,65.525,,716.2,4.19,7.99,,0.1637
31/03/09,19:00:00,0,,,14.577,15.27,13.088,77.173,,226.2,3.05,6.09,,0.1637
31/03/09,20:00:00,0,,,13.497,12.292,10.956,79.251,,1.2,1.14,3.81,,0.1637
31/03/09,21:00:00,0,,,12.34,10.026,9.879,86.928,,1.2,1.14,3.43,,0.1637
31/03/09,22:00:00,0,,,11.467,9.238,8.941,88.333,,1.2,1.52,4.57,,0.1637
31/03/09,23:00:00,0,,,10.907,8.419,8.17,94.694,,1.2,0.76,4.19,,0.1637
01/04/09,00:00:00,0,,,10.222,6.788,6.914,93.984,,1.2,0,1.14,,0.1637
01/04/09,01:00:00,0,,,9.46,5.693,6.94,92.567,,1.2,0,1.52,,0.1637
01/04/09,02:00:00,0,,,8.841,5.102,6.712,90.447,,1.2,0.38,2.28,,0.1637
01/04/09,03:00:00,0,,,8.319,4.402,7.318,96.828,,1.2,0,1.52,,0.1637
01/04/09,04:00:00,0,,,7.87,3.854,6.99,78.558,,1.2,0,1.52,,0.1637
01/04/09,05:00:00,0,,,7.444,3.617,7.82,66.884,,1.2,0,1.9,,0.1633
01/04/09,06:00:00,0,,,7.142,3.327,8.494,72.351,,1.2,0,1.14,,0.1633
01/04/09,07:00:00,0,,,6.864,2.956,8.295,72.351,,1.2,0,1.14,,0.1633
01/04/09,08:00:00,0,,,6.56,2.744,8.519,73.725,,46.2,0,1.14,,0.1633
01/04/09,09:00:00,0,,,6.509,5.872,11.224,66.884,,436.2,0,1.9,,0.1624
01/04/09,10:00:00,0,,,7.569,10.785,13.473,41.567,,886.2,1.52,3.81,,0.162
01/04/09,11:00:00,0,,,9.336,14.577,15.27,42.872,,1278.7,1.9,5.71,,0.1616
01/04/09,12:00:00,0,,,11.273,18.58,16.01,46.15,,1566.2,1.9,4.95,,0.1607
01/04/09,13:00:00,0,,,13.257,22.011,16.654,47.466,,1738.7,1.9,4.95,,0.1599
01/04/09,14:00:00,0,,,14.96,24.436,17.582,50.107,,1783.7,1.52,5.33,,0.1594
