Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,,,"Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 684638)",,,"PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)"
25/01/09,06:00:00,0,,,,3.854,7.091,,,1.2,0.38,2.28
25/01/09,07:00:00,0,,,,4.011,9.682,,,83.7,2.28,5.33
25/01/09,08:00:00,0,,,,6.737,11.856,,,511.2,3.81,7.61
25/01/09,09:00:00,0,,,,13.281,13.594,,,986.2,3.43,6.85
25/01/09,10:00:00,0,,,,20.055,15.008,,,1423.7,4.19,7.23
25/01/09,11:00:00,0,,,,26.867,17.344,,,1783.7,1.9,6.85
25/01/09,12:00:00,0,,,,32.047,19.365,,,2051.2,1.9,4.95
25/01/09,13:00:00,0,,,,35.689,20.126,,,2201.2,3.05,5.71
25/01/09,14:00:00,0,,,,38.7,19.793,,,2238.7,3.43,6.09
25/01/09,15:00:00,0,,,,39.431,20.436,,,2163.7,3.05,5.71
25/01/09,16:00:00,0,,,,39.431,20.817,,,1963.7,3.05,6.09
25/01/09,17:00:00,0,,,,37.178,21.39,,,1656.2,2.66,5.33
25/01/09,18:00:00,0,,,,33.391,21.175,,,1256.2,2.66,5.33
25/01/09,19:00:00,0,,,,28.147,20.436,,,796.2,2.66,4.95
25/01/09,20:00:00,0,,,,21.748,19.175,,,321.2,1.52,3.81
25/01/09,21:00:00,0,,,,16.296,15.629,,,18.7,0,2.66
25/01/09,22:00:00,0,,,,13.329,12.944,,,1.2,0.76,1.9
25/01/09,23:00:00,0,,,,11.662,13.281,,,1.2,0,1.52
26/01/09,00:00:00,0,,,,10.516,12.268,,,1.2,0.76,1.9
26/01/09,01:00:00,0,,,,9.632,11.977,,,1.2,0.76,2.28
26/01/09,02:00:00,0,,,,9.064,12.703,,,1.2,0.76,1.9
26/01/09,03:00:00,0,,,,8.419,12.92,,,1.2,0.76,4.19
26/01/09,04:00:00,0,,,,8.419,12.268,,,1.2,2.28,4.19
26/01/09,05:00:00,0,,,,8.344,13.329,,,1.2,3.05,4.19
26/01/09,06:00:00,0,,,,8.344,14.002,,,1.2,3.81,5.71
26/01/09,07:00:00,0,,,,8.568,14.05,,,76.2,4.19,5.33
26/01/09,08:00:00,0,,,,10.638,16.582,,,498.7,4.19,6.47
26/01/09,09:00:00,0,,,,16.892,18.438,,,976.2,4.19,7.99
26/01/09,10:00:00,0,,,,23.184,19.555,,,1418.7,4.95,8.38
26/01/09,11:00:00,0,,,,29.865,20.555,,,1783.7,4.19,7.61
26/01/09,12:00:00,0,,,,35.985,21.461,,,2048.7,3.43,6.85
26/01/09,13:00:00,0,,,,40.92,22.369,,,2198.7,2.66,6.85
26/01/09,14:00:00,0,,,,42.773,22.561,,,2233.7,2.66,6.85
26/01/09,15:00:00,0,,,,43.707,23.232,,,2153.7,2.28,7.61
26/01/09,16:00:00,0,,,,42.119,23.208,,,1956.2,2.66,6.85
26/01/09,17:00:00,0,,,,38.06,21.008,,,1613.7,4.19,7.99
26/01/09,18:00:00,0,,,,33.313,19.96,,,1233.7,4.57,7.61
26/01/09,19:00:00,0,,,,27.825,18.461,,,768.7,4.57,7.61
26/01/09,20:00:00,0,,,,21.437,16.034,,,301.2,3.43,6.09
26/01/09,21:00:00,0,,,,16.606,13.016,,,18.7,1.9,4.57
26/01/09,22:00:00,0,,,,13.281,11.662,,,1.2,0,2.28
26/01/09,23:00:00,0,,,,11.613,11.565,,,1.2,0,1.52
27/01/09,00:00:00,0,,,,10.443,12.582,,,1.2,0,1.9
27/01/09,01:00:00,0,,,,9.485,12.268,,,1.2,0.38,2.28
27/01/09,02:00:00,0,,,,9.262,11.686,,,1.2,1.9,3.81
27/01/09,03:00:00,0,,,,10.149,14.697,,,1.2,3.05,5.71
27/01/09,04:00:00,0,,,,10.638,14.745,,,1.2,4.95,8.38
27/01/09,05:00:00,0,,,,10.736,14.385,,,1.2,6.47,10.28
27/01/09,06:00:00,0,,,,10.614,14.002,,,1.2,6.85,10.66
27/01/09,07:00:00,0,,,,10.663,14.122,,,73.7,6.85,12.18
27/01/09,08:00:00,0,,,,12.268,15.366,,,493.7,8.38,14.47
27/01/09,09:00:00,0,,,,17.011,16.368,,,973.7,9.9,14.85
27/01/09,10:00:00,0,,,,23.641,17.249,,,1408.7,9.14,13.7
27/01/09,11:00:00,0,,,,30.469,17.867,,,1773.7,8.38,13.32
27/01/09,12:00:00,0,,,,36.933,18.889,,,2038.7,7.23,12.94
27/01/09,13:00:00,0,,,,40.4,20.079,,,2193.7,7.61,13.32
27/01/09,14:00:00,0,,,,42.863,20.889,,,2236.2,6.85,12.94
27/01/09,15:00:00,0,,,,41.972,21.557,,,2166.2,6.85,12.94
27/01/09,16:00:00,0,,,,40.717,21.891,,,1923.7,6.09,11.8
27/01/09,17:00:00,0,,,,38.115,22.13,,,1636.2,4.95,8.76
27/01/09,18:00:00,0,,,,34.413,22.298,,,1198.7,4.57,8.38
27/01/09,19:00:00,0,,,,29.29,22.202,,,788.7,2.66,6.09
27/01/09,20:00:00,0,,,,22.729,21.223,,,311.2,1.9,4.19
27/01/09,21:00:00,0,,,,17.272,17.629,,,18.7,0.76,2.66
27/01/09,22:00:00,0,,,,14.409,15.724,,,1.2,0.76,2.28
27/01/09,23:00:00,0,,,,12.751,16.034,,,1.2,0,1.14
28/01/09,00:00:00,0,,,,11.734,15.509,,,1.2,0.76,1.9
28/01/09,01:00:00,0,,,,11.224,14.314,,,1.2,1.14,2.66
28/01/09,02:00:00,0,,,,10.712,14.912,,,1.2,2.66,4.19
28/01/09,03:00:00,0,,,,11.175,16.987,,,1.2,3.43,6.09
28/01/09,04:00:00,0,,,,11.613,17.51,,,1.2,3.81,6.47
28/01/09,05:00:00,0,,,,11.953,17.819,,,1.2,4.19,7.61
28/01/09,06:00:00,0,,,,12.05,17.534,,,1.2,4.95,8.38
28/01/09,07:00:00,0,,,,11.977,17.605,,,66.2,5.33,8.38
28/01/09,08:00:00,0,,,,13.81,18.509,,,476.2,6.09,11.42
28/01/09,09:00:00,0,,,,19.722,19.294,,,951.2,6.85,11.04
28/01/09,10:00:00,0,,,,26.475,20.317,,,1393.7,6.85,11.8
28/01/09,11:00:00,0,,,,31.996,20.889,,,1758.7,6.85,12.56
28/01/09,12:00:00,0,,,,36.878,21.628,,,2026.2,6.85,12.18
28/01/09,13:00:00,0,,,,40.516,22.417,,,2183.7,7.23,11.42
28/01/09,14:00:00,0,,,,42.535,23.16,,,2226.2,6.47,11.42
28/01/09,15:00:00,0,,,,43.768,23.978,,,2148.7,5.33,11.04
28/01/09,16:00:00,0,,,,42.923,24.823,,,1951.2,4.95,9.9
28/01/09,17:00:00,0,,,,41.181,25.234,,,1636.2,3.05,7.99
28/01/09,18:00:00,0,,,,36.389,25.186,,,1228.7,3.43,7.99
28/01/09,19:00:00,0,,,,31.001,24.944,,,771.2,3.05,7.61
28/01/09,20:00:00,0,,,,24.291,23.064,,,291.2,1.9,4.57
28/01/09,21:00:00,0,,,,18.699,20.079,,,16.2,0.76,1.9
28/01/09,22:00:00,0,,,,16.153,19.175,,,1.2,1.52,3.05
28/01/09,23:00:00,0,,,,14.888,18.533,,,1.2,1.52,3.05
29/01/09,00:00:00,0,,,,13.762,17.748,,,1.2,1.14,2.66
29/01/09,01:00:00,0,,,,12.992,17.058,,,1.2,1.14,2.28
29/01/09,02:00:00,0,,,,12.34,17.415,,,1.2,0.76,1.9
29/01/09,03:00:00,0,,,,11.734,17.058,,,1.2,1.14,3.05
29/01/09,04:00:00,0,,,,11.783,19.413,,,1.2,3.05,5.71
29/01/09,05:00:00,0,,,,12.195,19.579,,,1.2,3.43,5.71
29/01/09,06:00:00,0,,,,11.977,18.343,,,1.2,3.81,6.85
29/01/09,07:00:00,0,,,,12.098,17.891,,,58.7,4.19,6.09
29/01/09,08:00:00,0,,,,14.29,19.532,,,458.7,5.33,8.38
29/01/09,09:00:00,0,,,,20.674,20.341,,,936.2,6.47,9.52
29/01/09,10:00:00,0,,,,28.097,21.676,,,1378.7,5.71,8.38
29/01/09,11:00:00,0,,,,35.448,23.016,,,1746.2,5.71,9.9
29/01/09,12:00:00,0,,,,41.502,23.809,,,2013.7,5.33,9.14
29/01/09,13:00:00,0,,,,45.342,24.098,,,2176.2,4.95,9.14
29/01/09,14:00:00,0,,,,47.678,24.944,,,2218.7,4.57,8.76
29/01/09,15:00:00,0,,,,48.371,25.793,,,2141.2,3.81,8.38
29/01/09,16:00:00,0,,,,47.777,26.182,,,1941.2,3.05,8.76
29/01/09,17:00:00,0,,,,44.874,26.5,,,1631.2,2.28,6.09
29/01/09,18:00:00,0,,,,39.516,26.72,,,1226.2,1.9,5.33
29/01/09,19:00:00,0,,,,33.261,26.329,,,758.7,1.14,4.19
29/01/09,20:00:00,0,,,,25.841,24.171,,,291.2,1.14,3.43
29/01/09,21:00:00,0,,,,19.651,19.841,,,16.2,0.76,2.28
29/01/09,22:00:00,0,,,,16.415,19.912,,,1.2,0,0.76
29/01/09,23:00:00,0,,,,14.912,20.269,,,1.2,0,1.14
30/01/09,00:00:00,0,,,,13.954,19.722,,,1.2,0,1.52
30/01/09,01:00:00,0,,,,13.209,20.103,,,1.2,0,1.52
30/01/09,02:00:00,0,,,,12.582,20.174,,,1.2,0.38,1.9
30/01/09,03:00:00,0,,,,11.977,18.438,,,1.2,0.38,1.9
30/01/09,04:00:00,0,,,,11.516,18.675,,,1.2,0.38,1.9
30/01/09,05:00:00,0,,,,10.956,19.579,,,1.2,0.38,1.52
30/01/09,06:00:00,0,,,,10.736,18.319,,,1.2,1.14,3.81
30/01/09,07:00:00,0,,,,11.151,16.82,,,53.7,2.66,4.57
30/01/09,08:00:00,0,,,,13.954,20.96,,,448.7,2.66,4.95
30/01/09,09:00:00,0,,,,21.7,22.824,,,928.7,3.05,4.95
30/01/09,10:00:00,0,,,,30.394,24.388,,,1376.2,1.52,4.19
30/01/09,11:00:00,0,,,,38.087,25.817,,,1743.7,1.14,4.95
30/01/09,12:00:00,0,,,,44.843,26.524,,,2008.7,1.9,5.33
30/01/09,13:00:00,0,,,,49.547,26.965,,,2178.7,2.66,7.23
30/01/09,14:00:00,0,,,,52.167,27.382,,,2218.7,2.28,6.09
30/01/09,15:00:00,0,,,,53.405,27.949,,,2178.7,2.28,6.47
30/01/09,16:00:00,0,,,,51.738,28.766,,,1996.2,3.43,7.61
30/01/09,17:00:00,0,,,,47.842,28.692,,,1643.7,2.28,6.47
30/01/09,18:00:00,0,,,,41.414,28.493,,,1208.7,2.66,6.47
30/01/09,19:00:00,0,,,,34.281,28.394,,,761.2,1.52,4.57
30/01/09,20:00:00,0,,,,26.451,25.647,,,288.7,1.9,3.43
30/01/09,21:00:00,0,,,,20.746,22.393,,,16.2,1.52,4.19
30/01/09,22:00:00,0,,,,18.533,21.891,,,1.2,1.52,4.19
30/01/09,23:00:00,0,,,,17.962,22.513,,,1.2,1.52,5.33
31/01/09,00:00:00,0,,,,17.32,22.13,,,1.2,0.76,2.28
31/01/09,01:00:00,0,,,,16.987,20.555,,,1.2,1.14,2.66
31/01/09,02:00:00,0,,,,16.106,20.365,,,1.2,2.28,4.57
31/01/09,03:00:00,0,,,,14.84,20.674,,,1.2,3.81,5.71
31/01/09,04:00:00,0,,,,14.026,19.222,,,1.2,3.81,5.71
31/01/09,05:00:00,0,,,,13.161,19.032,,,1.2,3.81,5.33
31/01/09,06:00:00,0,,,,12.823,19.413,,,1.2,3.81,4.95
31/01/09,07:00:00,0,,,,13.088,20.174,,,48.7,3.81,6.09
31/01/09,08:00:00,0,,,,15.199,21.294,,,428.7,4.19,6.09
31/01/09,09:00:00,0,,,,22.226,22.489,,,906.2,4.95,7.61
31/01/09,10:00:00,0,,,,30.293,23.569,,,1356.2,4.19,6.85
31/01/09,11:00:00,0,,,,37.563,24.508,,,1726.2,4.57,7.61
31/01/09,12:00:00,0,,,,43.163,26.012,,,1998.7,3.43,6.09
31/01/09,13:00:00,0,,,,48.172,27.063,,,2163.7,3.81,7.61
31/01/09,14:00:00,0,,,,50.128,27.604,,,2226.2,4.57,8.38
31/01/09,15:00:00,0,,,,52.564,28.048,,,2183.7,4.57,8.38
31/01/09,16:00:00,0,,,,51.667,28.147,,,1858.7,3.81,9.9
31/01/09,17:00:00,0,,,,37.7,26.744,,,476.2,1.9,5.71
31/01/09,18:00:00,1.02,,,,24.002,21.819,,,108.7,4.19,10.28
31/01/09,19:00:00,1.78,,,,19.365,19.793,,,303.7,5.33,8.76
31/01/09,20:00:00,0,,,,18.343,21.127,,,191.2,4.19,7.61
31/01/09,21:00:00,0,,,,16.701,20.15,,,8.7,3.43,6.47
31/01/09,22:00:00,0,,,,15.581,18.485,,,1.2,3.05,6.09
31/01/09,23:00:00,0,,,,14.912,17.986,,,1.2,4.19,6.85
01/02/09,00:00:00,0,,,,14.361,17.486,,,1.2,3.43,6.09
01/02/09,01:00:00,0,,,,13.594,17.724,,,1.2,4.19,6.47
01/02/09,02:00:00,0,,,,12.992,17.439,,,1.2,3.43,6.09
01/02/09,03:00:00,0,,,,12.074,16.796,,,1.2,2.66,5.71
01/02/09,04:00:00,0,,,,11.613,16.082,,,1.2,2.28,4.57
01/02/09,05:00:00,0,,,,11.637,15.629,,,1.2,0.76,3.05
01/02/09,06:00:00,0,,,,11.127,15.724,,,1.2,0,1.14
01/02/09,07:00:00,0,,,,10.222,15.915,,,38.7,0,1.9
01/02/09,08:00:00,0,,,,11.832,18.152,,,383.7,0,1.9
01/02/09,09:00:00,0,,,,17.819,20.889,,,861.2,1.9,4.19
01/02/09,10:00:00,0,,,,23.232,22.633,,,1346.2,1.9,4.57
01/02/09,11:00:00,0,,,,28.221,23.545,,,1723.7,1.9,4.19
01/02/09,12:00:00,0,,,,31.459,24.629,,,1973.7,2.66,5.71
01/02/09,13:00:00,0,,,,33.626,25.623,,,2133.7,3.43,6.47
01/02/09,14:00:00,0,,,,34.308,24.315,,,2196.2,3.81,6.47
01/02/09,15:00:00,0,,,,31.001,22.753,,,1366.2,3.81,6.47
01/02/09,16:00:00,0,,,,25.574,21.294,,,503.7,3.43,6.47
01/02/09,17:00:00,0,,,,22.776,20.126,,,396.2,2.66,6.09
01/02/09,18:00:00,0.25,,,,20.913,20.126,,,241.2,1.14,4.19
01/02/09,19:00:00,0,,,,20.079,19.674,,,246.2,1.14,3.43
01/02/09,20:00:00,0,,,,18.747,17.986,,,123.7,1.52,4.19
01/02/09,21:00:00,0,,,,16.677,15.772,,,6.2,0,2.28
01/02/09,22:00:00,0,,,,15.7,16.654,,,1.2,0.38,3.05
01/02/09,23:00:00,0.25,,,,15.581,16.749,,,1.2,4.19,11.42
02/02/09,00:00:00,0,,,,14.625,16.915,,,1.2,3.81,6.85
02/02/09,01:00:00,0,,,,13.858,17.796,,,1.2,3.05,4.95
02/02/09,02:00:00,0,,,,12.944,18.343,,,1.2,3.05,4.95
02/02/09,03:00:00,0,,,,12.316,19.555,,,1.2,3.81,6.47
02/02/09,04:00:00,0,,,,12.122,18.794,,,1.2,4.19,6.47
02/02/09,05:00:00,0,,,,11.321,17.558,,,1.2,3.43,6.09
02/02/09,06:00:00,0,,,,10.907,19.46,,,1.2,3.81,6.47
02/02/09,07:00:00,0,,,,10.418,16.963,,,33.7,3.81,4.95
02/02/09,08:00:00,0,,,,12.195,19.436,,,408.7,3.05,4.19
02/02/09,09:00:00,0,,,,17.962,19.984,,,901.2,4.57,7.61
02/02/09,10:00:00,0,,,,22.681,20.079,,,1286.2,6.47,9.9
02/02/09,11:00:00,0,,,,24.944,20.412,,,1203.7,6.09,10.28
02/02/09,12:00:00,0,,,,26.524,21.032,,,1553.7,5.71,8.38
02/02/09,13:00:00,0,,,,28.941,20.698,,,1558.7,6.47,9.14
02/02/09,14:00:00,0,,,,30.091,21.199,,,1581.2,4.95,7.61
02/02/09,15:00:00,0,,,,34.624,22.848,,,2111.2,5.71,9.9
02/02/09,16:00:00,0,,,,32.484,22.369,,,1256.2,5.33,9.52
02/02/09,17:00:00,0,,,,25.38,21.008,,,408.7,3.81,9.52
02/02/09,18:00:00,0.25,,,,19.865,16.129,,,148.7,5.33,12.94
02/02/09,19:00:00,0,,,,18.152,16.368,,,171.2,6.09,12.56
02/02/09,20:00:00,0,,,,18.081,17.748,,,153.7,1.52,4.57
02/02/09,21:00:00,0,,,,16.034,16.439,,,11.2,0,1.9
02/02/09,22:00:00,0,,,,14.673,16.01,,,1.2,0.38,4.19
02/02/09,23:00:00,0,,,,14.05,14.361,,,1.2,1.9,4.57
03/02/09,00:00:00,0,,,,13.57,13.04,,,1.2,1.9,4.57
03/02/09,01:00:00,0,,,,14.433,13.161,,,1.2,2.28,4.95
03/02/09,02:00:00,0,,,,14.385,12.871,,,1.2,1.52,4.19
03/02/09,03:00:00,0,,,,14.194,12.534,,,1.2,0.38,3.05
03/02/09,04:00:00,0,,,,13.305,11.346,,,1.2,0,1.52
03/02/09,05:00:00,0,,,,13.666,12.268,,,1.2,0,2.28
03/02/09,06:00:00,0,,,,13.81,12.437,,,1.2,0.38,2.28
03/02/09,07:00:00,0,,,,12.34,11.224,,,38.7,0,1.52
03/02/09,08:00:00,0,,,,13.353,11.419,,,388.7,0,1.9
03/02/09,09:00:00,0,,,,18.937,14.433,,,903.7,0.76,3.05
03/02/09,10:00:00,0,,,,22.298,14.84,,,916.2,1.9,3.43
03/02/09,11:00:00,0,,,,26.989,15.676,,,1611.2,2.66,4.95
03/02/09,12:00:00,0,,,,32.15,16.392,,,2001.2,3.05,4.95
03/02/09,13:00:00,0,,,,31.868,17.32,,,1363.7,3.05,5.71
03/02/09,14:00:00,0,,,,31.408,16.987,,,1618.7,3.43,6.09
03/02/09,15:00:00,0,,,,30.646,15.915,,,966.2,3.81,6.47
03/02/09,16:00:00,0,,,,24.629,14.074,,,463.7,3.43,7.23
03/02/09,17:00:00,0,,,,22.585,13.666,,,406.2,3.05,4.95
03/02/09,18:00:00,0,,,,22.226,13.666,,,446.2,1.9,5.33
03/02/09,19:00:00,0,,,,20.436,13.281,,,203.7,2.28,4.95
03/02/09,20:00:00,0,,,,17.891,12.558,,,48.7,2.66,6.09
03/02/09,21:00:00,0,,,,16.439,12.098,,,1.2,2.66,5.33
03/02/09,22:00:00,0,,,,15.581,11.637,,,1.2,1.9,4.95
03/02/09,23:00:00,0,,,,15.079,11.492,,,1.2,1.14,4.19
04/02/09,00:00:00,0,,,,14.05,10.956,,,1.2,0,2.28
04/02/09,01:00:00,0,,,,11.759,10.247,,,1.2,0,2.66
04/02/09,02:00:00,0,,,,10.565,10.736,,,1.2,0.76,3.81
04/02/09,03:00:00,0,,,,10.663,13.714,,,1.2,2.28,5.33
04/02/09,04:00:00,0,,,,11.151,14.457,,,1.2,3.05,5.71
04/02/09,05:00:00,0,,,,11.2,14.05,,,1.2,3.43,7.23
04/02/09,06:00:00,0,,,,11.467,13.762,,,1.2,6.09,9.52
04/02/09,07:00:00,0,,,,12.389,13.762,,,23.7,6.85,10.66
04/02/09,08:00:00,0,,,,13.546,13.906,,,178.7,7.61,11.8
04/02/09,09:00:00,0,,,,15.294,14.29,,,328.7,5.71,10.28
04/02/09,10:00:00,0,,,,19.532,15.103,,,826.2,3.43,7.23
04/02/09,11:00:00,0,,,,26.72,16.392,,,1803.7,4.57,7.23
04/02/09,12:00:00,0,,,,34.334,17.915,,,2111.2,3.81,6.85
04/02/09,13:00:00,0,,,,39.177,19.603,,,2243.7,3.81,7.99
04/02/09,14:00:00,0,,,,42.416,20.293,,,2248.7,3.43,7.61
04/02/09,15:00:00,0,,,,43.254,21.223,,,2148.7,4.19,8.76
04/02/09,16:00:00,0,,,,43.86,21.963,,,1928.7,2.28,6.85
04/02/09,17:00:00,0,,,,41.21,22.561,,,1708.7,1.9,4.95
04/02/09,18:00:00,0,,,,36.688,22.609,,,1256.2,2.28,5.71
04/02/09,19:00:00,0,,,,30.192,21.891,,,698.7,1.9,4.95
04/02/09,20:00:00,0,,,,25.186,20.865,,,293.7,0.76,3.43
04/02/09,21:00:00,0,,,,19.032,17.249,,,8.7,0.38,2.28
04/02/09,22:00:00,0,,,,15.915,15.724,,,1.2,0.38,1.52
04/02/09,23:00:00,0,,,,14.266,15.008,,,1.2,0.38,1.52
05/02/09,00:00:00,0,,,,12.92,14.242,,,1.2,0.76,1.9
05/02/09,01:00:00,0,,,,11.734,15.366,,,1.2,0.76,3.05
05/02/09,02:00:00,0,,,,12.025,16.439,,,1.2,3.43,7.61
05/02/09,03:00:00,0,,,,12.437,17.32,,,1.2,4.57,8.76
05/02/09,04:00:00,0,,,,12.509,17.51,,,1.2,5.33,9.14
