Date,"Time, GMT+11:00","Temp, ÁC (SEN S/N: 9818218, LBL: Ambient)","RH, % (SEN S/N: 9818218)","DewPt, ÁC (SEN S/N: 9818218)","Temp, ÁC (SEN S/N: 9824740, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m^3/m^3 (SEN S/N: 4650904)"
10/11/11,12:25:55,12.678,67.6,6.9,25.598,0.1063,0.16301
10/11/11,13:25:56,12.896,65.7,6.6,26.329,0.1063,0.16187
10/11/11,14:25:57,13.858,63.4,7,28.543,0.1071,0.16073
10/11/11,15:25:58,13.81,58.1,5.7,29.765,0.1071,0.16015
10/11/11,16:25:59,13.088,57.6,4.9,28.568,0.1056,0.15901
10/11/11,17:26:00,11.175,62.6,4.3,24.171,0.1034,0.15844
10/11/11,18:26:01,7.419,73.8,3.1,15.867,0.1005,0.15787
10/11/11,19:26:02,6.408,79.8,3.2,12.968,0.0983,0.1573
10/11/11,20:26:03,4.947,87.1,3,10.467,0.0969,0.1573
10/11/11,21:26:04,5.642,86.9,3.6,9.608,0.0962,0.15673
10/11/11,22:26:05,5.205,86.2,3.1,9.336,0.0954,0.15558
10/11/11,23:26:06,4.376,83.8,1.9,8.319,0.0954,0.15558
11/11/11,00:26:07,3.274,89.1,1.7,7.318,0.0947,0.15501
11/11/11,01:26:08,2.823,91.8,1.6,6.23,0.0947,0.15501
11/11/11,02:26:09,1.778,94.5,1,5.462,0.0947,0.15444
11/11/11,03:26:10,1.453,96,0.9,4.844,0.0947,0.15387
11/11/11,04:26:11,1.588,97,1.2,4.61,0.0947,0.15387
11/11/11,05:26:12,1.588,97.4,1.2,4.869,0.0947,0.1533
11/11/11,06:26:13,3.063,96.1,2.5,4.402,0.0954,0.1533
11/11/11,07:26:14,7.444,90,5.9,5.128,0.0962,0.15273
11/11/11,08:26:15,10.222,78.7,6.7,6.611,0.0962,0.15216
11/11/11,09:26:16,16.534,64.9,9.9,8.767,0.0962,0.15216
11/11/11,10:26:17,15.127,56.6,6.6,12.219,0.0954,0.15159
11/11/11,11:26:18,16.725,60.2,9,17.653,0.0969,0.15159
11/11/11,12:26:19,18.985,61.5,11.4,27.161,0.0983,0.15101
11/11/11,13:26:20,19.841,59.2,11.7,31.331,0.0969,0.15216
11/11/11,14:26:21,18.794,59.6,10.8,32.898,0.0998,0.15159
11/11/11,15:26:22,17.439,57.4,9,33.914,0.102,0.15159
11/11/11,16:26:23,16.796,57.2,8.3,34.624,0.102,0.15159
11/11/11,17:26:24,13.834,60,6.2,30.343,0.0983,0.15159
11/11/11,18:26:25,9.386,69.1,4,19.627,0.0969,0.15216
11/11/11,19:26:26,7.619,78.2,4.1,14.984,0.0933,0.15159
11/11/11,20:26:27,6.077,85.5,3.8,12.243,0.0911,0.15101
11/11/11,21:26:28,5.257,91.3,4,10.663,0.0904,0.15044
11/11/11,22:26:29,6.128,91,4.8,9.78,0.0889,0.14987
11/11/11,23:26:30,6.331,88.2,4.5,9.188,0.0889,0.14987
12/11/11,00:26:31,6.153,83.3,3.5,8.568,0.0889,0.1493
12/11/11,01:26:32,5.719,84.2,3.3,8.07,0.0889,0.1493
12/11/11,02:26:33,6.433,84.9,4.1,7.87,0.0889,0.14873
12/11/11,03:26:34,5.924,83.8,3.4,7.569,0.0882,0.14873
12/11/11,04:26:35,5.642,84.7,3.3,7.268,0.0882,0.14873
12/11/11,05:26:36,4.636,87.9,2.8,6.99,0.0882,0.14873
12/11/11,06:26:37,5.076,92.3,3.9,6.585,0.0882,0.14816
12/11/11,07:26:38,5.642,90.2,4.2,7.167,0.0882,0.14816
12/11/11,08:26:39,13.088,70.7,7.9,8.17,0.0874,0.14873
12/11/11,09:26:40,14.936,54.7,5.9,10.614,0.0874,0.14759
12/11/11,10:26:41,16.844,51,6.7,14.002,0.0874,0.14702
12/11/11,11:26:42,16.582,50.4,6.2,19.318,0.0947,0.14702
12/11/11,12:26:43,17.653,52.1,7.7,31.996,0.0889,0.14644
12/11/11,13:26:44,20.007,47.6,8.6,38.728,0.0889,0.14644
12/11/11,14:26:45,21.056,47.7,9.5,42.893,0.0911,0.14702
12/11/11,15:26:46,20.269,46.1,8.3,42.893,0.0918,0.14644
12/11/11,16:26:47,19.508,45.1,7.3,38.644,0.0911,0.14644
12/11/11,17:26:48,17.582,44.7,5.4,37.178,0.0911,0.14644
12/11/11,18:26:49,14.433,47.4,3.4,23.737,0.0896,0.14587
12/11/11,19:26:50,10.296,54.5,1.5,18.152,0.0874,0.14587
12/11/11,20:26:51,3.801,75.6,-0.1,12.509,0.086,0.1453
12/11/11,21:26:52,4.818,95.5,4.2,10.345,0.0853,0.1453
12/11/11,22:26:53,1.18,93.2,0.2,8.444,0.0845,0.1453
12/11/11,23:26:54,0.852,96.8,0.4,7.268,0.0867,0.14473
13/11/11,00:26:55,0.356,97.2,0,6.636,0.086,0.14473
13/11/11,01:26:56,2.77,96.7,2.3,6.636,0.086,0.14416
13/11/11,02:26:57,4.115,91,2.8,6.94,0.086,0.14473
13/11/11,03:26:58,4.973,87.2,3,7.116,0.086,0.14416
13/11/11,04:26:59,4.766,82.5,2,7.268,0.086,0.14416
13/11/11,05:27:00,5.411,84,2.9,6.914,0.0853,0.14359
13/11/11,06:27:01,6.281,81.2,3.3,6.484,0.0853,0.14359
13/11/11,07:27:02,12.268,66.2,6.2,7.393,0.0853,0.14359
13/11/11,08:27:03,13.04,57.7,4.9,10.247,0.0845,0.14359
13/11/11,09:27:04,13.57,58,5.5,14.074,0.0845,0.14359
13/11/11,10:27:05,19.008,53.1,9.3,17.106,0.0845,0.14302
13/11/11,11:27:06,17.51,50.1,7,21.939,0.0845,0.14302
13/11/11,12:27:07,16.701,56.8,8.1,24.436,0.0845,0.14302
13/11/11,13:27:08,19.341,55.6,10.3,29.84,0.0853,0.14359
13/11/11,14:27:09,17.748,52.3,7.9,36.742,0.0867,0.14302
13/11/11,15:27:10,17.629,57.6,9.2,29.64,0.0867,0.14359
13/11/11,16:27:11,13.594,62,6.5,24.267,0.0853,0.14359
13/11/11,17:27:12,11.516,66.6,5.5,18.889,0.0838,0.14359
13/11/11,18:27:13,8.444,91.6,7.2,13.81,0.0824,0.14244
13/11/11,19:27:14,8.07,93.9,7.2,11.807,0.0809,0.14244
13/11/11,20:27:15,7.895,94.9,7.1,10.834,0.0802,0.14244
13/11/11,21:27:16,7.845,92.4,6.7,10.051,0.0787,0.14244
13/11/11,22:27:17,7.645,86.2,5.5,9.015,0.0795,0.14187
13/11/11,23:27:18,8.568,82.1,5.7,8.941,0.0802,0.14187
14/11/11,00:27:19,9.163,78.2,5.6,8.866,0.0802,0.1413
14/11/11,01:27:20,9.312,76.8,5.5,8.444,0.0787,0.14187
14/11/11,02:27:21,8.717,77,4.9,8.245,0.0816,0.14187
14/11/11,03:27:22,9.336,73.8,4.9,7.67,0.0809,0.14187
14/11/11,04:27:23,9.854,71.1,4.9,7.519,0.0795,0.14187
14/11/11,05:27:24,9.977,74.2,5.6,7.845,0.0795,0.14187
14/11/11,06:27:25,10.222,69.6,4.9,7.77,0.0816,0.1413
14/11/11,07:27:26,12.413,70.7,7.3,8.767,0.0809,0.1413
14/11/11,08:27:27,12.437,75.3,8.2,11.053,0.0824,0.1413
14/11/11,09:27:28,13.449,81.6,10.4,13.858,0.0824,0.1413
14/11/11,10:27:29,16.153,79.9,12.7,15.318,0.0831,0.1413
14/11/11,11:27:30,18.033,71.5,12.8,19.698,0.0831,0.1413
14/11/11,12:27:31,17.891,58.2,9.6,27.727,0.086,0.1413
14/11/11,13:27:32,19.246,52.8,9.4,32.665,0.0824,0.14073
14/11/11,14:27:33,19.365,52.5,9.4,36.824,0.0838,0.14073
14/11/11,15:27:34,17.986,47.3,6.6,37.151,0.0838,0.14073
14/11/11,16:27:35,16.701,50.6,6.4,37.288,0.0867,0.14073
14/11/11,17:27:36,13.786,52.3,4.2,32.073,0.0853,0.14016
14/11/11,18:27:37,11.224,67.4,5.4,18.985,0.0824,0.14016
14/11/11,19:27:38,10.149,71,5.1,14.721,0.0809,0.14016
14/11/11,20:27:39,9.46,75.4,5.3,12.001,0.0795,0.14016
14/11/11,21:27:40,9.262,79,5.8,11.102,0.078,0.13959
14/11/11,22:27:41,8.245,81.4,5.3,10.124,0.0766,0.13959
14/11/11,23:27:42,7.67,82.5,4.9,9.139,0.0758,0.13902
15/11/11,00:27:43,7.645,84.2,5.2,8.618,0.0751,0.13902
15/11/11,01:27:44,7.695,83.8,5.1,8.22,0.0751,0.13902
15/11/11,02:27:45,7.293,82,4.4,7.77,0.0744,0.13902
15/11/11,03:27:46,7.293,77.1,3.6,7.217,0.0744,0.13845
15/11/11,04:27:47,7.268,76.3,3.4,6.94,0.0736,0.13845
15/11/11,05:27:48,7.469,73.5,3,6.763,0.0736,0.13959
15/11/11,06:27:49,8.12,68.2,2.6,6.585,0.0736,0.13845
15/11/11,07:27:50,10.541,57.9,2.6,7.268,0.0736,0.13845
15/11/11,08:27:51,12.799,59.5,5.1,9.064,0.0729,0.13787
15/11/11,09:27:52,14.553,53.1,5.1,11.224,0.0729,0.13787
15/11/11,10:27:53,16.677,49.8,6.2,14.433,0.0736,0.1373
15/11/11,11:27:54,17.32,48.2,6.3,20.15,0.0736,0.1373
15/11/11,12:27:55,17.558,45.5,5.7,32.227,0.0751,0.13673
15/11/11,13:27:56,18.509,46.2,6.8,39.772,0.0758,0.13673
15/11/11,14:27:57,18.747,46.4,7,42.803,0.0773,0.13673
15/11/11,15:27:58,18.176,48.9,7.3,43.284,0.0787,0.13673
15/11/11,16:27:59,18.39,49.1,7.5,42.773,0.078,0.1373
15/11/11,17:28:00,17.13,50.7,6.8,38.254,0.0766,0.1373
15/11/11,18:28:01,14.673,55.1,5.8,24.267,0.0744,0.13673
15/11/11,19:28:02,12.025,62.7,5.1,17.938,0.0707,0.13673
15/11/11,20:28:03,10.712,68.8,5.2,13.522,0.0722,0.13673
15/11/11,21:28:04,10.956,71.1,5.9,11.904,0.0707,0.13616
15/11/11,22:28:05,10.565,71.4,5.6,11.2,0.0686,0.13616
15/11/11,23:28:06,11.37,70,6.1,11.078,0.0671,0.13616
16/11/11,00:28:07,11.2,68,5.5,11.151,0.0664,0.13616
16/11/11,01:28:08,9.879,70.8,4.8,10.858,0.0657,0.13559
16/11/11,02:28:09,11.346,72,6.5,10.638,0.0635,0.13559
16/11/11,03:28:10,9.139,73.1,4.6,11.102,0.062,0.13559
16/11/11,04:28:11,7.619,95,6.9,10.736,0.0613,0.13559
16/11/11,05:28:12,6.788,98.2,6.5,9.064,0.0577,0.13216
16/11/11,06:28:13,6.661,98.6,6.5,8.767,0.0591,0.13159
16/11/11,07:28:14,6.56,99.1,6.4,8.543,0.0642,0.13388
16/11/11,08:28:15,7.745,99.9,7.7,8.419,0.0983,0.1533
16/11/11,09:28:16,7.77,100,7.8,8.618,0.1732,0.17901
16/11/11,10:28:17,8.419,99.8,8.4,9.682,0.1245,0.1693
16/11/11,11:28:18,13.594,96,13,14.84,0.1201,0.1653
16/11/11,12:28:19,16.344,81.2,13.1,22.465,0.1158,0.16187
16/11/11,13:28:20,16.939,73,12.1,24.46,0.1136,0.16015
16/11/11,14:28:21,16.106,72.1,11.1,24.895,0.1121,0.15844
16/11/11,15:28:22,11.856,78.7,8.3,19.674,0.1085,0.1573
16/11/11,16:28:23,18.985,63.6,11.9,20.96,0.1063,0.15616
16/11/11,17:28:24,16.654,61.1,9.1,24.798,0.1056,0.15444
16/11/11,18:28:25,11.856,68.8,6.3,19.841,0.1042,0.15387
16/11/11,19:28:26,8.27,87.4,6.3,14.649,0.102,0.15387
16/11/11,20:28:27,6.458,93.8,5.5,11.977,0.1005,0.1533
16/11/11,21:28:28,5.179,96.6,4.7,10.222,0.0991,0.15273
16/11/11,22:28:29,0.742,96,0.2,8.245,0.0969,0.15387
16/11/11,23:28:30,2.396,95.2,1.7,6.661,0.0962,0.15273
17/11/11,00:28:31,3.354,88.3,1.6,6.204,0.0962,0.15216
17/11/11,01:28:32,3.38,84.5,1,5.821,0.0962,0.15159
17/11/11,02:28:33,5.282,90.1,3.8,5.77,0.0962,0.15044
17/11/11,03:28:34,5.975,97.3,5.6,6.255,0.0962,0.15044
17/11/11,04:28:35,5.565,98.4,5.3,6.382,0.0962,0.14987
17/11/11,05:28:36,5.36,99,5.2,6.153,0.0962,0.1493
17/11/11,06:28:37,6.611,99.3,6.5,6.255,0.0962,0.14873
17/11/11,07:28:38,9.41,95.6,8.8,7.393,0.0962,0.14873
17/11/11,08:28:39,12.316,86.8,10.2,9.015,0.0954,0.14873
17/11/11,09:28:40,16.249,74.1,11.6,11.321,0.0962,0.14816
17/11/11,10:28:41,17.463,68.4,11.6,14.601,0.0962,0.14816
17/11/11,11:28:42,16.439,67.2,10.4,18.985,0.0962,0.14759
17/11/11,12:28:43,19.056,63.9,12.1,26.28,0.0969,0.14816
17/11/11,13:28:44,17.891,67.4,11.8,27.505,0.0976,0.14873
17/11/11,14:28:45,15.939,73.7,11.3,23.665,0.0976,0.14816
17/11/11,15:28:46,20.984,68.6,15,26.867,0.0976,0.14816
17/11/11,16:28:47,17.772,67.8,11.8,27.628,0.0983,0.14816
17/11/11,17:28:48,19.175,65.7,12.6,28.891,0.0983,0.14816
17/11/11,18:28:49,15.151,72.6,10.3,21.151,0.0954,0.14759
17/11/11,19:28:50,11.686,80,8.4,17.177,0.0947,0.14759
17/11/11,20:28:51,8.394,92.1,7.2,13.69,0.0933,0.14759
17/11/11,21:28:52,8.767,97.3,8.4,12.268,0.0918,0.14702
17/11/11,22:28:53,9.114,98.6,8.9,11.2,0.0911,0.14702
17/11/11,23:28:54,8.817,99.1,8.7,10.712,0.0904,0.14644
