"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818222, LBL: Ambient)","RH, % (SEN S/N: 9818222)","DewPt, ¡C (SEN S/N: 9818222)","Temp, ¡C (SEN S/N: 9824748, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833766, LBL: 10cmBG)"
08-11-2011,02:24:57,12.050,93.300,11.0,11.346,0.2654
08-11-2011,03:24:58,12.389,96.200,11.8,11.783,0.2654
08-11-2011,04:24:59,11.904,97.200,11.5,11.856,0.2654
08-11-2011,05:25:00,12.292,96.900,11.8,11.807,0.2654
08-11-2011,06:25:01,12.316,96.500,11.8,11.953,0.2647
08-11-2011,07:25:02,12.413,95.800,11.8,12.025,0.2654
08-11-2011,08:25:03,13.016,96.800,12.5,12.268,0.2647
08-11-2011,09:25:04,12.340,99.200,12.2,12.509,0.2661
08-11-2011,10:25:05,12.534,100.000,12.5,12.534,0.3112
08-11-2011,11:25:06,12.292,100.000,12.3,12.727,0.3271
08-11-2011,12:25:07,13.978,99.300,13.9,16.225,0.3112
08-11-2011,13:25:08,12.437,90.600,11.0,18.366,0.3046
08-11-2011,14:25:09,16.249,88.700,14.4,16.225,0.3003
08-11-2011,15:25:10,16.177,77.200,12.2,19.341,0.2974
08-11-2011,16:25:11,16.010,75.600,11.7,19.199,0.2952
08-11-2011,17:25:12,14.266,78.000,10.5,18.200,0.2930
08-11-2011,18:25:13,13.257,82.300,10.3,16.034,0.2908
08-11-2011,19:25:14,12.292,85.800,10.0,14.146,0.2894
08-11-2011,20:25:15,10.320,88.400,8.5,12.630,0.2886
08-11-2011,21:25:16,10.296,91.400,9.0,11.492,0.2872
08-11-2011,22:25:17,10.761,99.200,10.7,10.932,0.2865
08-11-2011,23:25:18,10.345,99.300,10.3,10.712,0.2850
09-11-2011,00:25:19,11.029,98.300,10.8,10.467,0.2850
09-11-2011,01:25:20,11.053,98.200,10.8,10.810,0.2843
09-11-2011,02:25:21,11.394,98.600,11.2,11.078,0.2843
09-11-2011,03:25:22,11.273,98.800,11.1,11.224,0.2836
09-11-2011,04:25:23,11.273,99.700,11.2,11.297,0.2828
09-11-2011,05:25:24,10.663,100.000,10.7,11.321,0.2828
09-11-2011,06:25:25,11.175,100.000,11.2,11.297,0.2821
09-11-2011,07:25:26,11.565,100.000,11.6,11.662,0.2821
09-11-2011,08:25:27,11.759,100.000,11.8,12.098,0.2821
09-11-2011,09:25:28,11.856,100.000,11.9,12.292,0.2814
09-11-2011,10:25:29,12.098,100.000,12.1,12.437,0.2828
09-11-2011,11:25:30,11.710,100.000,11.7,12.871,0.2828
09-11-2011,12:25:31,12.122,100.000,12.1,13.185,0.2966
09-11-2011,13:25:32,11.807,100.000,11.8,14.074,0.3053
09-11-2011,14:25:33,11.929,100.000,11.9,13.329,0.3053
09-11-2011,15:25:34,12.389,100.000,12.4,13.112,0.3068
09-11-2011,16:25:35,12.654,99.900,12.7,13.377,0.3046
09-11-2011,17:25:36,13.618,97.400,13.2,13.449,0.3017
09-11-2011,18:25:37,13.594,97.600,13.2,13.570,0.2988
09-11-2011,19:25:38,13.522,98.800,13.4,13.281,0.2974
09-11-2011,20:25:39,13.137,100.000,13.2,13.064,0.2966
09-11-2011,21:25:40,12.001,100.000,12.0,12.775,0.2974
09-11-2011,22:25:41,11.053,100.000,11.1,12.098,0.3555
09-11-2011,23:25:42,10.541,100.000,10.6,11.419,0.3264
10-11-2011,00:25:43,9.608,100.000,9.6,11.005,0.3482
10-11-2011,01:25:44,9.756,100.000,9.8,10.467,0.3918
10-11-2011,02:25:45,9.336,100.000,9.3,10.075,0.3613
10-11-2011,03:25:46,9.238,100.000,9.2,9.829,0.3482
10-11-2011,04:25:47,9.361,100.000,9.4,9.805,0.3358
10-11-2011,05:25:48,9.608,100.000,9.6,9.879,0.3358
10-11-2011,06:25:49,8.717,100.000,8.7,9.805,0.3438
10-11-2011,07:25:50,7.015,100.000,7.0,9.287,0.3816
10-11-2011,08:25:51,4.480,100.000,4.5,8.145,0.3605
10-11-2011,09:25:52,6.687,100.000,6.7,8.020,0.3279
10-11-2011,10:25:53,10.320,95.800,9.7,10.785,0.3184
10-11-2011,11:25:54,12.751,79.300,9.3,15.867,0.3119
10-11-2011,12:25:55,11.904,70.500,6.7,18.533,0.3075
10-11-2011,13:25:56,11.953,69.200,6.5,19.460,0.3039
10-11-2011,14:25:57,13.497,66.200,7.3,19.984,0.3017
10-11-2011,15:25:58,14.050,60.600,6.6,20.698,0.2995
10-11-2011,16:25:59,13.137,59.900,5.5,20.079,0.2974
10-11-2011,17:26:00,11.346,64.400,4.9,18.105,0.2959
10-11-2011,18:26:01,7.343,75.200,3.3,14.290,0.2937
10-11-2011,19:26:02,6.408,81.300,3.4,11.953,0.2923
10-11-2011,20:26:03,4.921,88.500,3.2,10.124,0.2908
10-11-2011,21:26:04,5.642,88.300,3.9,9.213,0.2901
10-11-2011,22:26:05,5.231,87.200,3.3,8.792,0.2886
10-11-2011,23:26:06,4.194,85.400,2.0,7.995,0.2879
11-11-2011,00:26:07,2.983,90.500,1.6,7.041,0.2872
11-11-2011,01:26:08,2.423,93.800,1.5,6.051,0.2865
11-11-2011,02:26:09,1.208,96.400,0.7,5.282,0.2857
11-11-2011,03:26:10,0.934,98.200,0.7,4.610,0.2850
11-11-2011,04:26:11,1.344,98.700,1.2,4.272,0.2843
11-11-2011,05:26:12,1.371,98.300,1.1,4.376,0.2843
11-11-2011,06:26:13,1.588,97.600,1.2,3.958,0.2836
11-11-2011,07:26:14,5.102,97.000,4.7,3.985,0.2836
11-11-2011,08:26:15,8.916,86.400,6.8,4.792,0.2828
11-11-2011,09:26:16,12.509,71.100,7.4,5.719,0.2828
11-11-2011,10:26:17,13.714,62.400,6.7,10.394,0.2828
11-11-2011,11:26:18,15.438,65.300,9.0,16.725,0.2828
11-11-2011,12:26:19,15.724,66.300,9.5,19.912,0.2828
11-11-2011,13:26:20,16.392,64.300,9.7,23.040,0.2821
11-11-2011,14:26:21,16.820,62.200,9.6,25.113,0.2828
11-11-2011,15:26:22,16.487,59.700,8.6,26.036,0.2828
11-11-2011,16:26:23,16.415,58.900,8.4,25.574,0.2821
11-11-2011,17:26:24,13.666,62.200,6.6,23.448,0.2821
11-11-2011,18:26:25,9.163,69.900,4.0,19.270,0.2814
11-11-2011,19:26:26,7.444,79.800,4.2,15.676,0.2799
11-11-2011,20:26:27,5.924,87.100,3.9,13.161,0.2799
11-11-2011,21:26:28,5.076,92.900,4.0,11.467,0.2785
11-11-2011,22:26:29,6.102,92.700,5.0,10.394,0.2777
11-11-2011,23:26:30,6.153,90.100,4.7,9.756,0.2770
12-11-2011,00:26:31,6.077,85.300,3.8,9.139,0.2770
12-11-2011,01:26:32,5.565,86.200,3.4,8.643,0.2763
12-11-2011,02:26:33,6.331,86.700,4.3,8.295,0.2763
12-11-2011,03:26:34,5.924,85.800,3.7,8.070,0.2756
12-11-2011,04:26:35,5.437,86.400,3.4,7.695,0.2748
12-11-2011,05:26:36,3.958,89.500,2.4,7.368,0.2748
12-11-2011,06:26:37,4.973,94.100,4.1,6.813,0.2748
12-11-2011,07:26:38,5.102,92.400,4.0,7.116,0.2748
12-11-2011,08:26:39,11.880,76.300,7.9,7.142,0.2741
12-11-2011,09:26:40,13.570,58.200,5.5,7.820,0.2741
12-11-2011,10:26:41,15.843,54.300,6.6,12.001,0.2734
12-11-2011,11:26:42,15.867,52.900,6.3,18.485,0.2741
12-11-2011,12:26:43,17.249,54.300,8.0,22.465,0.2741
12-11-2011,13:26:44,18.747,50.300,8.2,25.283,0.2748
12-11-2011,14:26:45,19.698,49.100,8.7,27.431,0.2748
12-11-2011,15:26:46,19.413,46.200,7.6,28.320,0.2756
12-11-2011,16:26:47,19.032,45.600,7.0,26.744,0.2756
12-11-2011,17:26:48,17.344,43.800,4.9,25.647,0.2748
12-11-2011,18:26:49,15.533,46.300,4.1,22.274,0.2741
12-11-2011,19:26:50,9.706,53.500,0.7,18.699,0.2734
12-11-2011,20:26:51,2.850,79.500,-0.3,15.151,0.2727
12-11-2011,21:26:52,2.717,97.800,2.4,12.823,0.2719
12-11-2011,22:26:53,-0.845,97.100,-1.3,11.151,0.2705
12-11-2011,23:26:54,0.246,99.500,0.2,9.731,0.2698
13-11-2011,00:26:55,-1.015,99.600,-1.1,8.866,0.2690
13-11-2011,01:26:56,1.994,100.000,2.0,8.344,0.2690
13-11-2011,02:26:57,4.584,93.700,3.7,8.344,0.2683
13-11-2011,03:26:58,4.895,86.700,2.9,8.319,0.2683
13-11-2011,04:26:59,4.506,82.800,1.8,8.295,0.2676
13-11-2011,05:27:00,5.949,84.100,3.5,7.995,0.2683
13-11-2011,06:27:01,4.844,79.800,1.7,7.670,0.2676
13-11-2011,07:27:02,9.928,72.200,5.2,7.494,0.2683
13-11-2011,08:27:03,12.413,62.400,5.4,8.568,0.2683
13-11-2011,09:27:04,12.871,59.300,5.1,11.078,0.2683
13-11-2011,10:27:05,17.320,54.100,8.0,13.714,0.2683
13-11-2011,11:27:06,16.558,51.400,6.5,17.891,0.2683
13-11-2011,12:27:07,15.438,59.200,7.5,18.771,0.2683
13-11-2011,13:27:08,18.152,56.800,9.5,20.388,0.2690
13-11-2011,14:27:09,15.939,53.200,6.4,23.785,0.2690
13-11-2011,15:27:10,17.272,58.100,9.0,21.915,0.2698
13-11-2011,16:27:11,13.377,63.000,6.5,20.150,0.2690
13-11-2011,17:27:12,11.224,67.700,5.5,17.439,0.2690
13-11-2011,18:27:13,8.469,92.000,7.3,14.960,0.2690
13-11-2011,19:27:14,8.170,94.500,7.3,13.040,0.2683
13-11-2011,20:27:15,7.945,95.300,7.2,11.856,0.2676
13-11-2011,21:27:16,7.845,93.100,6.8,11.053,0.2668
13-11-2011,22:27:17,7.494,87.600,5.6,10.075,0.2661
13-11-2011,23:27:18,8.543,82.900,5.8,9.657,0.2661
14-11-2011,00:27:19,9.114,78.900,5.7,9.485,0.2661
14-11-2011,01:27:20,9.287,77.300,5.5,9.163,0.2654
14-11-2011,02:27:21,8.643,77.500,4.9,8.891,0.2647
14-11-2011,03:27:22,9.287,73.700,4.8,8.419,0.2647
14-11-2011,04:27:23,9.756,71.800,4.9,8.170,0.2647
14-11-2011,05:27:24,10.051,74.900,5.8,8.319,0.2647
14-11-2011,06:27:25,10.124,70.500,5.0,8.270,0.2647
14-11-2011,07:27:26,11.662,73.600,7.1,8.494,0.2639
14-11-2011,08:27:27,11.977,79.200,8.5,9.706,0.2647
14-11-2011,09:27:28,12.799,84.700,10.3,11.394,0.2647
14-11-2011,10:27:29,15.103,83.400,12.3,13.329,0.2647
14-11-2011,11:27:30,17.534,74.700,13.0,17.463,0.2647
14-11-2011,12:27:31,17.724,59.800,9.8,20.960,0.2647
14-11-2011,13:27:32,19.127,54.200,9.7,23.497,0.2654
14-11-2011,14:27:33,19.199,53.400,9.5,25.210,0.2661
14-11-2011,15:27:34,17.891,47.400,6.6,25.283,0.2668
14-11-2011,16:27:35,16.844,51.200,6.7,24.750,0.2676
14-11-2011,17:27:36,13.930,53.000,4.5,22.441,0.2676
14-11-2011,18:27:37,11.151,68.500,5.6,18.366,0.2668
14-11-2011,19:27:38,10.149,72.100,5.4,15.485,0.2661
14-11-2011,20:27:39,9.361,76.500,5.5,13.497,0.2654
14-11-2011,21:27:40,9.114,80.300,5.9,12.364,0.2654
14-11-2011,22:27:41,8.095,82.500,5.3,11.565,0.2647
14-11-2011,23:27:42,7.645,83.800,5.1,10.638,0.2639
15-11-2011,00:27:43,7.594,85.500,5.3,10.051,0.2639
15-11-2011,01:27:44,7.645,85.400,5.4,9.583,0.2639
15-11-2011,02:27:45,7.167,83.400,4.6,9.163,0.2639
15-11-2011,03:27:46,7.318,78.400,3.8,8.668,0.2632
15-11-2011,04:27:47,7.116,77.600,3.5,8.344,0.2632
15-11-2011,05:27:48,7.368,74.900,3.2,8.070,0.2625
15-11-2011,06:27:49,7.519,70.000,2.4,7.845,0.2625
15-11-2011,07:27:50,9.485,61.800,2.5,7.770,0.2632
15-11-2011,08:27:51,12.243,63.100,5.4,8.369,0.2625
15-11-2011,09:27:52,14.074,55.200,5.2,9.114,0.2625
15-11-2011,10:27:53,16.415,51.700,6.5,12.678,0.2625
15-11-2011,11:27:54,16.939,49.300,6.3,18.176,0.2632
15-11-2011,12:27:55,17.558,46.500,6.0,21.628,0.2632
15-11-2011,13:27:56,18.247,47.100,6.8,23.857,0.2639
15-11-2011,14:27:57,18.842,47.100,7.3,25.453,0.2647
15-11-2011,15:27:58,18.224,49.100,7.4,26.280,0.2647
15-11-2011,16:27:59,18.343,49.800,7.7,25.744,0.2647
15-11-2011,17:28:00,17.034,52.300,7.2,24.050,0.2647
15-11-2011,18:28:01,15.079,55.700,6.3,21.246,0.2647
15-11-2011,19:28:02,11.710,63.600,5.0,17.915,0.2647
15-11-2011,20:28:03,10.614,70.100,5.4,15.175,0.2639
15-11-2011,21:28:04,10.687,72.700,6.0,13.594,0.2639
15-11-2011,22:28:05,10.492,72.900,5.8,12.703,0.2632
15-11-2011,23:28:06,11.273,71.600,6.3,12.219,0.2632
16-11-2011,00:28:07,11.200,69.100,5.8,12.074,0.2632
16-11-2011,01:28:08,9.706,72.200,5.0,11.807,0.2625
16-11-2011,02:28:09,11.321,73.300,6.7,11.443,0.2625
16-11-2011,03:28:10,8.668,74.700,4.4,11.565,0.2625
16-11-2011,04:28:11,7.217,97.300,6.8,11.443,0.2618
16-11-2011,05:28:12,6.763,99.500,6.7,10.418,0.2603
16-11-2011,06:28:13,6.611,99.200,6.5,9.287,0.2574
16-11-2011,07:28:14,6.535,99.700,6.5,8.841,0.2560
16-11-2011,08:28:15,7.745,100.000,7.8,8.618,0.3017
16-11-2011,09:28:16,7.720,100.000,7.7,8.668,0.3642
16-11-2011,10:28:17,8.419,99.800,8.4,9.238,0.3351
16-11-2011,11:28:18,13.473,95.500,12.8,12.122,0.3191
16-11-2011,12:28:19,15.819,82.400,12.8,16.868,0.3082
16-11-2011,13:28:20,16.963,75.700,12.7,18.414,0.3024
16-11-2011,14:28:21,15.605,75.600,11.3,19.365,0.2988
16-11-2011,15:28:22,11.565,81.200,8.5,17.130,0.2959
16-11-2011,16:28:23,17.843,65.700,11.4,16.606,0.2937
16-11-2011,17:28:24,15.772,64.700,9.2,18.985,0.2915
16-11-2011,18:28:25,11.637,71.300,6.6,17.748,0.2901
16-11-2011,19:28:26,7.870,89.600,6.3,14.266,0.2886
16-11-2011,20:28:27,6.179,95.900,5.6,11.734,0.2872
16-11-2011,21:28:28,4.921,98.200,4.7,10.149,0.2865
16-11-2011,22:28:29,-0.676,98.500,-0.9,8.519,0.2850
16-11-2011,23:28:30,1.859,96.100,1.3,6.940,0.2843
17-11-2011,00:28:31,3.301,89.000,1.7,6.128,0.2828
17-11-2011,01:28:32,3.089,85.800,0.9,5.565,0.2821
17-11-2011,02:28:33,4.999,92.000,3.8,5.385,0.2821
17-11-2011,03:28:34,5.898,98.800,5.7,5.821,0.2814
17-11-2011,04:28:35,5.437,99.600,5.4,6.026,0.2806
17-11-2011,05:28:36,5.024,100.000,5.0,5.821,0.2806
17-11-2011,06:28:37,6.128,100.000,6.1,5.821,0.2799
17-11-2011,07:28:38,7.995,99.200,7.9,6.509,0.2799
17-11-2011,08:28:39,11.686,92.700,10.6,7.544,0.2799
17-11-2011,09:28:40,14.266,80.700,11.0,8.593,0.2799
17-11-2011,10:28:41,15.557,74.600,11.1,13.040,0.2792
17-11-2011,11:28:42,15.963,71.900,10.9,17.724,0.2792
17-11-2011,12:28:43,17.582,68.600,11.8,20.960,0.2792
17-11-2011,13:28:44,16.796,71.400,11.6,21.604,0.2792
17-11-2011,14:28:45,15.031,76.900,11.0,19.746,0.2792
17-11-2011,15:28:46,20.055,71.400,14.7,21.008,0.2792
17-11-2011,16:28:47,16.963,70.300,11.5,22.633,0.2785
17-11-2011,17:28:48,18.247,69.000,12.5,23.136,0.2785
17-11-2011,18:28:49,15.772,73.500,11.1,20.269,0.2777
17-11-2011,19:28:50,11.127,80.500,7.9,17.153,0.2770
17-11-2011,20:28:51,7.945,94.500,7.1,14.218,0.2763
17-11-2011,21:28:52,8.469,99.000,8.3,12.630,0.2763
17-11-2011,22:28:53,8.767,99.700,8.7,11.540,0.2748
17-11-2011,23:28:54,8.742,100.000,8.8,10.932,0.2748
18-11-2011,00:28:55,8.618,100.000,8.6,10.467,0.2741
18-11-2011,01:28:56,8.990,99.900,9.0,10.345,0.2741
18-11-2011,02:28:57,9.114,99.200,9.0,10.026,0.2741
18-11-2011,03:28:58,9.336,98.400,9.1,9.657,0.2734
18-11-2011,04:28:59,9.657,96.500,9.1,9.509,0.2734
18-11-2011,05:29:00,9.262,95.300,8.6,9.435,0.2734
18-11-2011,06:29:01,9.558,98.300,9.3,9.361,0.2727
18-11-2011,07:29:02,10.858,97.600,10.5,10.075,0.2727
18-11-2011,08:29:03,14.385,91.600,13.1,10.712,0.2727
18-11-2011,09:29:04,16.892,80.900,13.6,11.516,0.2727
18-11-2011,10:29:05,16.487,78.400,12.7,14.912,0.2727
18-11-2011,11:29:06,15.915,80.200,12.5,17.391,0.2719
18-11-2011,12:29:07,19.436,76.000,15.1,19.294,0.2727
18-11-2011,13:29:08,20.222,75.000,15.7,21.437,0.2727
18-11-2011,14:29:09,19.080,73.300,14.2,23.857,0.2727
18-11-2011,15:29:10,20.055,76.000,15.7,24.195,0.2727
18-11-2011,16:29:11,20.531,72.600,15.5,24.460,0.2727
18-11-2011,17:29:12,16.296,74.600,11.8,24.002,0.2727
18-11-2011,18:29:13,15.342,85.000,12.9,20.770,0.2719
18-11-2011,19:29:14,13.930,85.300,11.5,18.200,0.2719
18-11-2011,20:29:15,13.401,90.100,11.8,16.129,0.2712
18-11-2011,21:29:16,13.858,89.300,12.1,15.008,0.2705
18-11-2011,22:29:17,13.642,87.200,11.6,14.409,0.2698
18-11-2011,23:29:18,13.161,87.300,11.1,13.858,0.2698
19-11-2011,00:29:19,13.377,82.200,10.4,13.522,0.2698
19-11-2011,01:29:20,12.630,92.900,11.5,13.305,0.2690
19-11-2011,02:29:21,12.654,92.200,11.4,12.944,0.2690
19-11-2011,03:29:22,12.751,90.600,11.3,12.799,0.2683
19-11-2011,04:29:23,12.098,90.900,10.7,12.630,0.2683
19-11-2011,05:29:24,11.686,94.500,10.8,12.364,0.2683
19-11-2011,06:29:25,12.727,90.300,11.2,12.122,0.2683
19-11-2011,07:29:26,11.127,92.800,10.0,12.219,0.2690
19-11-2011,08:29:27,11.370,99.600,11.3,12.292,0.2690
