Date,"Time, GMT+11:00","Rain, mm (SEN S/N: 668163)",,,"Temp, ÁC (SEN S/N: 684639)","Temp, ÁC (SEN S/N: 2279300)","Temp, ÁC (SEN S/N: 684638)",,,"PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 2282103)","Gust Speed, m/s (SEN S/N: 2282103)","Water Content, m?/m? (SEN S/N: 2282783)"
23/02/09,15:00:00,0,,,25.113,16.82,17.391,,,1956.2,9.9,14.85,0.1323
23/02/09,16:00:00,0,,,21.246,17.439,16.225,,,986.2,8.38,13.7,0.1323
23/02/09,17:00:00,0,,,22.034,17.391,17.058,,,1273.7,7.99,12.94,0.1319
23/02/09,18:00:00,0,,,18.842,17.296,15.939,,,378.7,6.47,11.42,0.1319
23/02/09,19:00:00,0,,,16.582,16.415,15.485,,,308.7,5.33,9.14,0.1314
23/02/09,20:00:00,0,,,14.673,15.652,14.888,,,178.7,4.19,9.52,0.1314
23/02/09,21:00:00,0,,,12.025,14.673,12.268,,,1.2,3.05,5.71,0.1314
23/02/09,22:00:00,0,,,10.296,13.618,10.858,,,1.2,3.05,4.95,0.1314
23/02/09,23:00:00,0,,,9.213,12.727,11.37,,,1.2,2.66,4.57,0.1314
24/02/09,00:00:00,0,,,8.618,12.074,11.977,,,1.2,3.43,6.47,0.131
24/02/09,01:00:00,0,,,8.469,11.613,13.353,,,1.2,5.33,11.42,0.131
24/02/09,02:00:00,0,,,8.295,11.297,13.04,,,1.2,4.95,9.14,0.1306
24/02/09,03:00:00,0,,,8.095,10.98,12.992,,,1.2,6.09,11.42,0.1306
24/02/09,04:00:00,0,,,7.995,10.761,12.968,,,1.2,6.47,12.18,0.1306
24/02/09,05:00:00,0,,,7.845,10.541,12.195,,,1.2,6.47,11.8,0.1306
24/02/09,06:00:00,0,,,7.444,10.32,11.127,,,1.2,6.09,12.18,0.1302
24/02/09,07:00:00,0,,,6.839,10.026,10.051,,,6.2,5.71,11.04,0.1302
24/02/09,08:00:00,0,,,7.091,9.731,9.632,,,258.7,6.09,11.04,0.1302
24/02/09,09:00:00,0,,,10.001,9.903,11.759,,,771.2,6.85,12.94,0.1293
24/02/09,10:00:00,0,,,14.601,10.858,12.534,,,1243.7,6.09,10.28,0.1289
24/02/09,11:00:00,0,,,19.651,12.534,13.401,,,1626.2,5.71,9.14,0.1285
24/02/09,12:00:00,0,,,24.146,14.553,14.385,,,1906.2,5.33,9.52,0.1276
24/02/09,13:00:00,0,,,27.899,16.582,15.223,,,2066.2,5.33,9.9,0.1272
24/02/09,14:00:00,0,,,30.117,18.414,16.534,,,2106.2,6.09,11.04,0.1263
24/02/09,15:00:00,0,,,30.824,19.603,17.391,,,2013.7,6.47,11.04,0.1259
24/02/09,16:00:00,0,,,30.444,20.412,17.534,,,1791.2,6.09,11.04,0.1255
24/02/09,17:00:00,0,,,28.568,20.65,17.391,,,1436.2,4.95,10.28,0.1255
24/02/09,18:00:00,0,,,25.234,20.293,16.868,,,1033.7,4.95,9.52,0.1251
24/02/09,19:00:00,0,,,21.032,19.389,15.843,,,531.2,3.43,6.85,0.1251
24/02/09,20:00:00,0,,,16.487,17.915,12.751,,,108.7,0.76,4.19,0.1251
24/02/09,21:00:00,0,,,12.485,16.249,8.891,,,1.2,0,1.9,0.1251
24/02/09,22:00:00,0,,,9.805,14.625,7.594,,,1.2,0,1.9,0.1251
24/02/09,23:00:00,0,,,8.245,13.329,4.558,,,1.2,1.14,3.81,0.1251
25/02/09,00:00:00,0,,,6.788,12.292,5.462,,,1.2,0,1.9,0.1251
25/02/09,01:00:00,0,,,5.565,11.346,4.947,,,1.2,0,1.9,0.1251
25/02/09,02:00:00,0,,,4.74,10.516,4.714,,,1.2,0,1.14,0.1251
25/02/09,03:00:00,0,,,4.011,9.829,4.714,,,1.2,0,2.66,0.1251
25/02/09,04:00:00,0,,,3.617,9.238,5.076,,,1.2,0.38,2.66,0.1246
25/02/09,05:00:00,0,,,2.93,8.742,6.128,,,1.2,0,0.76,0.1246
25/02/09,06:00:00,0,,,2.396,8.22,5.77,,,1.2,0,1.52,0.1246
25/02/09,07:00:00,0,,,2.101,7.795,5.539,,,6.2,0,1.52,0.1246
25/02/09,08:00:00,0,,,3.327,7.469,6.864,,,253.7,1.14,3.43,0.1242
25/02/09,09:00:00,0,,,8.717,7.87,11.589,,,763.7,0,2.28,0.1242
25/02/09,10:00:00,0,,,14.17,9.336,14.098,,,1241.2,2.28,6.09,0.1234
25/02/09,11:00:00,0,,,19.46,11.224,15.7,,,1631.2,3.43,7.99,0.123
25/02/09,12:00:00,0,,,24.677,13.305,16.654,,,1911.2,3.05,8.38,0.1225
25/02/09,13:00:00,0,,,28.617,15.342,17.558,,,2076.2,3.43,9.14,0.1217
25/02/09,14:00:00,0,,,31.23,17.177,18.461,,,2121.2,3.43,8.76,0.1213
25/02/09,15:00:00,0,,,32.872,18.628,19.056,,,2031.2,3.05,10.66,0.1208
25/02/09,16:00:00,0,,,32.51,19.651,19.08,,,1811.2,3.05,6.85,0.1204
25/02/09,17:00:00,0,,,30.469,20.031,18.818,,,1486.2,2.66,6.85,0.12
25/02/09,18:00:00,0,,,26.475,19.841,17.486,,,1061.2,3.81,7.61,0.1196
25/02/09,19:00:00,0,,,22.011,19.032,15.079,,,573.7,3.81,7.23,0.12
25/02/09,20:00:00,0,,,17.225,17.724,10.59,,,116.2,3.43,6.09,0.1196
25/02/09,21:00:00,0,,,14.074,16.272,7.845,,,1.2,2.66,4.95,0.1196
25/02/09,22:00:00,0,,,13.714,15.199,7.67,,,1.2,2.28,4.57,0.1196
25/02/09,23:00:00,0,,,13.281,14.601,7.318,,,1.2,2.28,4.19,0.1196
26/02/09,00:00:00,0,,,12.316,14.122,6.382,,,1.2,2.28,4.57,0.1191
26/02/09,01:00:00,0,,,10.271,13.449,5.308,,,1.2,2.28,4.57,0.1191
26/02/09,02:00:00,0,,,10.1,12.799,5.437,,,1.2,1.52,5.33,0.1191
26/02/09,03:00:00,0,,,10.443,12.461,5.539,,,1.2,2.66,5.71,0.1191
26/02/09,04:00:00,0,,,9.262,12.195,4.792,,,1.2,1.14,3.81,0.1191
26/02/09,05:00:00,0,,,7.645,11.516,4.168,,,1.2,0.38,2.66,0.1191
26/02/09,06:00:00,0,,,8.319,11.127,3.195,,,1.2,0,1.14,0.1187
26/02/09,07:00:00,0,,,7.82,10.883,2.956,,,3.7,0,1.14,0.1187
26/02/09,08:00:00,0,,,7.619,10.516,3.036,,,123.7,0,0.38,0.1187
26/02/09,09:00:00,0,,,11.321,10.638,5.565,,,481.2,0.38,3.05,0.1183
26/02/09,10:00:00,0,,,16.392,11.54,9.632,,,1176.2,1.52,4.57,0.1179
26/02/09,11:00:00,0,,,21.604,13.04,13.088,,,1626.2,2.28,5.33,0.1174
26/02/09,12:00:00,0,,,26.256,14.768,14.625,,,1908.7,3.05,6.09,0.117
26/02/09,13:00:00,0,,,31.128,16.606,16.129,,,2068.7,2.28,4.95,0.1162
26/02/09,14:00:00,0,,,34.255,18.438,17.296,,,2106.2,2.28,6.09,0.1157
26/02/09,15:00:00,0,,,35.288,19.865,18.319,,,2013.7,3.05,6.85,0.1153
26/02/09,16:00:00,0,,,34.598,20.722,18.604,,,1803.7,3.05,6.85,0.1145
26/02/09,17:00:00,0,,,31.944,20.984,18.414,,,1473.7,3.05,7.61,0.1145
26/02/09,18:00:00,0,,,27.924,20.65,17.819,,,1056.2,3.43,6.85,0.1145
26/02/09,19:00:00,0,,,23.04,19.722,16.439,,,558.7,3.43,5.71,0.1145
26/02/09,20:00:00,0,,,18.39,18.366,13.762,,,116.2,3.05,6.09,0.1145
26/02/09,21:00:00,0,,,15.151,16.987,11.248,,,1.2,1.14,3.81,0.1145
26/02/09,22:00:00,0,,,12.509,15.676,10.492,,,1.2,0,0.38,0.1145
26/02/09,23:00:00,0,,,10.761,14.505,9.632,,,1.2,0,1.52,0.1145
27/02/09,00:00:00,0,,,9.361,13.522,9.46,,,1.2,0,1.52,0.1145
27/02/09,01:00:00,0,,,8.344,12.678,9.928,,,1.2,0,1.52,0.1145
27/02/09,02:00:00,0,,,7.594,11.977,9.731,,,1.2,0.38,1.9,0.114
27/02/09,03:00:00,0,,,7.242,11.394,7.67,,,1.2,1.14,2.66,0.114
27/02/09,04:00:00,0,,,7.041,10.956,8.469,,,1.2,1.14,2.28,0.114
27/02/09,05:00:00,0,,,6.585,10.565,8.767,,,1.2,0.38,2.28,0.114
27/02/09,06:00:00,0,,,6.331,10.198,7.091,,,1.2,1.9,3.05,0.114
27/02/09,07:00:00,0,,,6.204,9.903,7.469,,,6.2,2.66,4.19,0.1136
27/02/09,08:00:00,0,,,8.792,9.829,12.243,,,276.2,2.66,4.95,0.1136
27/02/09,09:00:00,0,,,12.751,10.516,14.242,,,631.2,3.05,5.33,0.1132
27/02/09,10:00:00,0,,,17.867,11.686,15.199,,,1151.2,3.05,6.47,0.1128
27/02/09,11:00:00,0,,,19.984,13.305,14.768,,,816.2,3.43,6.85,0.1123
27/02/09,12:00:00,0,,,24.291,14.457,15.629,,,1596.2,4.57,8.76,0.1115
27/02/09,13:00:00,0,,,27.431,16.201,16.534,,,1448.7,4.95,9.14,0.1111
27/02/09,14:00:00,0,,,29.966,17.32,17.463,,,1938.7,5.33,9.52,0.1107
27/02/09,15:00:00,0,,,30.52,18.652,18.033,,,1476.2,4.95,10.28,0.1102
27/02/09,16:00:00,0,,,31.612,19.436,18.58,,,1696.2,3.81,7.61,0.1098
27/02/09,17:00:00,0,,,29.69,19.936,18.675,,,1156.2,3.81,7.61,0.1098
27/02/09,18:00:00,0,,,23.713,19.318,17.082,,,356.2,3.05,6.47,0.1098
27/02/09,19:00:00,0,,,21.604,18.438,17.534,,,521.2,3.05,5.33,0.1094
27/02/09,20:00:00,0,,,17.272,17.463,15.39,,,53.7,2.66,4.95,0.1094
27/02/09,21:00:00,0,,,15.843,16.368,15.103,,,1.2,3.05,5.33,0.1094
27/02/09,22:00:00,0,,,14.888,15.629,13.954,,,1.2,1.14,3.81,0.1094
27/02/09,23:00:00,0,,,13.738,15.031,13.497,,,1.2,2.28,5.33,0.1094
28/02/09,00:00:00,0,,,12.292,14.337,13.978,,,1.2,3.43,6.47,0.1094
28/02/09,01:00:00,0,,,12.05,13.786,14.697,,,1.2,4.19,6.47,0.109
28/02/09,02:00:00,0,,,11.759,13.425,14.457,,,1.2,4.19,6.85,0.109
28/02/09,03:00:00,0,,,11.224,13.064,14.768,,,1.2,5.71,8.76,0.109
28/02/09,04:00:00,0,,,10.712,12.727,13.666,,,1.2,5.33,7.99,0.109
28/02/09,05:00:00,0,,,10.075,12.364,13.137,,,1.2,3.43,7.61,0.1085
28/02/09,06:00:00,0,,,9.608,12.001,12.799,,,1.2,4.19,6.85,0.1085
28/02/09,07:00:00,0,,,9.238,11.686,13.112,,,1.2,5.33,9.14,0.1085
28/02/09,08:00:00,0,,,9.977,11.467,13.714,,,231.2,5.33,8.38,0.1081
28/02/09,09:00:00,0,,,13.594,11.662,15.151,,,723.7,6.47,9.52,0.1077
28/02/09,10:00:00,0,,,18.889,12.606,17.011,,,1191.2,6.47,10.66,0.1073
28/02/09,11:00:00,0,,,24.146,14.146,18.39,,,1583.7,7.23,11.04,0.1064
28/02/09,12:00:00,0,,,28.866,15.891,19.103,,,1878.7,6.85,12.18,0.106
28/02/09,13:00:00,0,,,33.053,17.629,19.555,,,2048.7,6.09,10.66,0.1051
28/02/09,14:00:00,0,,,36.2,19.341,20.222,,,2083.7,4.57,9.52,0.1047
28/02/09,15:00:00,0,,,37.673,20.77,20.913,,,1988.7,3.81,8.76,0.1043
28/02/09,16:00:00,0,,,37.755,21.867,21.342,,,1761.2,2.28,7.99,0.1039
28/02/09,17:00:00,0,,,32.201,22.13,18.247,,,1303.7,4.95,8.76,0.1039
28/02/09,18:00:00,0,,,27.53,21.318,16.868,,,941.2,4.57,7.99,0.1039
28/02/09,19:00:00,0,,,22.944,20.269,15.151,,,493.7,4.19,6.47,0.1039
28/02/09,20:00:00,0,,,18.343,18.889,12.292,,,83.7,2.66,5.33,0.1039
28/02/09,21:00:00,0,,,15.318,17.415,9.731,,,1.2,1.9,4.19,0.1039
28/02/09,22:00:00,0,,,15.557,16.463,9.435,,,1.2,1.9,4.57,0.1039
28/02/09,23:00:00,0,,,14.936,15.939,8.717,,,1.2,0.76,2.66,0.1034
01/03/09,00:00:00,0,,,14.17,15.438,8.02,,,1.2,0,2.28,0.1034
01/03/09,01:00:00,0,,,13.594,14.984,7.519,,,1.2,0,1.52,0.1034
01/03/09,02:00:00,0,,,11.151,14.457,5.949,,,1.2,0,1.52,0.1034
01/03/09,03:00:00,0,,,8.419,13.425,6.408,,,1.2,0,0.76,0.1034
01/03/09,04:00:00,0,,,7.318,12.485,7.041,,,1.2,0,1.52,0.1034
01/03/09,05:00:00,0,,,6.535,11.71,6.153,,,1.2,0.76,4.19,0.1034
01/03/09,06:00:00,0,,,6.433,11.175,8.045,,,1.2,0.76,4.19,0.1034
01/03/09,07:00:00,0,,,5.385,10.687,7.594,,,1.2,0,1.52,0.1034
01/03/09,08:00:00,0,,,5.949,10.149,7.945,,,238.7,0,1.52,0.1034
01/03/09,09:00:00,0,,,12.219,10.32,11.613,,,723.7,1.14,4.19,0.103
01/03/09,10:00:00,0,,,17.796,11.71,12.316,,,1191.2,3.05,5.71,0.1022
01/03/09,11:00:00,0,,,23.809,13.618,13.233,,,1603.7,2.66,6.09,0.1013
01/03/09,12:00:00,0,,,28.097,15.7,15.008,,,1546.2,1.52,4.95,0.1009
01/03/09,13:00:00,0,,,31.153,17.391,15.485,,,1713.7,2.66,6.09,0.1005
01/03/09,14:00:00,0,,,33.757,18.866,16.82,,,1906.2,2.66,5.71,0.1
01/03/09,15:00:00,0,,,33.914,20.007,17.701,,,1486.2,2.66,7.99,0.0996
01/03/09,16:00:00,0,,,27.53,20.126,16.01,,,633.7,2.28,4.95,0.0996
01/03/09,17:00:00,0,,,24.992,19.389,15.676,,,563.7,3.05,5.33,0.0996
01/03/09,18:00:00,0,,,21.509,18.652,14.337,,,408.7,3.05,5.33,0.0996
01/03/09,19:00:00,0,,,19.199,17.819,13.497,,,321.2,2.66,4.95,0.0996
01/03/09,20:00:00,0,,,15.939,16.868,11.734,,,63.7,1.14,3.81,0.0992
01/03/09,21:00:00,0,,,12.678,15.748,9.756,,,1.2,0,1.9,0.0992
01/03/09,22:00:00,0,,,10.736,14.577,8.12,,,1.2,0,1.52,0.0996
01/03/09,23:00:00,0,,,9.879,13.69,7.519,,,1.2,0,1.52,0.0992
02/03/09,00:00:00,0,,,7.995,12.871,6.281,,,1.2,0,0,0.0992
02/03/09,01:00:00,0,,,7.142,12.05,5.975,,,1.2,0,1.9,0.0996
02/03/09,02:00:00,0,,,6.56,11.443,7.192,,,1.2,0,1.9,0.0992
02/03/09,03:00:00,0,,,6.077,10.907,7.268,,,1.2,0,1.52,0.0992
02/03/09,04:00:00,0,,,5.847,10.443,7.594,,,1.2,1.14,2.28,0.0992
02/03/09,05:00:00,0,,,5.898,10.1,7.695,,,1.2,2.28,4.19,0.0992
02/03/09,06:00:00,0,,,6.204,9.879,9.04,,,1.2,2.28,5.33,0.0992
02/03/09,07:00:00,0,,,6.179,9.706,9.089,,,1.2,3.43,6.85,0.0992
02/03/09,08:00:00,0,,,7.217,9.632,9.632,,,158.7,3.43,6.09,0.0988
02/03/09,09:00:00,0,,,10.075,9.879,10.222,,,608.7,4.95,10.28,0.0983
02/03/09,10:00:00,0,,,15.27,10.761,11.443,,,1181.2,6.09,10.28,0.0979
02/03/09,11:00:00,0,,,20.841,12.34,12.195,,,1623.7,6.47,10.66,0.0975
02/03/09,12:00:00,0,,,24.798,14.218,12.92,,,1418.7,6.47,9.9,0.0971
02/03/09,13:00:00,0,,,30.343,15.915,14.361,,,1883.7,4.57,8.76,0.0962
02/03/09,14:00:00,0,,,33.966,18.01,15.414,,,2023.7,4.57,8.38,0.0958
02/03/09,15:00:00,0,,,32.898,19.222,15.796,,,1631.2,4.57,8.38,0.0954
02/03/09,16:00:00,0,,,34.334,20.079,16.987,,,1893.7,4.95,8.76,0.0954
02/03/09,17:00:00,0,,,32.33,20.722,16.868,,,1413.7,5.33,9.14,0.095
02/03/09,18:00:00,0,,,27.653,20.484,16.582,,,1008.7,5.33,9.52,0.095
02/03/09,19:00:00,0,,,22.417,19.555,15.891,,,496.2,4.57,8.38,0.095
02/03/09,20:00:00,0,,,17.368,18.105,13.978,,,83.7,3.43,7.61,0.095
02/03/09,21:00:00,0,,,13.762,16.534,12.558,,,1.2,1.9,5.33,0.095
02/03/09,22:00:00,0,,,12.34,15.27,12.727,,,1.2,1.9,4.19,0.095
02/03/09,23:00:00,0,,,11.953,14.409,13.425,,,1.2,3.05,7.99,0.095
03/03/09,00:00:00,0,,,11.71,13.882,13.281,,,1.2,5.33,9.9,0.095
03/03/09,01:00:00,0,,,11.467,13.449,12.968,,,1.2,5.71,9.52,0.095
03/03/09,02:00:00,0,,,11.175,13.112,12.944,,,1.2,7.23,11.8,0.0945
03/03/09,03:00:00,0,,,11.005,12.823,12.944,,,1.2,7.99,12.18,0.0945
03/03/09,04:00:00,0,,,10.712,12.582,12.461,,,1.2,7.23,11.42,0.0945
03/03/09,05:00:00,0,,,10.541,12.34,12.05,,,1.2,7.61,12.18,0.0945
03/03/09,06:00:00,0,,,10.638,12.147,11.734,,,1.2,7.61,12.56,0.0941
03/03/09,07:00:00,0,,,10.98,12.05,11.224,,,1.2,8.76,14.47,0.0941
03/03/09,08:00:00,0,,,11.346,12.05,10.761,,,31.2,9.9,15.23,0.0937
03/03/09,09:00:00,0,,,11.734,12.098,10.222,,,128.7,10.66,15.61,0.0937
03/03/09,10:00:00,0.25,,,12.485,12.268,10.149,,,248.7,9.14,13.32,0.0937
03/03/09,11:00:00,0,,,14.122,12.558,11.005,,,533.7,9.14,14.09,0.0933
03/03/09,12:00:00,0,,,15.223,13.112,11.419,,,548.7,7.99,13.7,0.0933
03/03/09,13:00:00,0,,,17.986,13.738,12.582,,,948.7,6.85,11.42,0.0928
03/03/09,14:00:00,0,,,21.39,14.792,14.026,,,1313.7,9.9,15.23,0.0928
03/03/09,15:00:00,0,,,20.555,15.605,13.762,,,863.7,10.66,15.23,0.0924
03/03/09,16:00:00,0,,,19.793,15.772,13.858,,,633.7,11.8,16.75,0.0924
03/03/09,17:00:00,0,,,18.652,15.652,13.954,,,606.2,11.04,16.75,0.092
03/03/09,18:00:00,0,,,19.246,15.652,14.984,,,831.2,12.94,17.89,0.0916
03/03/09,19:00:00,0,,,18.129,15.772,15.247,,,488.7,13.32,20.94,0.092
03/03/09,20:00:00,0,,,15.7,15.318,14.768,,,58.7,11.42,17.89,0.092
03/03/09,21:00:00,0,,,14.314,14.721,14.745,,,1.2,9.9,14.85,0.0916
03/03/09,22:00:00,0,,,13.762,14.242,14.96,,,1.2,11.04,16.37,0.0916
03/03/09,23:00:00,0,,,13.762,13.93,15.366,,,1.2,11.04,18.27,0.0916
04/03/09,00:00:00,0,,,14.05,13.81,15.533,,,1.2,12.56,27.79,0.0916
04/03/09,01:00:00,0.25,,,13.834,13.762,14.577,,,1.2,11.04,21.32,0.0911
04/03/09,02:00:00,4.06,,,13.618,13.666,13.257,,,1.2,9.14,19.03,0.0916
04/03/09,03:00:00,2.03,,,13.353,13.642,12.485,,,1.2,9.9,19.41,0.1017
04/03/09,04:00:00,3.81,,,11.953,13.473,8.965,,,1.2,8.38,15.23,0.1552
04/03/09,05:00:00,0.25,,,9.977,12.992,6.408,,,1.2,7.99,14.09,0.1454
04/03/09,06:00:00,0,,,8.245,12.364,4.428,,,1.2,9.52,15.99,0.1391
04/03/09,07:00:00,0,,,6.965,11.686,3.512,,,1.2,9.14,14.09,0.1357
04/03/09,08:00:00,0,,,6.23,11.078,3.089,,,183.7,7.99,13.32,0.1336
04/03/09,09:00:00,0,,,7.217,10.761,2.983,,,518.7,8.76,15.61,0.1319
04/03/09,10:00:00,0,,,9.632,10.932,3.406,,,1003.7,9.14,15.99,0.1302
04/03/09,11:00:00,0,,,12.195,11.637,3.775,,,1328.7,9.52,17.13,0.1289
04/03/09,12:00:00,0,,,15.605,12.558,4.714,,,1933.7,9.9,15.61,0.1272
04/03/09,13:00:00,0,,,18.152,13.81,5.36,,,1956.2,9.9,16.75,0.1263
04/03/09,14:00:00,0,,,18.485,14.936,5.924,,,1891.2,10.28,18.65,0.1251
04/03/09,15:00:00,0,,,18.628,15.533,6.687,,,1946.2,11.42,18.65,0.1242
04/03/09,16:00:00,0,,,17.534,15.963,6.179,,,1423.7,11.42,18.27,0.1238
04/03/09,17:00:00,0,,,14.433,15.629,5.257,,,718.7,10.28,16.75,0.123
04/03/09,18:00:00,0,,,12.171,14.792,4.766,,,291.2,7.99,15.61,0.1225
04/03/09,19:00:00,0,,,10.1,13.882,4.272,,,93.7,8.76,15.61,0.1221
04/03/09,20:00:00,0,,,8.593,12.992,4.011,,,13.7,9.52,16.37,0.1217
04/03/09,21:00:00,0,,,7.619,12.243,3.459,,,1.2,10.28,17.89,0.1213
04/03/09,22:00:00,0.25,,,7.091,11.662,2.93,,,1.2,9.14,17.89,0.1213
04/03/09,23:00:00,0,,,6.357,11.127,2.396,,,1.2,9.9,17.89,0.1208
05/03/09,00:00:00,0.51,,,5.693,10.638,2.209,,,1.2,9.52,17.51,0.1204
05/03/09,01:00:00,0.25,,,5.462,10.247,1.832,,,1.2,7.99,14.85,0.12
05/03/09,02:00:00,0.51,,,4.895,9.879,1.398,,,1.2,7.23,11.8,0.1196
05/03/09,03:00:00,0.25,,,4.428,9.46,1.425,,,1.2,5.71,11.8,0.1196
05/03/09,04:00:00,0,,,4.272,9.114,1.289,,,1.2,4.57,8.38,0.1196
05/03/09,05:00:00,0,,,3.88,8.817,0.907,,,1.2,4.95,9.52,0.1196
05/03/09,06:00:00,0,,,3.301,8.469,0.522,,,1.2,4.19,9.14,0.12
05/03/09,07:00:00,0,,,2.93,8.17,-0.171,,,1.2,2.66,7.23,0.12
05/03/09,08:00:00,0,,,2.903,7.87,-0.06,,,61.2,3.05,7.61,0.1196
05/03/09,09:00:00,0,,,3.932,7.67,0.605,,,366.2,3.81,7.61,0.1196
05/03/09,10:00:00,0,,,6.56,7.845,2.101,,,1043.7,5.33,11.42,0.1191
05/03/09,11:00:00,0,,,10.32,8.717,3.591,,,1546.2,6.09,12.18,0.1183
05/03/09,12:00:00,0,,,14.481,9.952,5.257,,,1868.7,4.57,9.52,0.1179
05/03/09,13:00:00,0,,,17.439,11.54,6.357,,,1963.7,4.57,9.9,0.117
05/03/09,14:00:00,0,,,19.341,12.968,7.645,,,2116.2,4.19,9.14,0.1166
05/03/09,15:00:00,0,,,20.77,14.266,8.643,,,1823.7,3.43,7.99,0.1162
05/03/09,16:00:00,0,,,21.246,15.438,9.04,,,1788.7,3.05,6.85,0.1153
05/03/09,17:00:00,0,,,20.507,16.201,9.336,,,1436.2,2.66,6.09,0.1153
05/03/09,18:00:00,0,,,17.558,16.106,8.99,,,993.7,3.05,6.09,0.1153
05/03/09,19:00:00,0,,,13.978,15.199,7.82,,,501.2,2.28,5.33,0.1149
05/03/09,20:00:00,0,,,10.222,13.786,4.766,,,71.2,1.52,4.57,0.1149
05/03/09,21:00:00,0,,,7.167,12.243,1.643,,,1.2,0.38,2.66,0.1149
05/03/09,22:00:00,0,,,5.334,10.907,0.329,,,1.2,1.52,4.95,0.1149
05/03/09,23:00:00,0,,,4.246,9.952,-0.171,,,1.2,1.9,5.71,0.1149
06/03/09,00:00:00,0,,,3.221,9.139,-0.62,,,1.2,1.14,4.19,0.1149
06/03/09,01:00:00,0,,,2.61,8.419,-0.902,,,1.2,1.52,4.57,0.1145
06/03/09,02:00:00,0,,,2.45,7.87,-1.242,,,1.2,1.9,5.33,0.1145
06/03/09,03:00:00,0,,,2.664,7.544,-1.015,,,1.2,2.28,5.71,0.1145
06/03/09,04:00:00,0,,,2.664,7.419,-1.27,,,1.2,2.66,5.71,0.114
06/03/09,05:00:00,0,,,2.53,7.217,-1.384,,,1.2,2.66,4.95,0.114
06/03/09,06:00:00,0,,,1.967,6.94,-1.814,,,1.2,1.9,4.95,0.114
06/03/09,07:00:00,0,,,1.344,6.509,-2.537,,,1.2,0.38,2.66,0.1136
06/03/09,08:00:00,0,,,1.289,6.051,-1.929,,,211.2,0,1.52,0.1136
06/03/09,09:00:00,0,,,3.116,5.872,1.67,,,726.2,0,1.9,0.1132
06/03/09,10:00:00,0,,,8.319,6.788,6.204,,,1181.2,1.14,3.43,0.1128
06/03/09,11:00:00,0,,,13.473,8.543,9.608,,,1573.7,1.9,5.33,0.1119
06/03/09,12:00:00,0,,,17.843,10.687,11.127,,,1861.2,2.66,6.47,0.1111
06/03/09,13:00:00,0,,,21.628,12.968,12.025,,,2028.7,2.28,6.09,0.1107
06/03/09,14:00:00,0,,,23.208,15.055,12.001,,,2066.2,3.43,6.47,0.1102
06/03/09,15:00:00,0,,,23.521,16.558,12.485,,,1973.7,4.19,7.99,0.1098
06/03/09,16:00:00,0,,,23.088,17.51,12.582,,,1748.7,3.81,7.99,0.1094
06/03/09,17:00:00,0,,,21.676,17.891,13.209,,,1411.2,2.66,7.61,0.1094
